,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vake,Tbilisis Zgva,€,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,desc_en
54,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0743,57268,22320,1912,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
55,27-07-2020 21:59:50,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.039,30066,11718,1004,420,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
56,27-07-2020 21:59:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2066,159277,62078,5317,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,27-07-2020 21:59:50,Tbilisi,9CK,Hyperboy,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0381,29350,11439,980,410,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
58,27-07-2020 21:59:50,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0482,36861,14388,1219,,,,,,,440,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,27-07-2020 21:59:50,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0428,32673,12753,1081,,,,,,,390,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,27-07-2020 21:59:50,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2228,171804,66960,5736,2400,,,,,,,,,,,,100 gr marijuana buds
61,27-07-2020 21:59:50,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2321,178963,69750,5975,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
62,27-07-2020 21:59:50,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5478,422352,164610,14100,5900,,,,,,,,,,,,180 gr marihuana persoalno
63,27-07-2020 21:59:50,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0928,71585,27900,2390,1000,True,,,,,,,True,True,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
