,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Gldani,Saburtalo,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
20,20,30-06-2020 10:57:46,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.0141,10423,3995,358,,True,149.0,,,,,,,,5g. GEO Marihuana boshki
21,21,30-06-2020 10:57:46,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1407,94364,36167,3239,,True,1349.0,,,,,,,,VHQ BEST Cocaine 5g.
22,22,30-06-2020 10:57:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,5 гр,0.0052,3847,1475,132,,True,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
23,23,30-06-2020 10:57:46,Tbilisi,54915c4374,марки н-боом 5шт.,,4,9,Тбилиси,5 гр,0.0068,4547,1743,156,,True,65.0,,True,,,,,,marki n-boom 5sht.
24,24,30-06-2020 10:57:46,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,8,нет,Тбилиси,10 гр,0.0249,16718,6408,574,,True,239.0,,,,,,,,10 gr georgian weed. Package on magnet
25,25,30-06-2020 10:57:46,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,12,нет,Тбилиси,10 гр,0.0136,9024,3458,310,,True,129.0,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,26,30-06-2020 10:57:46,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0455,31478,12065,1080,,True,450.0,,,,,,,,Gashish Evro 10gr
27,27,30-06-2020 10:57:46,Tbilisi,54915c4374,Марки н-боом 10 шт.,,5,7,Тбилиси,10 гр,0.0104,6995,2681,240,,True,100.0,,True,,,,,,Marki n-boom 10 sht.
28,28,30-06-2020 10:57:46,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,5,нет,Тбилиси,10 гр,0.0081,5946,2279,204,,True,85.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,30-06-2020 10:57:46,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0474,34976,13405,1200,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
30,30,30-06-2020 10:57:46,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4547,1743,156,,True,65.0,,,,,,,,Silver haze leaves list'ja 15gr sale
31,31,30-06-2020 10:57:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2106,139903,53620,4802,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,30-06-2020 10:57:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,4,Тбилиси,1 гр,0.0047,3148,1206,108,,True,45.0,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
33,33,30-06-2020 10:57:46,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0094,6296,2413,216,,True,90.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
34,34,30-06-2020 10:57:46,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0526,34906,13378,1198,,True,499.0,,,,,,,,❄❄2g HQ COCAINE❄❄
35,35,30-06-2020 10:59:12,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0088,5901,2261,203,75.0,True,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
36,36,30-06-2020 10:59:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,6,Тбилиси,3 гр,0.0125,8394,3217,288,,True,120.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
37,37,30-06-2020 10:59:12,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0791,52463,20108,1801,,True,750.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,30-06-2020 10:59:12,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,нет,5,Тбилиси,3 гр,0.0127,8394,3217,288,,True,120.0,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
39,39,30-06-2020 10:59:12,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0418,27981,10724,960,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,40,30-06-2020 10:59:12,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0125,8394,3217,288,,True,120.0,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
41,41,30-06-2020 10:59:12,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0261,17488,6703,600,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
42,42,30-06-2020 10:59:12,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0574,38473,14746,1320,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
43,43,30-06-2020 10:59:12,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0282,18887,7239,648,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,44,30-06-2020 10:59:12,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0292,19586,7507,672,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
45,45,30-06-2020 10:59:12,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0287,19237,7373,660,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
46,46,30-06-2020 10:59:12,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,16788,6434,576,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
47,47,30-06-2020 10:59:12,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0292,19586,7507,672,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,48,30-06-2020 10:59:12,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0282,18887,7239,648,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
49,49,30-06-2020 10:59:12,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15319,5871,526,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
50,50,30-06-2020 10:59:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0183,12241,4692,420,,True,175.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
51,51,30-06-2020 10:59:12,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0282,18887,7239,648,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,30-06-2020 10:59:12,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1567,104927,40215,3601,,True,1500.0,,,,,,,,Gerojn (sirets) 5 gr
53,53,30-06-2020 10:59:12,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2579,190000,87429,6518,,True,,,,,,,,,reagent 25i nbome. 5gr
54,54,30-06-2020 10:59:12,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2848,209854,80430,7202,,,3000.0,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,30-06-2020 10:59:12,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1317,87369,33486,2999,,True,1249.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,30-06-2020 10:59:12,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,15,Тбилиси,5 гр,0.0211,13990,5362,480,,True,200.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,30-06-2020 10:59:12,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.094,62956,24129,2161,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,58,30-06-2020 10:59:12,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0574,38473,14746,1320,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,59,30-06-2020 10:59:12,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0731,48966,18767,1681,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,30-06-2020 10:59:12,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0439,29380,11260,1008,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,30-06-2020 10:59:12,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0836,55961,21448,1921,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,30-06-2020 10:59:12,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0345,23084,8847,792,,True,330.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
63,63,30-06-2020 10:59:12,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2324,155642,59652,5342,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
64,64,30-06-2020 10:59:12,Tbilisi,54915c4374,Н-боом 10 шт. (Спец предзаказ for basssiani),,нет,1,Тбилиси,10 гр,0.0104,6995,2681,240,,True,100.0,,,,,,,,N-boom 10 sht. (Spets predzakaz for basssiani)
65,65,30-06-2020 10:59:12,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2298,153893,58982,5282,,True,2200.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
66,66,30-06-2020 10:59:12,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2636,174808,66998,6000,,True,2499.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,30-06-2020 10:59:12,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0422,27981,10724,960,,True,400.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,30-06-2020 10:59:12,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0461,30686,11759,1054,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,30-06-2020 10:59:12,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0844,55961,21448,1921,,True,800.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,30-06-2020 11:00:10,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2504,167883,64344,5762,,True,2400.0,,,,,,,,100 gr marijuana buds
71,71,30-06-2020 11:00:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2087,139903,53620,4802,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,72,30-06-2020 11:00:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2608,174878,67025,6002,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
73,73,30-06-2020 11:00:10,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6155,412713,158179,14165,,True,5900.0,,,,,,,,180 gr marihuana persoalno
74,74,30-06-2020 11:00:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4799,321776,123326,11044,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
75,75,30-06-2020 11:00:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7825,524635,201075,18006,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
76,76,30-06-2020 11:00:10,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8868,594586,227885,20407,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
77,77,30-06-2020 11:00:10,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,13990,5362,480,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
78,78,30-06-2020 11:00:10,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,13990,5362,480,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,30-06-2020 11:00:10,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17488,6703,600,,True,250.0,,,,,,,,Rabota na marki (kur'er)
80,80,30-06-2020 11:00:10,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5791,1049270,402150,36012,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
81,81,30-06-2020 11:02:20,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.0469,31478,12065,1080,,,450.0,,,,,,True,,Super Critical 10G
82,82,30-06-2020 11:02:20,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,10,Батуми,0.25 гр,0.0263,17488,6703,600,,,250.0,,,,,,,True,METADON - 0.25 - SALE
83,83,30-06-2020 11:02:20,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1565,104927,40215,3601,,,1500.0,,,,,,,True,Gerojn (sirets) 5 gr
84,84,30-06-2020 11:02:20,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2295,153893,58982,5282,,,2200.0,,,,,,,True,Sirets (gerojn) ochen' sil'nyj 10 gr
85,85,30-06-2020 11:02:20,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1685,112990,51992,3876,,,,,,,,,,True,❥ Tvoj! GAShISh Marokko 500 gramm ♥
86,86,30-06-2020 11:02:20,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2668,178900,82321,6137,,,,,,,,,,True,❥Tvoj! GAShISh Marokko 1000 gramm ♥
87,87,30-06-2020 11:02:20,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,6995,2681,240,,,100.0,,,,,,,True,kur'er v Batumi
88,88,30-06-2020 11:02:20,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17488,6703,600,,,250.0,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
89,89,30-06-2020 11:02:20,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17488,6703,600,,,250.0,,,,,,,True,Ischu kur'era v Gruzii!
90,90,30-06-2020 11:02:20,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,13990,5362,480,,,200.0,,,,,,,True,Kur'er Batumi na marihuanu
91,91,30-06-2020 11:02:20,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5788,1049270,402150,36012,,,15000.0,,,,,,,True,Vakansija optovogo kur'era na mef
92,92,30-06-2020 11:02:20,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,34976,13405,1200,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
