,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Didube,Saburtalo,Old Tbilisi (Старый город),€,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,07-04-2020 03:22:30,Tbilisi,bb1791277e,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",,1,нет,Тбилиси,1 гр,0.0052,2980,1069,100,39.0,True,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
11,11,07-04-2020 03:22:30,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,,8,нет,Тбилиси,1 гр,0.0052,2980,1069,100,39.0,True,True,,,,,,,,1 gr Shishki “OG KUSH VHQ”
12,12,07-04-2020 03:22:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,,4,нет,Тбилиси,1 гр,0.0242,14441,5179,486,189.0,True,,,,,,,,,Cocaine Pure VHQ 1g
13,13,07-04-2020 03:22:30,Tbilisi,99accec7c7,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.0801,45844,16440,1542,600.0,,,True,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
14,14,07-04-2020 03:22:30,Tbilisi,28bf667d16,MDMA Champagne - DutchMasters 1g,,2,нет,Тбилиси,1 гр,0.0147,8405,3014,283,110.0,True,,,,,,,,,MDMA Champagne - DutchMasters 1g
15,15,07-04-2020 03:22:30,Tbilisi,99accec7c7,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,4,нет,Тбилиси,1 гр,0.0934,53485,19180,1800,700.0,,,True,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
16,16,07-04-2020 03:22:30,Tbilisi,61df6a1c90,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1092,68767,24660,2314,900.0,True,,,,,,,,,Metadon 1gr
17,17,07-04-2020 03:22:30,Tbilisi,16be2c8499,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",,9,нет,Тбилиси,1 гр,0.0024,1528,548,51,20.0,True,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
18,18,07-04-2020 03:22:30,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,4,нет,Тбилиси,2 гр,0.01,5731,2055,193,75.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
19,19,07-04-2020 03:22:30,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0092,5272,1891,177,69.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,07-04-2020 03:22:30,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,1,нет,Тбилиси,2 гр,0.0092,5272,1891,177,69.0,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
21,21,07-04-2020 03:22:30,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0092,5272,1891,177,69.0,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
22,22,07-04-2020 03:22:30,Tbilisi,e56bb6ca93,2gr Indica dominant Buds,,2,нет,Тбилиси,2 гр,0.0063,3591,1288,121,47.0,True,,,,,,,,,2gr Indica dominant Buds
23,23,07-04-2020 03:22:30,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,2 гр,0.0094,5349,1918,180,70.0,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,24,07-04-2020 03:22:30,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.0437,27507,9864,925,360.0,True,,,,,,,,,Cocaine Pure VHQ 2 g
25,25,07-04-2020 03:22:30,Tbilisi,28bf667d16,LSD Hoffman 300UG 2 piece,,1,нет,Тбилиси,2 гр,0.0147,8405,3014,283,110.0,True,,,,,,,,,LSD Hoffman 300UG 2 piece
26,26,07-04-2020 03:22:30,Tbilisi,ae784bef73,New ! Big Buds ! 2G,,3,нет,Тбилиси,2 гр,0.0078,4890,1754,165,64.0,True,,,,,,,,,New ! Big Buds ! 2G
27,27,07-04-2020 03:22:30,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,3,нет,Тбилиси,2 гр,0.0042,2674,959,90,35.0,True,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
28,28,07-04-2020 03:22:30,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,2,нет,Тбилиси,2 гр,0.0042,2674,959,90,35.0,True,,True,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
29,29,07-04-2020 03:22:30,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,2,нет,Тбилиси,2 гр,0.012,6800,2439,229,89.0,True,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
30,30,07-04-2020 03:22:30,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,1,нет,Тбилиси,3 гр,0.0147,8328,2987,280,109.0,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
31,31,07-04-2020 03:22:30,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.040999999999999995,24450,8768,823,320.0,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
32,32,07-04-2020 03:22:30,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,2,нет,Тбилиси,5 гр,0.0396,22922,8220,771,300.0,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
33,33,07-04-2020 03:22:30,Tbilisi,64284550d9,5G ---> ONLY BUDS,,5,нет,Тбилиси,5 гр,0.0127,7259,2603,244,95.0,,,True,,,,,,,5G ---> ONLY BUDS
34,34,07-04-2020 03:23:08,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),,1,нет,Тбилиси,5 гр,0.0179,10239,3672,344,134.0,True,,,,,,,,,5gr marijuana buds -indica- (hight quality)
35,35,07-04-2020 03:23:08,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0236,13371,4795,450,175.0,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
36,36,07-04-2020 03:23:08,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,True,1,нет,Тбилиси,5 гр,0.0091,5731,2055,193,75.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
37,37,07-04-2020 03:23:08,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0067,4202,1507,141,55.0,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
38,38,07-04-2020 03:23:08,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0533,30487,10933,1026,399.0,,,True,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
39,39,07-04-2020 03:23:08,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0487,27889,10001,938,365.0,,True,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
40,40,07-04-2020 03:23:08,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,1,3,Тбилиси,10 гр,0.0131,8263,2960,278,,True,,,True,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
41,41,07-04-2020 03:23:08,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0512,30563,10960,1028,400.0,True,,,,,,,,,gashish evro 10g
42,42,07-04-2020 03:23:08,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0995,59369,21290,1998,777.0,True,,,,,,,,,Gashish Evro 20gr
43,43,07-04-2020 03:23:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2427,152815,54800,5142,2000.0,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
44,44,07-04-2020 03:23:08,Tbilisi,f8a875c191,METADON - 0.25 G.,,3,15,Тбилиси,0.25 гр,0.0229,12989,4658,437,170.0,True,,,,,,,,,METADON - 0.25 G.
45,45,07-04-2020 03:23:08,Tbilisi,f8a875c191,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC,,1,1,Тбилиси,1 гр,0.0135,7641,2740,257,100.0,True,,,,,,,,,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC
46,46,07-04-2020 03:23:08,Tbilisi,54915c4374,MDMA 1 гр,,нет,2,Тбилиси,1 гр,0.0131,8263,2960,278,,True,,,,100.0,,,,,MDMA 1 gr
47,47,07-04-2020 03:23:08,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 2 грамма (порошок),,нет,1,Тбилиси,2 гр,0.0197,12395,4440,417,,True,,,,150.0,,,,,Buprenorfin!!! Analog suboteksa!!! 2 gramma (poroshok)
48,48,07-04-2020 03:23:08,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.027000000000000003,15281,5480,514,200.0,True,,,,,,,,,✨✨2gram. MDMA✨✨
49,49,07-04-2020 03:23:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0497,28194,10111,949,369.0,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
50,50,07-04-2020 03:23:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0795,45080,16166,1517,590.0,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
51,51,07-04-2020 03:23:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0534,30563,10960,1028,400.0,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,07-04-2020 03:23:08,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0214,12225,4384,411,160.0,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
53,53,07-04-2020 03:23:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0734,42024,15070,1414,550.0,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
54,54,07-04-2020 03:23:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0226,12913,4631,434,169.0,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
55,55,07-04-2020 03:23:08,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0227,12989,4658,437,170.0,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
56,56,07-04-2020 03:23:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0266,15205,5453,512,199.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,07-04-2020 03:23:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,7,Тбилиси,5 гр,0.0266,15205,5453,512,199.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
58,58,07-04-2020 03:23:08,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0266,16733,6001,563,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
59,59,07-04-2020 03:23:08,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0266,15205,5453,512,199.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,60,07-04-2020 03:23:08,Tbilisi,54915c4374,МДМА 5 гр!!!,,нет,2,Тбилиси,5 гр,0.0459,28922,10360,973,,True,,,,350.0,,,,,MDMA 5 gr!!!
61,61,07-04-2020 03:23:08,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0243,15281,5480,514,200.0,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
62,62,07-04-2020 03:23:08,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3017,190000,87429,6395,,True,,,,,,,,,reagent 25i nbome. 5gr
63,63,07-04-2020 03:23:08,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.364,229222,82200,7712,3000.0,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,64,07-04-2020 03:23:08,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1172,66398,23811,2234,869.0,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
65,65,07-04-2020 03:23:08,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0256,14517,5206,488,190.0,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
66,66,07-04-2020 03:23:40,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0658,37363,13399,1257,489.0,True,,,,,,,,,💘✨5g. MDMA ✨💘
67,67,07-04-2020 03:23:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,1,5,Тбилиси,5 гр,0.0254,14441,5179,486,189.0,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
68,68,07-04-2020 03:23:40,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.12,68767,24660,2314,900.0,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
69,69,07-04-2020 03:23:40,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0933,53485,19180,1800,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,07-04-2020 03:23:40,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0427,24450,8768,823,320.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,07-04-2020 03:23:40,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1066,61126,21920,2057,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,07-04-2020 03:23:40,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2966,170006,60965,5720,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,07-04-2020 03:23:40,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.1951,110714,39703,3725,1449.0,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,07-04-2020 03:23:40,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0497,28194,10111,949,369.0,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,07-04-2020 03:23:40,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0403,22846,8193,769,299.0,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,76,07-04-2020 03:23:40,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,нет,8,Тбилиси,20 гр,0.054000000000000006,30945,11097,1041,405.0,True,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
77,77,07-04-2020 03:23:40,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0807,45768,16413,1540,599.0,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,78,07-04-2020 03:23:40,Tbilisi,e56bb6ca93,50gr Georgian Indica dominant buds. The Best PRICE,,нет,13,Тбилиси,50 гр,0.1332,76331,27373,2568,999.0,True,,True,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
79,79,07-04-2020 03:23:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1466,84048,30140,2828,1100.0,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
80,80,07-04-2020 03:23:40,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3199,183378,65760,6170,2400.0,True,,,,,,,,,100 gr marijuana buds
81,81,07-04-2020 03:23:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2666,152815,54800,5142,2000.0,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
82,82,07-04-2020 03:23:40,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,1,1,Тбилиси,100 гр,0.2693,152815,54800,5142,2000.0,True,,,,,,,,,SUBOXIN - HQ - 100 G.
83,83,07-04-2020 03:23:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3333,191019,68500,6427,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
84,84,07-04-2020 03:23:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6132,351474,126040,11826,4600.0,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
85,85,07-04-2020 03:23:40,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.9998,573056,205500,19281,7500.0,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
86,86,07-04-2020 03:23:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1331,649463,232900,21852,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
87,87,07-04-2020 03:23:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0242,15281,5480,514,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
88,88,07-04-2020 03:23:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0267,15281,5480,514,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
89,89,07-04-2020 03:23:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0333,19102,6850,643,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
90,90,07-04-2020 03:23:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0178,1146111,411000,38562,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
91,91,07-04-2020 03:24:41,Batumi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,5,нет,Батуми,2 гр,0.0046,2903,1041,98,38.0,,,,,,,True,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
92,92,07-04-2020 03:24:41,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2927,168096,60280,5656,2200.0,,,,,,,True,,,[100g] SPAIN HASH
93,93,07-04-2020 03:24:41,Batumi,f8a875c191,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC,,нет,2,Батуми,1 гр,0.0134,7641,2740,257,100.0,,,,,,,True,,,MARIXYANA - 1 G. (SHISHKI) SALE 10% BTC
94,94,07-04-2020 03:24:41,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,13,Батуми,5 гр,0.0242,15281,5480,514,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
95,95,07-04-2020 03:24:41,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2687,152815,54800,5142,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
96,96,07-04-2020 03:24:41,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0121,7641,2740,257,100.0,,,,,,,True,,,kur'er v Batumi
97,97,07-04-2020 03:24:41,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0302,19102,6850,643,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
98,98,07-04-2020 03:24:41,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0302,19102,6850,643,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
99,99,07-04-2020 03:24:41,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0363,22922,8220,771,300.0,,,,,,,True,,,Rabota na marki (kur'er)
100,100,07-04-2020 03:24:41,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0137,1146111,411000,38562,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
101,101,07-04-2020 03:24:41,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0665,38204,13700,1285,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
102,102,07-04-2020 03:26:19,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,1 гр,0.0252,14594,5233,491,191.0,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
103,103,07-04-2020 03:26:19,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,1.5 гр,0.0191,11079,3973,373,145.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
104,104,07-04-2020 03:26:19,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0481,27889,10001,938,365.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
