,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Old Tbilisi (Старый город),$,Vake,Saburtalo,Nadzaladevi,Авлобари,Varketili,Батуми,Центр,desc_en
12,12,10-07-2020 02:01:56,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,2,нет,Тбилиси,5 гр,0.0143,10561,4053,364,,True,,149.0,,,,,,,,5g. GEO Marihuana boshki
13,13,10-07-2020 02:01:56,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.023,17011,6528,586,,,,240.0,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
14,14,10-07-2020 02:01:56,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,6,нет,Тбилиси,5 гр,0.0053,3898,1496,134,,True,,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
15,15,10-07-2020 02:01:56,Tbilisi,54915c4374,марки н-боом 5шт.,,2,нет,Тбилиси,5 гр,0.0069,4607,1768,159,,,,65.0,,True,,,,,,marki n-boom 5sht.
16,16,10-07-2020 02:01:56,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,1,нет,Тбилиси,10 гр,0.0137,9144,3509,315,,True,,129.0,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
17,17,10-07-2020 02:01:56,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.046,31896,12240,1098,,True,,450.0,,,,,,,,Gashish Evro 10gr
18,18,10-07-2020 02:01:56,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0105,7088,2720,244,,,,100.0,,True,,,,,,Marki n-boom 10 sht.
19,19,10-07-2020 02:01:56,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0173,12758,4896,439,,True,,180.0,,,,,,,,11+ GRAMM BEASTWEED NEW
20,20,10-07-2020 02:01:56,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0479,35440,13600,1220,,True,,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
21,21,10-07-2020 02:01:56,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4607,1768,159,,True,,65.0,,,,,,,,Silver haze leaves list'ja 15gr sale
22,22,10-07-2020 02:01:56,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2128,141760,54400,4880,,True,,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,23,10-07-2020 02:01:56,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0374,24928,9548,854,310.0,True,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
24,24,10-07-2020 02:01:56,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,4,Тбилиси,4 гр,0.0422,28352,10880,976,,True,,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,10-07-2020 02:01:56,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0264,17720,6800,610,,True,,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
26,26,10-07-2020 02:01:56,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.057999999999999996,38984,14960,1342,,True,,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,10-07-2020 02:01:56,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0285,19138,7344,659,,True,,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,10-07-2020 02:01:56,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0295,19846,7616,683,,True,,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,10-07-2020 02:01:56,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.028999999999999998,19492,7480,671,,True,,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,10-07-2020 02:01:56,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0253,17011,6528,586,,True,,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,10-07-2020 02:01:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0295,19846,7616,683,,True,,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,10-07-2020 02:01:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0285,19138,7344,659,,True,,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,10-07-2020 02:02:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19138,7344,657,,True,,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,10-07-2020 02:02:25,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0263,17720,6800,608,,,True,250.0,True,True,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
35,35,10-07-2020 02:02:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2566,190000,87429,6521,,True,,,,,,,,,,reagent 25i nbome. 5gr
36,36,10-07-2020 02:02:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2872,212640,81600,7300,,,True,3000.0,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,10-07-2020 02:02:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0948,63792,24480,2190,,True,,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,10-07-2020 02:02:25,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0579,38984,14960,1338,,True,,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,10-07-2020 02:02:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0737,49616,19040,1703,,True,,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,10-07-2020 02:02:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,29770,11424,1022,,True,,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,10-07-2020 02:02:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0843,56704,21760,1947,,True,,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,10-07-2020 02:02:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2343,157708,60520,5414,,True,,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
43,43,10-07-2020 02:02:25,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 Green Gelato™️ 26% THC 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.047,31361,12012,1074,390.0,True,,,,,,,,,,🧞‍♂️☄🍭 Green Gelato™️ 26% THC 10g 🍭☄🧞‍♀️
44,44,10-07-2020 02:02:25,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.047,31361,12012,1074,390.0,True,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
45,45,10-07-2020 02:02:25,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Тбилиси,11 гр,0.0481,32085,12289,1099,399.0,True,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
46,46,10-07-2020 02:02:25,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0622,46072,17680,1582,,True,,650.0,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
47,47,10-07-2020 02:02:25,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2528,170112,65280,5840,,True,,2400.0,,,,,,,,100 gr marijuana buds
48,48,10-07-2020 02:02:25,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2633,177200,68000,6083,,True,,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
49,49,10-07-2020 02:02:25,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6214,418192,160480,14356,,True,,5900.0,,,,,,,,180 gr marihuana persoalno
50,50,10-07-2020 02:02:25,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8952,602480,231200,20682,,True,,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
51,51,10-07-2020 02:02:25,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14176,5440,487,,True,,200.0,,,,,,,,KURYER..500RUB.+BONUS
52,52,10-07-2020 02:02:25,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17720,6800,608,,True,,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
53,53,10-07-2020 02:02:25,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14176,5440,487,,True,,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
54,54,10-07-2020 02:02:25,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17720,6800,608,,True,,250.0,,,,,,,,Rabota na marki (kur'er)
55,55,10-07-2020 02:02:25,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0527,35440,13600,1217,,True,,500.0,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
56,56,10-07-2020 02:02:25,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0191,14176,5440,487,,True,,200.0,,,,,,,,Rabota kur'erom
57,57,10-07-2020 02:02:25,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5941,1063200,408000,36498,,True,,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
58,58,10-07-2020 02:02:25,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0527,35440,13600,1217,,,True,500.0,True,,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
59,59,10-07-2020 02:03:27,Batumi,7c2ccfb3f3,Мефедрон 1г,,1,нет,Батуми,1 гр,0.0124,9214,3536,316,,,,130.0,,,,,,True,,Mefedron 1g
60,60,10-07-2020 02:03:27,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,4,нет,Батуми,2 гр,0.0191,14176,5440,487,,,,200.0,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
61,61,10-07-2020 02:03:27,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 3шт.,,1,нет,Батуми,3 гр,0.0239,17720,6800,608,,,,250.0,,,,,,True,,Tably Punisher 300 mg. 3sht.
62,62,10-07-2020 02:03:27,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0374,24928,9548,854,310.0,,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
63,63,10-07-2020 02:03:27,Batumi,d30ed85c42,🧞‍♂️☄🍭 Green Gelato™️ 26% THC 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.047,31361,12012,1074,390.0,,,,,,,,,True,,🧞‍♂️☄🍭 Green Gelato™️ 26% THC 10g 🍭☄🧞‍♀️
64,64,10-07-2020 02:03:27,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.047,31361,12012,1074,390.0,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,65,10-07-2020 02:03:27,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0481,32085,12289,1099,399.0,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
66,66,10-07-2020 02:03:27,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1679,112990,51992,3878,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
67,67,10-07-2020 02:03:27,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2658,178900,82321,6140,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
68,68,10-07-2020 02:03:27,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7088,2720,243,,,,100.0,,,,,,True,,kur'er v Batumi
69,69,10-07-2020 02:03:27,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17720,6800,608,,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
70,70,10-07-2020 02:03:27,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17720,6800,608,,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
71,71,10-07-2020 02:03:27,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14176,5440,487,,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
72,72,10-07-2020 02:03:27,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5941,1063200,408000,36498,,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
73,73,10-07-2020 02:03:27,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,35440,13600,1217,,,,500.0,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
