,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
11,11,29-06-2020 20:33:35,Tbilisi,69672fee0d,1 г Skunk #1 марихуана шишки тгк 29% VHQ,,5,нет,Тбилиси,1 гр,0.0061,4127,1587,141,,True,59.0,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
12,12,29-06-2020 20:33:35,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,10,нет,Тбилиси,1 гр,0.0055,3707,1426,126,,,53.0,True,,,,,,,1G ---> Big Devil (BTC - Sale)
13,13,29-06-2020 20:33:35,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),,10,нет,Тбилиси,1 гр,0.0052,3498,1345,119,,True,50.0,,,,,,,,1G ---> Pineapple (BTC - Sale)
14,14,29-06-2020 20:33:35,Tbilisi,366326d4d6,1G --... BoLiVian Coke ...-- 1G,,1,нет,Тбилиси,1 гр,0.0315,20915,8043,713,,True,299.0,,,,,,,,1G --... BoLiVian Coke ...-- 1G
15,15,29-06-2020 20:33:35,Tbilisi,0dec0e1c48,1gr HYBRID o.g,,2,нет,Тбилиси,1 гр,0.0051,3428,1318,117,,True,49.0,,,,,,,,1gr HYBRID o.g
16,16,29-06-2020 20:33:35,Tbilisi,ebadfc162f,The Best Weed In Your Life 1G 100%шишки! LIMITED,,2,нет,Тбилиси,1 гр,0.0068,4547,1749,155,,True,65.0,,,,,,,,The Best Weed In Your Life 1G 100%shishki! LIMITED
17,17,29-06-2020 20:33:35,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0262,17418,6698,594,,,249.0,True,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
18,18,29-06-2020 20:33:35,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,,1,нет,Тбилиси,2 гр,0.0396,26582,10222,906,,True,380.0,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
19,19,29-06-2020 20:33:35,Tbilisi,16a8841259,листя+бошки в трихомах 2г,,2,нет,Тбилиси,2 гр,0.0038,2798,1076,95,,True,40.0,,,,,,,,listja+boshki v trihomah 2g
20,20,29-06-2020 20:33:35,Tbilisi,54915c4374,марки н-боом 2 шт.,,8,нет,Тбилиси,2 гр,0.0036,2448,942,83,,,35.0,True,,,,,,,marki n-boom 2 sht.
21,21,29-06-2020 20:33:35,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0089,5946,2287,203,,,85.0,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
22,22,29-06-2020 20:33:35,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,21,нет,Тбилиси,3 гр,0.0091,6086,2340,207,,True,87.0,,,True,,,,,3 gr georgian weed. Package on magnet
23,23,29-06-2020 20:33:35,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,1,нет,Тбилиси,5 гр,0.0099,7345,2825,250,,True,105.0,,,,,,,,5 + GRAMM NEW BEASTWEED
24,24,29-06-2020 20:33:35,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,18,нет,Тбилиси,5 гр,0.0073,4827,1856,164,,True,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,29-06-2020 20:33:35,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.0141,10423,4008,355,,True,149.0,,,,,,,,5g. GEO Marihuana boshki
26,26,29-06-2020 20:33:35,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1323,88838,34163,3028,,True,1270.0,,,,,,,,Cocaine Pure VHQ 5g.
27,27,29-06-2020 20:33:35,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,,1,нет,Тбилиси,5 гр,0.1562,104857,40323,3573,,True,1499.0,,,,,,,,VHQ BEST Cocaine 5g.
28,28,29-06-2020 20:33:35,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,5 гр,0.0052,3847,1480,131,,True,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
29,29,29-06-2020 20:33:35,Tbilisi,54915c4374,марки н-боом 5шт.,,4,9,Тбилиси,5 гр,0.0068,4547,1749,155,,True,65.0,True,,,,,,,marki n-boom 5sht.
30,30,29-06-2020 20:33:35,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,8,нет,Тбилиси,10 гр,0.0249,16718,6429,570,,True,239.0,,,,,,,,10 gr georgian weed. Package on magnet
31,31,29-06-2020 20:33:35,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,12,нет,Тбилиси,10 гр,0.0136,9024,3470,308,,True,129.0,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,32,29-06-2020 20:33:35,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.0455,31478,12105,1073,,True,450.0,,,,,,,,Gashish Evro 10gr
33,33,29-06-2020 20:33:35,Tbilisi,54915c4374,Марки н-боом 10 шт.,,5,7,Тбилиси,10 гр,0.0104,6995,2690,238,,True,100.0,True,,,,,,,Marki n-boom 10 sht.
34,34,29-06-2020 20:33:35,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,10 гр,0.0081,5946,2287,203,,True,85.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,35,29-06-2020 20:33:35,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,1,нет,Тбилиси,10 гр,0.009000000000000001,6645,2556,226,,True,95.0,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
36,36,29-06-2020 20:35:09,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.017,12591,4842,429,,True,180.0,,,,,,,,11+ GRAMM BEASTWEED NEW
37,37,29-06-2020 20:35:09,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0473,34976,13450,1192,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
38,38,29-06-2020 20:35:09,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4547,1749,155,,True,65.0,,,,,,,,Silver haze leaves list'ja 15gr sale
39,39,29-06-2020 20:35:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2102,139903,53800,4768,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,29-06-2020 20:35:09,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,4,Тбилиси,1 гр,0.0047,3148,1211,107,,True,45.0,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
41,41,29-06-2020 20:35:09,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0094,6296,2421,215,,True,90.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
42,42,29-06-2020 20:35:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0525,34906,13423,1190,,True,499.0,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,29-06-2020 20:35:09,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0088,5901,2261,201,75.0,True,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
44,44,29-06-2020 20:35:09,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,6,Тбилиси,3 гр,0.0125,8394,3228,286,,True,120.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
45,45,29-06-2020 20:35:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0789,52463,20175,1788,,True,750.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,46,29-06-2020 20:35:09,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,нет,5,Тбилиси,3 гр,0.0126,8394,3228,286,,True,120.0,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
47,47,29-06-2020 20:35:09,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0417,27981,10760,954,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,48,29-06-2020 20:35:09,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0125,8394,3228,286,,True,120.0,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
49,49,29-06-2020 20:35:09,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.026000000000000002,17488,6725,596,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
50,50,29-06-2020 20:35:09,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0573,38473,14795,1311,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,51,29-06-2020 20:35:09,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0281,18887,7263,644,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,52,29-06-2020 20:35:09,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0292,19586,7532,668,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
53,53,29-06-2020 20:35:09,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0286,19237,7398,656,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
54,54,29-06-2020 20:35:09,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.025,16788,6456,572,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
55,55,29-06-2020 20:35:09,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0292,19586,7532,668,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
56,56,29-06-2020 20:35:09,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0281,18887,7263,644,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
57,57,29-06-2020 20:35:09,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,15319,5891,522,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
58,58,29-06-2020 20:35:09,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0182,12241,4708,417,,True,175.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
59,59,29-06-2020 20:35:09,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0281,18887,7263,644,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,60,29-06-2020 20:35:09,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1562,104927,40350,3576,,True,1500.0,,,,,,,,Gerojn (sirets) 5 gr
61,61,29-06-2020 20:35:09,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2572,190000,87429,6552,,True,,,,,,,,,reagent 25i nbome. 5gr
62,62,29-06-2020 20:35:09,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.284,209854,80700,7152,,,3000.0,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
63,63,29-06-2020 20:35:09,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1314,87369,33598,2978,,True,1249.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
64,64,29-06-2020 20:35:09,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,15,Тбилиси,5 гр,0.021,13990,5380,477,,True,200.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,65,29-06-2020 20:35:09,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0937,62956,24210,2146,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,66,29-06-2020 20:35:09,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0573,38473,14795,1311,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
67,67,29-06-2020 20:35:09,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0729,48966,18830,1669,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,68,29-06-2020 20:35:09,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0437,29380,11298,1001,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,69,29-06-2020 20:35:09,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0833,55961,21520,1907,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,29-06-2020 20:36:35,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0344,23084,8877,787,,True,330.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
71,71,29-06-2020 20:36:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2319,155642,59853,5304,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
72,72,29-06-2020 20:36:35,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2293,153893,59180,5245,,True,2200.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
73,73,29-06-2020 20:36:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.263,174808,67223,5957,,True,2499.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,29-06-2020 20:36:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0421,27981,10760,954,,True,400.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,29-06-2020 20:36:35,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.046,30686,11759,1043,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,76,29-06-2020 20:36:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0842,55961,21520,1907,,True,800.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,29-06-2020 20:36:35,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2501,167883,64560,5721,,True,2400.0,,,,,,,,100 gr marijuana buds
78,78,29-06-2020 20:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2084,139903,53800,4768,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,29-06-2020 20:36:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2605,174878,67250,5960,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,29-06-2020 20:36:35,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6148,412713,158710,14065,,True,5900.0,,,,,,,,180 gr marihuana persoalno
81,81,29-06-2020 20:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4793,321776,123740,10966,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,29-06-2020 20:36:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7815,524635,201750,17879,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,29-06-2020 20:36:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8857,594586,228650,20263,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,29-06-2020 20:36:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,13990,5380,477,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
85,85,29-06-2020 20:36:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,13990,5380,477,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,86,29-06-2020 20:36:35,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0261,17488,6725,596,,True,250.0,,,,,,,,Rabota na marki (kur'er)
87,87,29-06-2020 20:36:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5773,1049270,403500,35759,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
88,88,29-06-2020 20:39:36,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.047,31478,12105,1073,,,450.0,,,,,,True,,Super Critical 10G
89,89,29-06-2020 20:39:36,Batumi,f8a875c191,METADON - 0.25 - SALE,,1,10,Батуми,0.25 гр,0.0264,17488,6725,596,,,250.0,,,,,,,True,METADON - 0.25 - SALE
90,90,29-06-2020 20:39:36,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1566,104927,40350,3576,,,1500.0,,,,,,,True,Gerojn (sirets) 5 gr
91,91,29-06-2020 20:39:36,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2297,153893,59180,5245,,,2200.0,,,,,,,True,Sirets (gerojn) ochen' sil'nyj 10 gr
92,92,29-06-2020 20:39:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1686,112990,51992,3897,,,,,,,,,,True,❥ Tvoj! GAShISh Marokko 500 gramm ♥
93,93,29-06-2020 20:39:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.267,178900,82321,6170,,,,,,,,,,True,❥Tvoj! GAShISh Marokko 1000 gramm ♥
94,94,29-06-2020 20:39:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,6995,2690,238,,,100.0,,,,,,,True,kur'er v Batumi
95,95,29-06-2020 20:39:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17488,6725,596,,,250.0,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
96,96,29-06-2020 20:39:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17488,6725,596,,,250.0,,,,,,,True,Ischu kur'era v Gruzii!
97,97,29-06-2020 20:39:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,13990,5380,477,,,200.0,,,,,,,True,Kur'er Batumi na marihuanu
98,98,29-06-2020 20:39:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.58,1049270,403500,35759,,,15000.0,,,,,,,True,Vakansija optovogo kur'era na mef
99,99,29-06-2020 20:39:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0522,34976,13450,1192,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
