,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vazisubani,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
52,52,15-05-2020 10:06:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0935,24210,2206,66537,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,15-05-2020 10:06:41,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0415,10760,980,29572,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,54,15-05-2020 10:06:41,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0727,18830,1716,51751,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,15-05-2020 10:06:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,11298,1030,31051,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,15-05-2020 10:06:41,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0104,2690,245,7393,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
57,57,15-05-2020 10:06:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0831,21520,1961,59144,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,15-05-2020 10:06:41,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0301,7801,711,21440,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
59,59,15-05-2020 10:06:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2311,59853,5454,164494,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,15-05-2020 10:06:41,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1636,41937,3821,115257,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,15-05-2020 10:06:41,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,9926,905,27280,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,15-05-2020 10:06:41,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5245,134500,12256,369649,5000.0,,,,,,,,,,METADON - 20 G.
63,63,15-05-2020 10:06:41,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0628,16113,1468,44284,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,64,15-05-2020 10:06:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1143,29590,2696,81323,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,15-05-2020 10:06:41,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2493,64560,5883,177432,2400.0,,,,,,,,,,100 gr marijuana buds
66,66,15-05-2020 10:06:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2077,53800,4902,147860,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,15-05-2020 10:06:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2597,67250,6128,184825,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,15-05-2020 10:06:42,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6128,158710,14462,436186,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,15-05-2020 10:07:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4776,123740,11276,340077,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,15-05-2020 10:07:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7787,201750,18384,554474,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,15-05-2020 10:07:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8826,228650,20835,628403,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
