,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vazisubani,Vake,Gldani,Saburtalo,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
37,37,18-06-2020 21:58:18,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0992,66764,25797,2284,,True,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,18-06-2020 21:58:18,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13227,5111,452,,True,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,39,18-06-2020 21:58:18,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,9,Тбилиси,5 гр,0.0506,34043,13154,1164,,True,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
40,40,18-06-2020 21:58:18,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,62656,24210,2143,,True,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,18-06-2020 21:58:18,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0563,38290,14795,1310,,True,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,42,18-06-2020 21:58:18,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0717,48733,18830,1667,,True,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,18-06-2020 21:58:18,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.043,29240,11298,1000,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,18-06-2020 21:58:18,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0819,55694,21520,1905,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,18-06-2020 21:58:18,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2278,154900,59853,5298,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
46,46,18-06-2020 21:58:18,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.1612,108534,41937,3712,,True,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,18-06-2020 21:58:18,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0816,54929,21224,1879,,True,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
48,48,18-06-2020 21:58:18,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.0382,25689,9926,879,,True,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,18-06-2020 21:58:18,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0452,30534,11837,1046,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,50,18-06-2020 21:58:18,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1396,104427,40350,3572,,True,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
51,51,18-06-2020 21:58:18,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0619,41701,16113,1426,,True,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,18-06-2020 21:58:18,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.133,90434,34943,3093,,True,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
53,53,18-06-2020 21:58:18,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2558,173975,67223,5951,,True,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
54,54,18-06-2020 21:58:18,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2457,167083,64560,5715,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
55,55,18-06-2020 21:58:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2047,139236,53800,4762,,True,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,18-06-2020 21:58:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2559,174045,67250,5953,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,18-06-2020 21:58:18,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.604,410746,158710,14049,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
58,58,18-06-2020 21:58:18,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.439,295877,114325,10120,,True,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
59,59,18-06-2020 21:58:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4709,320243,123740,10954,,True,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,18-06-2020 21:58:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7678,522135,201750,17859,,True,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,18-06-2020 21:58:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8701,591753,228650,20240,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,18-06-2020 21:58:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13924,5380,476,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,18-06-2020 21:58:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0205,13924,5380,476,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,18-06-2020 21:58:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5495,1044270,403500,35718,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,18-06-2020 21:59:39,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,18,нет,Батуми,0.25 гр,0.0145,10100,3915,346,129.0,,,,,,,,,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
66,66,18-06-2020 21:59:39,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,2,нет,Батуми,5 гр,0.031,20885,8070,714,,,300.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
67,67,18-06-2020 21:59:39,Batumi,f8a875c191,METADON - 025,,нет,4,Батуми,0.25 гр,0.0362,24366,9415,833,,,350.0,,,,,,,,,True,,METADON - 025
68,68,18-06-2020 21:59:39,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.043,29240,11298,1000,,,420.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
69,69,18-06-2020 21:59:39,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1661,112990,51992,3868,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
70,70,18-06-2020 21:59:39,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.263,178900,82321,6124,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
71,71,18-06-2020 21:59:39,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6962,2690,238,,,100.0,,,,,,,,,True,,kur'er v Batumi
72,72,18-06-2020 21:59:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17405,6725,595,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
73,73,18-06-2020 21:59:39,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17405,6725,595,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
74,74,18-06-2020 21:59:39,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0205,13924,5380,476,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
75,75,18-06-2020 21:59:39,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5492,1044270,403500,35718,,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
76,76,18-06-2020 21:59:39,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0512,34809,13450,1191,,,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
