,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Батуми,Центр,desc_en
30,30,23-07-2020 12:06:45,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,5 гр,0.0279,19113,7587,644,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
31,31,23-07-2020 12:06:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,1,нет,Тбилиси,5 гр,0.0183,13804,5480,465,195.0,,,,,,,,,,,5g. marihuana shishki Critical
32,32,23-07-2020 12:06:45,Tbilisi,dd631c4acf,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,6 гр,0.027000000000000003,18334,7278,618,259.0,True,True,,,,,,,,,🚲🎉🚲 6 Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
33,33,23-07-2020 12:06:45,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 20gramm special price,True,1,нет,Тбилиси,20 гр,0.0544,41057,16298,1384,580.0,,,,,,,,,,,Northern Lights Regular [budsonly] 20gramm special price
34,34,23-07-2020 12:06:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2082,141576,56200,4771,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,35,23-07-2020 12:06:45,Tbilisi,9610a68a0a,suboxsone 0.4 g,True,нет,7,Тбилиси,0.4 гр,0.0041,2832,1124,95,40.0,,,,,,,,,,,suboxsone 0.4 g
36,36,23-07-2020 12:08:07,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0258,17697,7025,596,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
37,37,23-07-2020 12:08:07,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,2,Тбилиси,5 гр,0.0567,38933,15455,1312,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
38,38,23-07-2020 12:08:07,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,1,6,Тбилиси,5 гр,0.0279,19113,7587,644,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
39,39,23-07-2020 12:08:07,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0284,19467,7728,656,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,23-07-2020 12:08:07,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0248,16989,6744,573,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,23-07-2020 12:08:07,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0289,19821,7868,668,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,23-07-2020 12:08:07,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0279,19113,7587,644,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,23-07-2020 12:08:07,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0205,15503,6154,522,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,23-07-2020 12:08:07,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.0242,16635,6604,561,235.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
45,45,23-07-2020 12:08:07,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0225,16989,6744,573,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
46,46,23-07-2020 12:08:07,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0279,19113,7587,644,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,23-07-2020 12:08:07,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2517,190000,87429,6398,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,23-07-2020 12:08:07,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2813,212364,84300,7156,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,23-07-2020 12:08:07,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,True,нет,2,Тбилиси,5 гр,0.0258,17697,7025,596,250.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
50,50,23-07-2020 12:08:07,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,2,Тбилиси,5 гр,0.024,16318,6500,550,,,,,,,,200.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,23-07-2020 12:08:07,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0928,63709,25290,2147,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,23-07-2020 12:08:07,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0567,38933,15455,1312,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,23-07-2020 12:08:07,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0722,49552,19670,1670,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,23-07-2020 12:08:07,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0433,29731,11802,1002,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,23-07-2020 12:08:07,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0825,56630,22480,1908,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,23-07-2020 12:08:07,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,8,Тбилиси,10 гр,0.0433,29731,11802,1002,420.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,57,23-07-2020 12:08:07,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,True,1,10,Тбилиси,10 гр,0.0356,26899,10678,906,380.0,,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
58,58,23-07-2020 12:08:07,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2295,157504,62523,5308,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,23-07-2020 12:08:07,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,True,нет,1,Тбилиси,10 гр,0.0423,29023,11521,978,410.0,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
60,60,23-07-2020 12:08:07,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0528,35900,14300,1210,,,,,,,,440.0,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,61,23-07-2020 12:08:07,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0468,31820,12675,1072,,,,,,,,390.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,23-07-2020 12:08:07,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.061,46012,18265,1551,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
63,63,23-07-2020 12:08:07,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2476,169891,67440,5725,2400.0,,,,,,,,,,,100 gr marijuana buds
64,64,23-07-2020 12:08:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2579,176970,70250,5964,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,23-07-2020 12:08:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,нет,2,Тбилиси,100 гр,0.0361,24776,9835,835,350.0,,,,,True,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
66,66,23-07-2020 12:08:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6086,417650,165790,14074,5900.0,,,,,,,,,,,180 gr marihuana persoalno
67,67,23-07-2020 12:08:07,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,4,Тбилиси,500 гр,0.1031,70788,28100,2385,1000.0,True,True,,,True,True,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
68,68,23-07-2020 12:08:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8767,601699,238850,20276,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
69,69,23-07-2020 12:08:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,14158,5620,477,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,23-07-2020 12:09:40,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0155,10618,4215,358,150.0,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
71,71,23-07-2020 12:09:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0258,17697,7025,596,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,23-07-2020 12:09:40,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,True,1,нет,Тбилиси,5 гр,0.0375,28315,11240,954,400.0,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
73,73,23-07-2020 12:09:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0206,14158,5620,477,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,23-07-2020 12:09:40,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0258,17697,7025,596,250.0,,,,,,,,,,,Rabota na marki (kur'er)
75,75,23-07-2020 12:09:40,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0516,35394,14050,1193,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
76,76,23-07-2020 12:09:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5613,1061822,421500,35781,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,23-07-2020 12:09:40,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0516,35394,14050,1193,500.0,,True,,,True,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,23-07-2020 12:12:09,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,13,нет,Батуми,2 гр,0.0043,2973,1180,100,42.0,,,,,,,,,True,,Melkie shishki (Indica) 2g
79,79,23-07-2020 12:12:09,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0361,24776,9835,835,350.0,,,,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
80,80,23-07-2020 12:12:09,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0464,31855,12645,1073,450.0,,,,,,,,,,True,Super Critical 10G
81,81,23-07-2020 12:12:09,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0372,25293,10075,852,,,,,,,,310.0,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,82,23-07-2020 12:12:09,Batumi,7c2ccfb3f3,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0328,24776,9835,835,350.0,,,,,,,,,True,,Mefedron 3g
83,83,23-07-2020 12:12:09,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 5шт.,,нет,5,Батуми,5 гр,0.0394,29731,11802,1002,420.0,,,,,,,,,True,,Tably Punisher 300 mg. 5sht.
84,84,23-07-2020 12:12:09,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0528,35900,14300,1210,,,,,,,,440.0,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,23-07-2020 12:12:09,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0468,31820,12675,1072,,,,,,,,390.0,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,23-07-2020 12:12:09,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0479,32555,12968,1097,,,,,,,,399.0,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
87,87,23-07-2020 12:12:09,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1647,112990,51992,3805,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,23-07-2020 12:12:09,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2607,178900,82321,6024,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,23-07-2020 12:12:09,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7079,2810,239,100.0,,,,,,,,,True,,kur'er v Batumi
90,90,23-07-2020 12:12:09,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17697,7025,596,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,91,23-07-2020 12:12:09,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17697,7025,596,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
92,92,23-07-2020 12:12:09,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0206,14158,5620,477,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
93,93,23-07-2020 12:12:09,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5614,1061822,421500,35781,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,94,23-07-2020 12:12:09,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0516,35394,14050,1193,500.0,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
