,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,€,Батуми,Кутаиси,desc_en
58,08-05-2020 19:52:51,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.01,7387,2711,245,100,,,,,,,,,,,10G Hybrid Marijuana Leafs
59,08-05-2020 19:52:51,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0796,59098,21688,1963,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,08-05-2020 19:52:51,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0289,21423,7862,711,290,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
61,08-05-2020 19:52:51,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2215,164366,60320,5459,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
62,08-05-2020 19:52:51,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1567,115167,42264,3825,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,08-05-2020 19:52:51,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0371,27259,10004,905,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,08-05-2020 19:52:51,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5027,369363,135550,12267,5000,,,,,,,,,,,METADON - 20 G.
65,08-05-2020 19:52:51,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0602,44250,16239,1470,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
66,08-05-2020 19:52:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1095,81260,29821,2699,1100,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
67,08-05-2020 19:52:51,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2389,177294,65064,5888,2400,,,,,,,,,,,100 gr marijuana buds
