,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,desc_en
34,34,09-07-2020 17:27:05,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0281,19138,7344,659,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,09-07-2020 17:27:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2539,190000,87429,6517,,True,,,,,,,,,reagent 25i nbome. 5gr
36,36,09-07-2020 17:27:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2841,212640,81600,7320,,,3000.0,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,09-07-2020 17:27:05,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0938,63792,24480,2196,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
38,38,09-07-2020 17:27:05,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0573,38984,14960,1342,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
39,39,09-07-2020 17:27:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0729,49616,19040,1708,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
40,40,09-07-2020 17:27:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0438,29770,11424,1025,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
41,41,09-07-2020 17:27:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0833,56704,21760,1952,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
42,42,09-07-2020 17:27:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2318,157708,60520,5429,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
43,43,09-07-2020 17:27:05,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0465,31361,12012,1074,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
44,44,09-07-2020 17:27:05,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0616,46072,17680,1586,,True,650.0,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
45,45,09-07-2020 17:27:05,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.25,170112,65280,5856,,True,2400.0,,,,,,,,100 gr marijuana buds
46,46,09-07-2020 17:27:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2604,177200,68000,6100,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
47,47,09-07-2020 17:27:05,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6147,418192,160480,14395,,True,5900.0,,,,,,,,180 gr marihuana persoalno
48,48,09-07-2020 17:27:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8855,602480,231200,20739,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
49,49,09-07-2020 17:27:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14176,5440,488,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
50,50,09-07-2020 17:27:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.026000000000000002,17720,6800,610,,True,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
51,51,09-07-2020 17:27:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,14176,5440,488,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
52,52,09-07-2020 17:27:05,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026000000000000002,17720,6800,610,,True,250.0,,,,,,,,Rabota na marki (kur'er)
53,53,09-07-2020 17:27:05,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0521,35440,13600,1220,,True,500.0,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
54,54,09-07-2020 17:27:05,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0189,14176,5440,488,,True,200.0,,,,,,,,Rabota kur'erom
55,55,09-07-2020 17:27:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5769,1063200,408000,36599,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
56,56,09-07-2020 17:27:05,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0521,35440,13600,1220,,,500.0,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
57,57,09-07-2020 17:28:31,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,5,нет,Батуми,2 гр,0.0189,14176,5440,488,,,200.0,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
58,58,09-07-2020 17:28:31,Batumi,7c2ccfb3f3,Метамфетамин 2г,,1,нет,Батуми,2 гр,0.0265,19846,7616,683,,,280.0,,,,,,True,,Metamfetamin 2g
59,59,09-07-2020 17:28:31,Batumi,7c2ccfb3f3,Таблы Punisher 300 mg. 3шт.,,1,нет,Батуми,3 гр,0.0237,17720,6800,610,,,250.0,,,,,,True,,Tably Punisher 300 mg. 3sht.
60,60,09-07-2020 17:28:31,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,31361,12012,1074,390.0,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,61,09-07-2020 17:28:31,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0501,33774,12936,1157,420.0,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
62,62,09-07-2020 17:28:31,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1661,112990,51992,3876,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
63,63,09-07-2020 17:28:31,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2629,178900,82321,6136,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
64,64,09-07-2020 17:28:31,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7088,2720,244,,,100.0,,,,,,True,,kur'er v Batumi
65,65,09-07-2020 17:28:31,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0237,17720,6800,610,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
66,66,09-07-2020 17:28:31,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0237,17720,6800,610,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
67,67,09-07-2020 17:28:31,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,14176,5440,488,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
68,68,09-07-2020 17:28:31,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5768,1063200,408000,36599,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
69,69,09-07-2020 17:28:31,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0521,35440,13600,1220,,,500.0,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
