,Unnamed: 0,time_stamp,region,sell_code,description,Varketili,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Дигоми,Gldani,Tbilisis Zgva,Saburtalo,Nadzaladevi,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
26,26,30-04-2020 15:18:10,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0645,42109,15720,1411,579.0,True,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
27,27,30-04-2020 15:18:10,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0441,29091,10860,974,400.0,True,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
28,28,30-04-2020 15:18:10,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0607,39999,14933,1340,550.0,True,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,30-04-2020 15:18:10,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,4,Тбилиси,5 гр,0.0188,12363,4616,414,170.0,True,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
30,30,30-04-2020 15:18:10,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,,нет,3,Тбилиси,5 гр,0.0241,15854,5919,531,218.0,True,,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
31,31,30-04-2020 15:18:10,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.022000000000000002,14473,5403,485,199.0,True,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,30-04-2020 15:18:10,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.022000000000000002,14473,5403,485,199.0,True,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,30-04-2020 15:18:10,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022000000000000002,15927,5946,534,219.0,True,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,30-04-2020 15:18:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0218,14473,5403,485,199.0,True,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,30-04-2020 15:18:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2596,190000,87429,6283,,True,,,,,,,,,,,,,reagent 25i nbome. 5gr
36,36,30-04-2020 15:18:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2981,218179,81450,7308,3000.0,,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,30-04-2020 15:18:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1059,69745,26037,2336,959.0,True,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,30-04-2020 15:18:42,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0209,13745,5131,460,189.0,True,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
39,39,30-04-2020 15:18:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.021,13818,5159,463,190.0,True,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,30-04-2020 15:18:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.054000000000000006,35563,13276,1191,489.0,True,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,30-04-2020 15:18:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0209,13745,5131,460,189.0,True,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
42,42,30-04-2020 15:18:42,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,10,Тбилиси,10 гр,0.012,8000,2987,268,110.0,True,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
43,43,30-04-2020 15:18:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0984,65454,24435,2192,900.0,True,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,30-04-2020 15:18:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0765,50908,19005,1705,700.0,True,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,30-04-2020 15:18:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.035,23272,8688,780,320.0,True,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,30-04-2020 15:18:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0874,58181,21720,1949,800.0,True,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,30-04-2020 15:18:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2432,161816,60409,5420,2225.0,True,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
48,48,30-04-2020 15:18:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,6,Тбилиси,10 гр,0.1721,113380,42327,3798,1559.0,True,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,49,30-04-2020 15:18:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0407,26836,10018,899,369.0,True,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,30-04-2020 15:18:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.033,21745,8118,728,299.0,True,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
51,51,30-04-2020 15:18:42,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5519,363632,135750,12181,5000.0,True,,,,,,,,,,,,,METADON - 20 G.
52,52,30-04-2020 15:18:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0661,43563,16263,1459,599.0,True,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,30-04-2020 15:18:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1202,79999,29865,2680,1100.0,True,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
54,54,30-04-2020 15:18:42,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2623,174543,65160,5847,2400.0,True,,,,,,,,,,,,,100 gr marijuana buds
55,55,30-04-2020 15:18:42,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,3,Тбилиси,100 гр,0.3279,218179,81450,7308,3000.0,True,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
56,56,30-04-2020 15:18:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2186,145453,54300,4872,2000.0,True,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,30-04-2020 15:18:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2732,181816,67875,6090,2500.0,True,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,30-04-2020 15:18:42,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6448,429085,160185,14373,5900.0,True,,,,,,,,,,,,,180 gr marihuana persoalno
59,59,30-04-2020 15:18:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5027,334541,124890,11206,4600.0,True,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,30-04-2020 15:18:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8197,545447,203625,18271,7500.0,True,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,30-04-2020 15:18:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.929,618174,230775,20707,8500.0,True,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,30-04-2020 15:18:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0199,14545,5430,487,200.0,True,,,,,,,,,,,,,KURYER..500RUB.+BONUS
63,63,30-04-2020 15:18:42,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0219,14545,5430,487,200.0,True,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,30-04-2020 15:18:42,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0273,18182,6788,609,250.0,True,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,65,30-04-2020 15:18:42,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0219,14545,5430,487,200.0,True,,,,,,,,,,,,,Rabota na marki (kur'er)
66,66,30-04-2020 15:18:42,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6543,1090895,407250,36542,15000.0,True,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,30-04-2020 15:20:13,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2403,159998,59730,5359,2200.0,,,,,,,,,,,True,,,[100g] SPAIN HASH
68,68,30-04-2020 15:20:13,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.012,8000,2987,268,110.0,,,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
69,69,30-04-2020 15:20:13,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7273,2715,244,100.0,,,,,,,,,,,True,,,kur'er v Batumi
70,70,30-04-2020 15:20:13,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,18182,6788,609,250.0,,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,30-04-2020 15:20:13,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,18182,6788,609,250.0,,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
72,72,30-04-2020 15:20:13,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6533,1090895,407250,36542,15000.0,,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
73,73,30-04-2020 15:20:13,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0546,36363,13575,1218,500.0,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
74,74,30-04-2020 15:21:50,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0204,13745,5131,460,189.0,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
75,75,30-04-2020 15:21:50,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0529,35200,13141,1179,484.0,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
76,76,30-04-2020 15:21:50,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0364,24218,9041,811,333.0,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,30-04-2020 15:21:50,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0218,14545,5430,487,200.0,,,,,,,,,,,,,True,Rabota na marki (kur'er)
