,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,12-06-2020 21:40:42,Tbilisi,e56bb6ca93,АКЦИЯ! СУПЕР ЦЕНА! 10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0204,13755,5343,473,199.0,,True,,,,,,AKTsIJa! SUPER TsENA! 10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
11,11,12-06-2020 21:40:42,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0465,34561,13425,1187,500.0,True,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
12,12,12-06-2020 21:40:42,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2065,138244,53700,4750,2000.0,True,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
13,13,12-06-2020 21:40:42,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0381,25506,9908,876,369.0,True,,,,,,,❄❄2g HQ COCAINE❄❄
14,14,12-06-2020 21:40:42,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0598,40022,15546,1375,579.0,True,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
15,15,12-06-2020 21:40:42,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0409,27649,10740,950,400.0,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
16,16,12-06-2020 21:40:42,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,1,Тбилиси,4 гр,0.0143,9677,3759,332,140.0,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
17,17,12-06-2020 21:40:42,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0563,38017,14768,1306,550.0,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
18,18,12-06-2020 21:40:42,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.0241,16244,6310,558,235.0,True,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
19,19,12-06-2020 21:40:42,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0246,16589,6444,570,240.0,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
20,20,12-06-2020 21:40:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,7,Тбилиси,5 гр,0.0235,15898,6176,546,230.0,True,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
21,21,12-06-2020 21:40:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0246,16589,6444,570,240.0,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
22,22,12-06-2020 21:40:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0246,16589,6444,570,240.0,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
23,23,12-06-2020 21:40:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15898,6176,546,230.0,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
24,24,12-06-2020 21:40:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0204,15138,5880,520,219.0,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
25,25,12-06-2020 21:40:42,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17280,6713,594,250.0,True,,,,,,,MARIXYANA - INDICA - 5 G.
26,26,12-06-2020 21:40:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0241,16244,6310,558,235.0,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
27,27,12-06-2020 21:40:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2557,190000,87429,6533,,True,,,,,,,reagent 25i nbome. 5gr
28,28,12-06-2020 21:40:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2791,207366,80550,7124,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
29,29,12-06-2020 21:40:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0991,66288,25749,2277,959.0,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
30,30,12-06-2020 21:40:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0196,13133,5102,451,190.0,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
31,31,12-06-2020 21:40:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0505,33801,13130,1161,489.0,True,,,,,,,💘✨5g. MDMA ✨💘
32,32,12-06-2020 21:40:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0921,62210,24165,2137,900.0,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
33,33,12-06-2020 21:41:35,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48385,18795,1662,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
34,34,12-06-2020 21:41:35,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0428,29031,11277,997,420.0,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
35,35,12-06-2020 21:41:35,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0816,55298,21480,1900,800.0,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
36,36,12-06-2020 21:41:35,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.22699999999999998,153796,59741,5284,2225.0,True,,,,,,,Amfetamin [White] [Import] 10G
37,37,12-06-2020 21:41:35,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1606,107761,41859,3702,1559.0,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
38,38,12-06-2020 21:41:35,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0813,54537,21185,1874,789.0,True,,,,,,,💘✨10gram MDMA ✨💘
39,39,12-06-2020 21:41:35,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.038,25506,9908,876,369.0,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
40,40,12-06-2020 21:41:35,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.036000000000000004,24193,9398,831,350.0,True,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
41,41,12-06-2020 21:41:35,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1391,103683,40275,3562,1500.0,True,,,,,,,✨💘20g MDMA💘✨
42,42,12-06-2020 21:41:35,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41404,16083,1423,599.0,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
43,43,12-06-2020 21:41:35,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1325,89789,34878,3085,1299.0,True,,,,,,,50 gr georgian weed. Package on magnet
44,44,12-06-2020 21:41:35,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2549,172736,67098,5935,2499.0,True,,,,,,,100 gr georgian weed. Package on magnet
45,45,12-06-2020 21:41:35,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2448,165893,64440,5700,2400.0,True,,,,,,,100 gr marijuana buds
46,46,12-06-2020 21:41:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.204,138244,53700,4750,2000.0,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
47,47,12-06-2020 21:41:35,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.255,172805,67125,5937,2500.0,True,,,,,,,Marihuana [Shishki] [Gali] 100G
48,48,12-06-2020 21:41:35,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6019,407819,158415,14011,5900.0,True,,,,,,,180 gr marihuana persoalno
49,49,12-06-2020 21:41:35,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4375,293768,114113,10093,4250.0,True,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
50,50,12-06-2020 21:41:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4693,317961,123510,10924,4600.0,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
51,51,12-06-2020 21:41:35,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7651,518414,201375,17811,7500.0,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
52,52,12-06-2020 21:41:35,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8671,587536,228225,20186,8500.0,True,,,,,,,10000sht marki 25i-nbome. predoplata
53,53,12-06-2020 21:41:35,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13824,5370,475,200.0,True,,,,,,,KURYER..500RUB.+BONUS
54,54,12-06-2020 21:41:35,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13824,5370,475,200.0,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
55,55,12-06-2020 21:41:35,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5441,1036829,402750,35622,15000.0,True,,,,,,,Vakansija optovogo kur'era na mef
56,56,12-06-2020 21:43:18,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1673,112990,51992,3885,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
57,57,12-06-2020 21:43:18,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2649,178900,82321,6152,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
58,58,12-06-2020 21:43:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2685,237,100.0,,,,,True,,,kur'er v Batumi
59,59,12-06-2020 21:43:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17280,6713,594,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
60,60,12-06-2020 21:43:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17280,6713,594,250.0,,,,,True,,,Ischu kur'era v Gruzii!
61,61,12-06-2020 21:43:18,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0205,13824,5370,475,200.0,,,,,True,,,Kur'er Batumi na marihuanu
62,62,12-06-2020 21:43:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5491,1036829,402750,35622,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
63,63,12-06-2020 21:43:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0512,34561,13425,1187,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
64,64,12-06-2020 21:44:48,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0026,1728,671,59,25.0,,,,,,,True,Rabota na marki (kur'er)
