,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,12,13-05-2020 12:25:43,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,2 гр,0.0076,1883,171,5140,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
13,13,13-05-2020 12:25:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0513,12912,1171,35248,480.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
14,14,13-05-2020 12:25:43,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0092,2287,207,6242,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,13-05-2020 12:25:43,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.013999999999999999,3497,317,9546,130.0,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
16,16,13-05-2020 12:25:43,Tbilisi,4659482266,3g superskunk top class buds.,,1,нет,Тбилиси,3 гр,0.013000000000000001,3201,290,8738,119.0,,,True,,,,,,,,3g superskunk top class buds.
17,17,13-05-2020 12:25:43,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0114,2825,256,7710,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,13-05-2020 12:25:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0331,8608,781,23498,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,13-05-2020 12:25:43,Tbilisi,2f51af8159,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.0178,4439,402,12116,165.0,,,,,,,,,,,Hybrid Somango Weed 5 g
20,20,13-05-2020 12:25:43,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,10 гр,0.0215,5353,485,14613,199.0,,True,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
21,21,13-05-2020 12:25:43,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0414,10760,976,29373,400.0,,,,,,,,,,,gashish evro 10g
22,22,13-05-2020 12:25:43,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,3,нет,Тбилиси,20 гр,0.0409,10195,924,27831,379.0,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
23,23,13-05-2020 12:25:43,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0805,20901,1895,57057,777.0,,,,,,,,,,,Gashish Evro 20gr
24,24,13-05-2020 12:25:43,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1962,53800,4878,146865,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,25,13-05-2020 12:25:43,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.1 гр.,True,нет,8,Тбилиси,0.1 гр,0.0053,1460,132,3972,,,,,,50.0,,,,,,Buprenorfin (analog suboteksa) 0.1 gr.
26,26,13-05-2020 12:25:43,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,10,Тбилиси,0.5 гр,0.0081,2018,183,5507,75.0,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
27,27,13-05-2020 12:25:43,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0173,4304,390,11749,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,28,13-05-2020 12:25:43,Tbilisi,54915c4374,MDMA целковый кристальчик!! 1.51,True,нет,1,Тбилиси,1.51 гр,0.0163,4062,368,11088,151.0,,,,,,,,,,,MDMA tselkovyj kristal'chik!! 1.51
29,29,13-05-2020 12:25:43,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0229,5649,512,15421,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
30,30,13-05-2020 12:25:43,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0402,9926,900,27097,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,13-05-2020 12:25:43,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0631,15575,1412,42517,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,13-05-2020 12:25:43,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0432,10760,976,29373,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,13-05-2020 12:25:43,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0151,3766,341,10281,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
34,34,13-05-2020 12:26:44,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0594,14795,1342,40388,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,13-05-2020 12:26:44,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0254,6322,573,17257,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
36,36,13-05-2020 12:26:44,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0259,6456,585,17624,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
37,37,13-05-2020 12:26:44,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0248,6187,561,16890,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,38,13-05-2020 12:26:44,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0172,4277,388,11676,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
39,39,13-05-2020 12:26:44,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0259,6456,585,17624,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,13-05-2020 12:26:44,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0259,6456,585,17624,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,13-05-2020 12:26:44,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0248,6187,561,16890,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,13-05-2020 12:26:44,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0215,5891,534,16082,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,13-05-2020 12:26:44,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,6322,573,17257,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,13-05-2020 12:26:44,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0173,4304,390,11749,160.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
45,45,13-05-2020 12:26:44,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2538,87429,6307,190000,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,13-05-2020 12:26:44,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2943,80700,7318,220298,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,13-05-2020 12:26:44,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1045,25797,2339,70422,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,13-05-2020 12:26:44,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0207,5111,463,13952,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,13-05-2020 12:26:44,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0533,13154,1193,35909,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,13-05-2020 12:26:44,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0206,5084,461,13879,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,51,13-05-2020 12:26:44,Tbilisi,54915c4374,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,7,Тбилиси,5.5 гр,0.0098,2690,244,7343,100.0,,,,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
52,52,13-05-2020 12:26:44,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,6,Тбилиси,8 гр,0.0086,2152,195,5875,80.0,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
53,53,13-05-2020 12:26:44,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0971,24210,2195,66089,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,13-05-2020 12:26:44,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0432,10760,976,29373,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,13-05-2020 12:26:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0755,18830,1707,51403,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,13-05-2020 12:26:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0453,11298,1024,30842,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,13-05-2020 12:26:44,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0108,2690,244,7343,100.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
58,58,13-05-2020 12:26:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0863,21520,1951,58746,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,13-05-2020 12:26:44,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0313,7801,707,21295,290.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
60,60,13-05-2020 12:26:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2401,59853,5427,163388,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,13-05-2020 12:26:44,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1699,41937,3803,114481,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,13-05-2020 12:26:44,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0402,9926,900,27097,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,13-05-2020 12:26:44,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.545,134500,12196,367163,5000.0,,,,,,,,,,,METADON - 20 G.
64,64,13-05-2020 12:26:44,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0653,16113,1461,43986,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,13-05-2020 12:26:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1187,29590,2683,80776,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,66,13-05-2020 12:26:44,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.259,64560,5854,176238,2400.0,,,,,,,,,,,100 gr marijuana buds
67,67,13-05-2020 12:26:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2158,53800,4878,146865,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,13-05-2020 12:26:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2698,67250,6098,183582,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,13-05-2020 12:28:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6367,158710,14391,433252,5900.0,,,,,,,,,,,180 gr marihuana persoalno
70,70,13-05-2020 12:28:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4964,123740,11220,337790,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,13-05-2020 12:28:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8094,201750,18294,550745,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,13-05-2020 12:28:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9173,228650,20733,624177,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,13-05-2020 12:28:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0196,5380,488,14687,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,13-05-2020 12:28:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0216,5380,488,14687,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,13-05-2020 12:28:36,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.027000000000000003,6725,610,18358,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,13-05-2020 12:28:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6334,403500,36588,1101489,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,13-05-2020 12:30:16,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2374,59180,5366,161552,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
78,78,13-05-2020 12:30:16,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.166,51992,3750,112990,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
79,79,13-05-2020 12:30:16,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2629,82321,5938,178900,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
80,80,13-05-2020 12:30:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0098,2690,244,7343,100.0,,,,,,,,True,,,kur'er v Batumi
81,81,13-05-2020 12:30:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0245,6725,610,18358,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
82,82,13-05-2020 12:30:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0245,6725,610,18358,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
83,83,13-05-2020 12:30:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6334,403500,36588,1101489,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
84,84,13-05-2020 12:30:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.054000000000000006,13450,1220,36716,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,13-05-2020 12:32:01,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0222,5649,512,15421,210.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,13-05-2020 12:32:01,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0518,13047,1183,35615,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,13-05-2020 12:32:01,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0395,9953,903,27170,370.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,13-05-2020 12:32:01,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0216,5380,488,14687,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
