,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Saburtalo,Vake,Didube,.,Дигоми,Nadzaladevi,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
28,26-04-2020 23:12:45,Tbilisi,A3I9,Joookerrr,"""JoKer Express"" - Марки н боом 4 штуки!",True,нет,4,Тбилиси,4 гр,0.0083,4815,1770,159,,,,,,,,,60,,,,,"""JoKer Express"" - Marki n boom 4 shtuki!"
29,26-04-2020 23:12:45,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0513,29887,10940,985,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,26-04-2020 23:12:45,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0706,41094,15043,1355,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,26-04-2020 23:12:45,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,6,Тбилиси,5 гр,0.0218,12702,4650,419,170,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
32,26-04-2020 23:12:45,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,14869,5443,490,199,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
33,26-04-2020 23:12:45,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0255,14869,5443,490,199,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
34,26-04-2020 23:13:25,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0256,16363,5990,539,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,26-04-2020 23:13:25,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,6,Тбилиси,5 гр,0.0256,14869,5443,490,199,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,26-04-2020 23:13:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2971,190000,87429,6265,,,,,,,,,,,,,,reagent 25i nbome. 5gr
37,26-04-2020 23:13:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3505,224149,82050,7389,3000,True,,,,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
