,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Didube,Old Tbilisi (Старый город),Авлобари,Vake,Varketili,Батуми,Центр,Кутаиси,desc_en
50,50,16-07-2020 19:36:13,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2886,213693,82500,7205,,,3000.0,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,51,16-07-2020 19:36:13,Tbilisi,ccc85b93d8,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,,нет,5,Тбилиси,5 гр,0.0529,35616,13750,1201,,True,500.0,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
52,52,16-07-2020 19:36:13,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0244,16246,6270,549,200.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
53,53,16-07-2020 19:36:13,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0952,64108,24750,2161,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,16-07-2020 19:36:13,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0582,39177,15125,1321,,True,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,16-07-2020 19:36:13,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0741,49862,19250,1681,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,16-07-2020 19:36:13,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0444,29917,11550,1009,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,16-07-2020 19:36:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0846,56985,22000,1921,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,16-07-2020 19:36:13,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram,,нет,10,Тбилиси,10 гр,0.0366,27068,10450,913,,True,380.0,,,,,,,,,,Northern Lights Regular [budsonly] 10gram
59,59,16-07-2020 19:36:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2354,158489,61188,5344,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,16-07-2020 19:36:13,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0536,35742,13794,1208,440.0,True,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
61,61,16-07-2020 19:36:13,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0475,31680,12227,1070,390.0,True,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
62,62,16-07-2020 19:36:13,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Тбилиси,11 гр,0.0486,32411,12509,1095,399.0,True,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
63,63,16-07-2020 19:36:13,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0625,46300,17875,1561,,True,650.0,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
64,64,16-07-2020 19:36:13,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2539,170954,66000,5764,,True,2400.0,,,,,,,,,,100 gr marijuana buds
65,65,16-07-2020 19:36:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2645,178078,68750,6004,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,16-07-2020 19:36:13,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6243,420263,162250,14169,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
67,67,16-07-2020 19:36:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8994,605464,233750,20414,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,16-07-2020 19:36:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14246,5500,480,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,16-07-2020 19:37:04,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17808,6875,600,,True,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,16-07-2020 19:37:04,Tbilisi,ebadfc162f,"Galiak ищет курьерa в тбилиси, клад 7$. Залог с 200$",,1,нет,Тбилиси,10 гр,0.0192,14246,5500,480,,True,200.0,,,,,,,,,,"Galiak ischet kur'era v tbilisi, klad 7$. Zalog s 200$"
71,71,16-07-2020 19:37:04,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14246,5500,480,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,72,16-07-2020 19:37:04,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17808,6875,600,,True,250.0,,,,,,,,,,Rabota na marki (kur'er)
73,73,16-07-2020 19:37:04,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0529,35616,13750,1201,,True,500.0,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
74,74,16-07-2020 19:37:04,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.0211,14246,5500,480,,True,200.0,,,,,,,,,,Rabota kur'erom
75,75,16-07-2020 19:37:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6004,1068465,412500,36024,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,16-07-2020 19:37:04,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0529,35616,13750,1201,,,500.0,,,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
77,77,16-07-2020 19:38:30,Batumi,f8a875c191,METADON - 0.30 - SALE,,6,5,Батуми,0.3 гр,0.032,21369,8250,720,,,300.0,,,,,,,True,,,METADON - 0.30 - SALE
78,78,16-07-2020 19:38:30,Batumi,75738ec358,ASTRAL 1g,,3,нет,Батуми,1 гр,0.0077,5698,2200,192,,,80.0,,,,,,,True,,,ASTRAL 1g
