,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Nadzaladevi,Varketili,Didube,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
24,24,13-04-2020 03:59:24,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,2 гр,0.0043,2581,959,87,35.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
25,25,13-04-2020 03:59:24,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,4,нет,Тбилиси,2 гр,0.0114,6269,2329,210,85.0,,,,,,True,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
26,26,13-04-2020 03:59:24,Tbilisi,4659482266,3g superskunk top class buds. Indica,,2,нет,Тбилиси,3 гр,0.0165,8998,3343,302,122.0,,True,,,,,,,,,,,3g superskunk top class buds. Indica
27,27,13-04-2020 03:59:24,Tbilisi,54915c4374,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,1,нет,Тбилиси,4 гр,0.008,4844,1797,162,,,,60.0,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
28,28,13-04-2020 03:59:24,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0268,14603,5425,490,198.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
29,29,13-04-2020 03:59:24,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0269,14677,5453,493,199.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
30,30,13-04-2020 03:59:24,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0411,23600,8768,792,320.0,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
31,31,13-04-2020 03:59:24,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0397,22125,8220,743,300.0,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
32,32,13-04-2020 03:59:24,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.0179,9883,3672,332,134.0,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
33,33,13-04-2020 03:59:24,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0236,12907,4795,433,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
34,34,13-04-2020 03:59:24,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1046,63426,23564,2129,860.0,,,,,,,,,,,,,Cocaine Pure VHQ 5g.
35,35,13-04-2020 04:00:02,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0268,14603,5425,490,198.0,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
36,36,13-04-2020 04:00:02,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0262,14308,5316,480,194.0,,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
37,37,13-04-2020 04:00:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1107,67114,24934,2252,910.0,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
38,38,13-04-2020 04:00:02,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,2,нет,Тбилиси,5 гр,0.0093,5652,2097,189,,,,70.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
39,39,13-04-2020 04:00:02,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0067,4056,1507,136,55.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
40,40,13-04-2020 04:00:02,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0534,29427,10933,988,399.0,,,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
41,41,13-04-2020 04:00:02,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0488,26919,10001,903,365.0,,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
42,42,13-04-2020 04:00:02,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,10 гр,0.0103,6269,2329,210,85.0,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
43,43,13-04-2020 04:00:02,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0513,29501,10960,990,400.0,,,,,,,,,,,,,gashish evro 10g
44,44,13-04-2020 04:00:02,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0997,57305,21290,1923,777.0,,,,,,,,,,,,,Gashish Evro 20gr
45,45,13-04-2020 04:00:02,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2432,147503,54800,4950,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
46,46,13-04-2020 04:00:02,Tbilisi,f8a875c191,METADON - 0.27 G.,True,нет,8,Тбилиси,0.27 гр,0.0307,16742,6220,562,227.0,,,,,,,,,,,,,METADON - 0.27 G.
47,47,13-04-2020 04:00:02,Tbilisi,2f51af8159,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,4,Тбилиси,0.5 гр,0.0111,6121,2274,205,83.0,True,,,,,,,,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
48,48,13-04-2020 04:00:02,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,5,Тбилиси,1 гр,0.005,2729,1014,92,37.0,True,,,,,,,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
49,49,13-04-2020 04:00:02,Tbilisi,2f51af8159,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.006999999999999999,3835,1425,129,52.0,True,,,,,,,,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
50,50,13-04-2020 04:00:02,Tbilisi,28bf667d16,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,1,10,Тбилиси,1 гр,0.0395,26919,10001,903,365.0,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
51,51,13-04-2020 04:00:02,Tbilisi,2f51af8159,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.0194,10694,3973,359,145.0,True,,,,,,,,,,,,Ketamine 0.5 + MDMA 0.5 Combo
52,52,13-04-2020 04:00:02,Tbilisi,54915c4374,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.02,12110,4493,406,,,,150.0,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
53,53,13-04-2020 04:00:02,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0499,27214,10111,913,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
54,54,13-04-2020 04:00:02,Tbilisi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0401,24338,9042,817,330.0,True,,,,,,,,,,,,Sk sinij kris ochen' sil'nyj 3gr
55,55,13-04-2020 04:00:02,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0797,43513,16166,1460,590.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,56,13-04-2020 04:00:02,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0535,29501,10960,990,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,57,13-04-2020 04:00:02,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0214,11800,4384,396,160.0,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
58,58,13-04-2020 04:00:02,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0736,40563,15070,1361,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,59,13-04-2020 04:00:02,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0227,12538,4658,421,170.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
60,60,13-04-2020 04:00:02,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0266,14677,5453,493,199.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
61,61,13-04-2020 04:00:02,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0266,14677,5453,493,199.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,62,13-04-2020 04:00:02,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0266,16152,6001,542,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,63,13-04-2020 04:00:02,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0266,14677,5453,493,199.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,13-04-2020 04:00:02,Tbilisi,54915c4374,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0466,28258,10483,947,,,,350.0,,,,,,,,,,MDMA 5 gr!!!
65,65,13-04-2020 04:00:02,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3133,190000,87429,6379,,,,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,13-04-2020 04:00:02,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3648,221255,82200,7426,3000.0,,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,13-04-2020 04:00:02,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1174,64090,23811,2151,869.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
68,68,13-04-2020 04:01:34,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2971,162253,60280,5445,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
69,69,13-04-2020 04:01:34,Batumi,2d6b882c49,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0405,24338,9042,817,330.0,,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
70,70,13-04-2020 04:01:34,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2728,147503,54800,4950,2000.0,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
71,71,13-04-2020 04:01:34,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0123,7375,2740,248,100.0,,,,,,,,,,True,,,kur'er v Batumi
72,72,13-04-2020 04:01:34,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0307,18438,6850,619,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
73,73,13-04-2020 04:01:34,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0307,18438,6850,619,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
74,74,13-04-2020 04:01:34,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0442,1106273,411000,37128,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
75,75,13-04-2020 04:01:34,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0675,36876,13700,1238,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
76,76,13-04-2020 04:03:12,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0194,10694,3973,359,145.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
77,77,13-04-2020 04:03:12,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,2 гр,0.0488,26919,10001,903,365.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
78,78,13-04-2020 04:03:12,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,10,нет,Кутаиси,3 гр,0.0368,20282,7535,681,275.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
