,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
37,37,04-03-2020 15:14:01,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,12292,4638,413,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
38,38,04-03-2020 15:14:01,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0541,32491,12259,1093,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
39,39,04-03-2020 15:14:01,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,1,5,Тбилиси,5 гр,0.0364,21860,8248,735,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
40,40,04-03-2020 15:14:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0199,11960,4513,402,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
41,41,04-03-2020 15:14:01,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,59799,22563,2011,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,04-03-2020 15:14:01,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0767,46511,17549,1564,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,04-03-2020 15:14:01,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0437,26511,10003,891,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,04-03-2020 15:14:01,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0388,23255,8775,782,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
45,45,04-03-2020 15:14:01,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0877,53155,20056,1787,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,46,04-03-2020 15:14:01,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2439,147837,55781,4971,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
47,47,04-03-2020 15:14:01,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1604,96277,36326,3237,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,48,04-03-2020 15:14:01,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,24518,9251,824,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,04-03-2020 15:14:01,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0331,19867,7496,668,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
50,50,04-03-2020 15:14:01,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0775,46511,17549,1564,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
51,51,04-03-2020 15:14:01,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0663,39800,15017,1338,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,04-03-2020 15:14:01,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0736,46511,17549,1564,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
53,53,04-03-2020 15:14:01,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1196,79732,30084,2681,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
54,54,04-03-2020 15:14:01,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1051,66377,25045,2232,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
55,55,04-03-2020 15:14:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2193,132887,50140,4468,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,04-03-2020 15:14:01,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2215,132887,50140,4468,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
57,57,04-03-2020 15:14:01,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2741,166109,62675,5586,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,04-03-2020 15:14:01,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1661,99666,37605,3351,1500.0,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
59,59,04-03-2020 15:14:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5043,305641,115322,10277,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,04-03-2020 15:14:01,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8222,498328,188025,16757,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,04-03-2020 15:14:01,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9319,564771,213095,18991,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,04-03-2020 15:14:01,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0199,13289,5014,447,200.0,,,,,,,,,KURYER..500RUB.+BONUS
63,63,04-03-2020 15:14:01,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0199,13289,5014,447,200.0,,,,,,,,,Trebuetsja Kur'er
64,64,04-03-2020 15:14:01,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,13289,5014,447,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,04-03-2020 15:14:01,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,16611,6268,559,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
66,66,04-03-2020 15:14:01,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6594,996656,376050,33513,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,04-03-2020 15:15:18,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1644,99666,37605,3351,1500.0,,,,,,True,,,Skunk! 50 gr.
68,68,04-03-2020 15:15:18,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0299,17940,6769,603,270.0,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
69,69,04-03-2020 15:15:18,Batumi,adf2d19b92,Subotex B8 Francce,,нет,2,Батуми,1.4 гр,0.0279,18604,7020,626,280.0,,,,,,,True,,Subotex B8 Francce
