,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
34,26-03-2020 06:09:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0106,6612,2401,219,85,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
35,26-03-2020 06:09:22,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0525,31117,11300,1032,400,,,,,,,,,,gashish evro 10g
36,26-03-2020 06:09:22,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2487,155586,56500,5158,2000,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
37,26-03-2020 06:09:22,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0498,31117,11300,1032,400,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
38,26-03-2020 06:09:22,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,True,нет,5,Тбилиси,0.35 гр,0.0415,23338,8475,774,300,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
39,26-03-2020 06:09:22,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0506,28783,10453,954,370,,,,,,,,,,Methadone HQ in city 0.75g
40,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0276,15559,5650,516,200,,,,,,,,,,✨✨2gram. MDMA✨✨
41,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.051,28706,10424,952,369,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0815,45898,16668,1522,590,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,26-03-2020 06:09:22,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0547,31117,11300,1032,400,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,26-03-2020 06:09:22,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
45,26-03-2020 06:09:22,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0752,42786,15538,1418,550,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
46,26-03-2020 06:09:22,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,26-03-2020 06:09:22,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,26-03-2020 06:09:22,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,26-03-2020 06:09:22,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,26-03-2020 06:09:22,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,26-03-2020 06:09:22,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0272,17037,6187,565,219,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,26-03-2020 06:09:22,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0415,23338,8475,774,300,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
53,26-03-2020 06:09:22,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0272,15481,5622,513,199,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
54,26-03-2020 06:09:22,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0249,15559,5650,516,200,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
55,26-03-2020 06:09:22,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3038,190000,87429,6316,,,,,,,,,,,reagent 25i nbome. 5gr
56,26-03-2020 06:09:22,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3731,233378,84750,7737,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1201,67602,24549,2241,869,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
58,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0263,14781,5368,490,190,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
59,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0676,38041,13814,1261,489,,,,,,,,,,💘✨5g. MDMA ✨💘
60,26-03-2020 06:09:22,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,7,Тбилиси,5 гр,0.0261,14703,5339,487,189,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
61,26-03-2020 06:09:22,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1231,70014,25425,2321,900,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,26-03-2020 06:09:22,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0958,54455,19775,1805,700,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,26-03-2020 06:09:22,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0438,24894,9040,825,320,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,26-03-2020 06:09:22,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1094,62234,22600,2063,800,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
65,26-03-2020 06:09:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.304,173089,62856,5738,2225,,,,,,,,,,Amfetamin [White] [Import] 10G
66,26-03-2020 06:09:57,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1999,112722,40934,3737,1449,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,26-03-2020 06:09:57,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0509,28706,10424,952,369,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,26-03-2020 06:09:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0413,23260,8447,771,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,26-03-2020 06:09:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0827,46598,16922,1545,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,26-03-2020 06:09:57,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.149,93351,33900,3095,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
71,26-03-2020 06:09:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2732,155586,56500,5158,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,26-03-2020 06:09:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.276,155586,56500,5158,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
