,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
58,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
59,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0157,9967,3799,343,155,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
60,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.086,54656,20834,1880,850,,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
61,22-02-2020 17:15:07,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,6,нет,Тбилиси,5 гр,0.0177,11253,4289,387,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
62,22-02-2020 17:15:07,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0152,9645,3677,332,150,,,,,,,,,,,,"LSD - 250 ug, 5 pieces"
63,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,4,нет,Тбилиси,5 гр,0.0161,10224,3897,352,159,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
64,22-02-2020 17:15:07,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0156,9902,3775,341,154,,,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
65,22-02-2020 17:15:07,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0202,13503,5147,465,210,,,,,,,,,,,,gashish evro 5g
66,22-02-2020 17:15:07,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,15,нет,Тбилиси,10 гр,0.0268,17168,6544,591,267,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
67,22-02-2020 17:15:47,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 10 pieces",True,1,нет,Тбилиси,10 гр,0.0303,19290,7353,664,300,,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
68,22-02-2020 17:15:47,Tbilisi,0V3X,arinaneb,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",True,2,нет,Тбилиси,10 гр,0.0319,22505,8579,774,350,,,,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
69,22-02-2020 17:15:47,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0385,25720,9804,885,400,,,,,,,,,,,,gashish evro 10g
70,22-02-2020 17:15:47,Tbilisi,F8K,BestAcid,"марки 25i-nbome 2,5mg (10шт)",True,6,нет,Тбилиси,10 гр,0.0087,6109,2328,210,95,,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
71,22-02-2020 17:15:47,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size",True,3,нет,Тбилиси,20 гр,0.0673,45011,17157,1548,700,,,,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size"
72,22-02-2020 17:15:47,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0747,49962,19044,1719,777,,,,,,,,,,,,Gashish Evro 20gr
73,22-02-2020 17:15:47,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,5,5,Тбилиси,0.27 гр,0.0202,12860,4902,442,200,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
74,22-02-2020 17:15:47,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0253,16075,6128,553,250,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
75,22-02-2020 17:15:47,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0607,38580,14706,1327,600,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
