,time_stamp,region,sell_code,sell_name,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
33,28-05-2020 05:42:23,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0578,39085,14949,1325,550,,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0247,16700,6387,566,235,,True,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0252,17055,6523,578,240,,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0242,16345,6251,554,230,,True,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0167,11299,4322,383,159,,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,17055,6523,578,240,,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0252,17055,6523,578,240,,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0242,16345,6251,554,230,,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,28-05-2020 05:42:23,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15563,5952,528,219,,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16700,6387,566,235,,True,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,28-05-2020 05:42:23,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,True,нет,4,Тбилиси,5 гр,0.0263,17766,6795,602,250,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
44,28-05-2020 05:42:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2554,190000,87429,6448,,,True,,,,,,,,reagent 25i nbome. 5gr
45,28-05-2020 05:42:23,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2866,213191,81540,7227,3000,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1018,68150,26066,2310,959,,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0202,13502,5164,458,190,,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0519,34750,13291,1178,489,,True,,,,,,,,💘✨5g. MDMA ✨💘
49,28-05-2020 05:42:23,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,63957,24462,2168,900,,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.042,28425,10872,964,400,,True,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,28-05-2020 05:42:23,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,49744,19026,1686,700,,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,28-05-2020 05:42:23,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0441,29847,11416,1012,420,,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56851,21744,1927,800,,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,28-05-2020 05:42:23,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2338,158116,60476,5360,2225,,True,,,,,,,,Amfetamin [White] [Import] 10G
55,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1655,110788,42374,3756,1559,,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0392,26222,10029,889,369,,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,28-05-2020 05:42:23,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,,нет,10,Тбилиси,20 гр,0.0419,28354,10845,961,399,,True,,,,,,,,20 gr georgian weed. Package on magnet
58,28-05-2020 05:42:23,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5306,355318,135900,12045,5000,,True,,,,,,,,METADON - 20 G.
59,28-05-2020 05:42:23,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0636,42567,16281,1443,599,,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,28-05-2020 05:42:23,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1365,92311,35307,3129,1299,,True,,,,,,,,50 gr georgian weed. Package on magnet
61,28-05-2020 05:42:23,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2626,177588,67923,6020,2499,,True,,,,,,,,100 gr georgian weed. Package on magnet
62,28-05-2020 05:42:23,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2522,170552,65232,5782,2400,,True,,,,,,,,100 gr marijuana buds
63,28-05-2020 05:42:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2102,142127,54360,4818,2000,,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,28-05-2020 05:42:23,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2627,177659,67950,6023,2500,,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,28-05-2020 05:42:23,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.62,419275,160362,14213,5900,,True,,,,,,,,180 gr marihuana persoalno
66,28-05-2020 05:42:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4834,326892,125028,11081,4600,,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,28-05-2020 05:42:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7881,532976,203850,18068,7500,,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,28-05-2020 05:43:09,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8931,604040,231030,20477,8500,,True,,,,,,,,10000sht marki 25i-nbome. predoplata
69,28-05-2020 05:43:09,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14213,5436,482,200,,True,,,,,,,,KURYER..500RUB.+BONUS
70,28-05-2020 05:43:09,Tbilisi,3TGJ9,Elegant,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0191,14213,5436,482,200,,True,,,,,,,,Trebuetsja Kur'er
71,28-05-2020 05:43:09,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.021,14213,5436,482,200,,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
72,28-05-2020 05:43:09,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0263,17766,6795,602,250,,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
73,28-05-2020 05:43:09,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5905,1065953,407700,36135,15000,,True,,,,,,,,Vakansija optovogo kur'era na mef
74,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.0089,6040,2310,205,85,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
75,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1990,761,67,28,,,,,,True,,,,Batumi n-booom 2 shtuki
76,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3980,1522,135,56,,,,,,True,,,,Marki n-BoooooooM 4 sht
77,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0105,7106,2718,241,100,,,,,,True,,,,Marki n-boooom!!! 10 sht.
78,28-05-2020 05:44:22,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2312,156340,59796,5300,2200,,,,,,,True,,,[100g] SPAIN HASH
79,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0426,28781,11008,976,405,,,,,,,True,,,MDMA !! 3 gramma
80,28-05-2020 05:44:22,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,29847,11416,1012,420,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
81,28-05-2020 05:44:22,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1671,112990,51992,3834,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
82,28-05-2020 05:44:22,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2645,178900,82321,6071,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
83,28-05-2020 05:44:22,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7106,2718,241,100,,,,,,,True,,,kur'er v Batumi
84,28-05-2020 05:44:22,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17766,6795,602,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
85,28-05-2020 05:44:22,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17766,6795,602,250,,,,,,,True,,,Ischu kur'era v Gruzii!
86,28-05-2020 05:44:22,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0288,19477,7450,661,,,,,,,,True,250,,Rabota na marki (kur'er)
87,28-05-2020 05:44:22,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5905,1065953,407700,36135,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,28-05-2020 05:44:22,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0525,35532,13590,1205,500,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,28-05-2020 05:45:34,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0504,34466,13182,1168,485,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,28-05-2020 05:45:34,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.034,23451,8969,795,330,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
91,28-05-2020 05:45:34,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0288,19477,7450,661,,,,,,,,,250,True,Rabota na marki (kur'er)
