,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Varketili,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Центр,Батуми,desc_en
33,02-08-2020 22:56:47,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,True,6,нет,Тбилиси,5 гр,0.0218,18357,6965,609,250,,,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
34,02-08-2020 22:56:47,Tbilisi,LD5U,Marshydroo,LSD-25 шишки 10gram,True,1,нет,Тбилиси,10 гр,0.0394,34510,13094,1146,470,,,,,,,,,,,LSD-25 shishki 10gram
35,02-08-2020 22:56:47,Tbilisi,LD5U,Marshydroo,Super Skunk auto 10gram,True,1,нет,Тбилиси,10 гр,0.0314,27461,10420,912,374,,,,,,,,,,,Super Skunk auto 10gram
36,02-08-2020 22:57:47,Tbilisi,6P9R,RickNMorty,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0872,73426,27860,2438,1000,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
37,02-08-2020 22:57:47,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,2,Тбилиси,1 гр,0.0324,27060,10233,899,,,,310,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
38,02-08-2020 22:57:47,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,2,Тбилиси,4.4 гр,0.0419,35245,13373,1170,480,,,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,02-08-2020 22:57:47,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0218,18357,6965,609,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
40,02-08-2020 22:57:47,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0235,19825,7522,658,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
41,02-08-2020 22:57:47,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.024,20192,7662,670,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
42,02-08-2020 22:57:47,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0209,17622,6686,585,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
43,02-08-2020 22:57:47,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0244,20559,7801,683,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
44,02-08-2020 22:57:47,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0235,19825,7522,658,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
45,02-08-2020 22:57:47,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0174,16080,6101,534,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
46,02-08-2020 22:57:47,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.019,17622,6686,585,240,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
47,02-08-2020 22:57:47,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.019,17622,6686,585,240,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
48,02-08-2020 22:57:47,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0205,17255,6547,573,235,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
49,02-08-2020 22:57:47,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0235,19825,7522,658,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
50,02-08-2020 22:57:47,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2051,190000,87429,6300,,,,,,,,,,,,reagent 25i nbome. 5gr
51,02-08-2020 22:57:47,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2378,220278,83580,7313,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,02-08-2020 22:57:47,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.048,40384,15323,1341,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,02-08-2020 22:57:47,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.061,51398,19502,1706,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,02-08-2020 22:57:47,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0366,30839,11701,1024,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,02-08-2020 22:57:47,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0698,58741,22288,1950,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,02-08-2020 22:57:47,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,5,Тбилиси,10 гр,0.0366,30839,11701,1024,420,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
57,02-08-2020 22:57:47,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.194,163373,61989,5423,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,02-08-2020 22:57:47,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.046,38407,14524,1276,,,,440,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
59,02-08-2020 22:57:47,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0408,34043,12874,1131,,,,390,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
60,02-08-2020 22:57:47,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0515,47727,18109,1584,650,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
61,02-08-2020 22:57:47,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2093,176223,66864,5850,2400,,,,,,,,,,,100 gr marijuana buds
62,02-08-2020 22:57:47,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0086,7269,2758,241,99,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
63,02-08-2020 22:57:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.218,183565,69650,6094,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,02-08-2020 22:57:47,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5144,433214,164374,14381,5900,,,,,,,,,,,180 gr marihuana persoalno
65,02-08-2020 22:57:47,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0214,18000,8283,597,,,,,,,,True,,,,GABAGAMA 250 shtuk
66,02-08-2020 22:57:47,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0872,73426,27860,2438,1000,True,,,True,,True,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
67,02-08-2020 22:57:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7412,624122,236810,20719,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,02-08-2020 22:57:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0159,14685,5572,488,200,,,,,,,,,,,KURYER..500RUB.+BONUS
69,02-08-2020 22:57:47,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0218,18357,6965,609,250,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
70,02-08-2020 22:58:48,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0218,18357,6965,609,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,02-08-2020 22:58:48,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0476,44056,16716,1463,600,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
72,02-08-2020 22:58:48,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0174,14685,5572,488,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,02-08-2020 22:58:48,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0218,18357,6965,609,250,,,,,,,,,,,Rabota na marki (kur'er)
74,02-08-2020 22:58:48,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0436,36713,13930,1219,500,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,02-08-2020 22:58:48,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0436,36713,13930,1219,500,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
76,02-08-2020 22:58:48,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.3198,1101392,417900,36563,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,02-08-2020 22:58:48,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0436,36713,13930,1219,500,,,,True,True,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,02-08-2020 23:01:12,Batumi,6KB,Marioshop,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,3,нет,Батуми,0.4 гр,0.024,19989,7559,664,,,,229,,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
79,02-08-2020 23:01:12,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,5,нет,Батуми,0.5 гр,0.0037,3055,1155,101,,,,35,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
80,02-08-2020 23:01:12,Batumi,Z9UT,Rainbow,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.035,29370,11144,975,400,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
81,02-08-2020 23:01:12,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0461,38407,14524,1276,,,,440,,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
82,02-08-2020 23:01:12,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0265,22028,8358,731,300,,,,,,,,,,True,METADON - 0.30 - SALE
83,02-08-2020 23:01:12,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0325,27060,10233,899,,,,310,,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
84,02-08-2020 23:01:12,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0409,34043,12874,1131,,,,390,,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,02-08-2020 23:01:12,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0079,7343,2786,244,100,,,,,,,,,,True,kur'er v Batumi
86,02-08-2020 23:01:12,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0199,18357,6965,609,250,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
87,02-08-2020 23:01:12,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0199,18357,6965,609,250,,,,,,,,,,True,Ischu kur'era v Gruzii!
88,02-08-2020 23:01:12,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0175,14685,5572,488,200,,,,,,,,,,True,Kur'er Batumi na marihuanu
89,02-08-2020 23:01:12,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3231,1101392,417900,36563,15000,,,,,,,,,,True,Vakansija optovogo kur'era na mef
90,02-08-2020 23:01:12,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0437,36713,13930,1219,500,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
