,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
33,33,03-03-2020 02:06:30,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,26531,9976,894,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,03-03-2020 02:07:05,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,36480,13717,1229,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,03-03-2020 02:07:05,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0258,15919,5986,536,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
36,36,03-03-2020 02:07:05,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
37,37,03-03-2020 02:07:05,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
38,38,03-03-2020 02:07:05,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
39,39,03-03-2020 02:07:05,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0214,13199,4963,445,199.0,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
40,40,03-03-2020 02:07:05,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,03-03-2020 02:07:05,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,14526,5462,489,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,03-03-2020 02:07:05,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0326,19898,7482,670,300.0,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
43,43,03-03-2020 02:07:05,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0269,16582,6235,559,250.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
44,44,03-03-2020 02:07:05,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,17,Тбилиси,5 гр,0.0195,13265,4988,447,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
45,45,03-03-2020 02:07:05,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2798,190000,87429,6396,,,,,,,,,,reagent 25i nbome. 5gr
46,46,03-03-2020 02:07:05,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.293,198982,74820,6703,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,03-03-2020 02:07:05,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,4,Тбилиси,5 гр,0.0932,56975,21423,1919,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,03-03-2020 02:07:05,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0201,12271,4614,413,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,03-03-2020 02:07:05,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0531,32434,12196,1093,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,03-03-2020 02:07:05,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0357,21822,8205,735,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
51,51,03-03-2020 02:07:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0195,11939,4489,402,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,52,03-03-2020 02:07:05,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0967,59695,22446,2011,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,03-03-2020 02:07:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0752,46429,17458,1564,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,03-03-2020 02:07:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0429,26465,9951,891,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,03-03-2020 02:07:05,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.038,23215,8729,782,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
56,56,03-03-2020 02:07:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.086,53062,19952,1787,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,03-03-2020 02:07:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2391,147578,55492,4971,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,03-03-2020 02:07:05,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1573,96108,36138,3237,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,59,03-03-2020 02:07:05,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.04,24475,9203,824,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,60,03-03-2020 02:07:05,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0324,19832,7457,668,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
61,61,03-03-2020 02:07:05,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.076,46429,17458,1564,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
62,62,03-03-2020 02:07:05,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.065,39730,14939,1338,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,03-03-2020 02:07:05,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0722,46429,17458,1564,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
64,64,03-03-2020 02:07:05,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1172,79593,29928,2681,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
65,65,03-03-2020 02:07:05,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.10300000000000001,66261,24915,2232,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
66,66,03-03-2020 02:07:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2149,132655,49880,4468,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,03-03-2020 02:07:05,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.217,132655,49880,4468,2000.0,,,,,,,,,SUBOXIN - HQ - 100 G.
68,68,03-03-2020 02:07:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2686,165819,62350,5586,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
