,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,€,Батуми,Центр,desc_en
30,30,16-06-2020 13:46:24,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0235,16191,6187,549,230.0,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
31,31,16-06-2020 13:46:24,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0204,15417,5891,523,219.0,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
32,32,16-06-2020 13:46:24,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0241,16543,6322,561,235.0,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
33,33,16-06-2020 13:46:24,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2512,190000,87429,6448,,,,,,,reagent 25i nbome. 5gr
34,34,16-06-2020 13:47:05,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0715,49277,18830,1671,700.0,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
35,35,16-06-2020 13:47:05,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.0429,29566,11298,1002,420.0,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
36,36,16-06-2020 13:47:05,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0817,56316,21520,1909,800.0,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
37,37,16-06-2020 13:47:05,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2272,156629,59853,5310,2225.0,,,,,,Amfetamin [White] [Import] 10G
38,38,16-06-2020 13:47:05,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1608,109746,41937,3721,1559.0,,,,,,☃️❄NEW 10g.COCAINE❄☃️
39,39,16-06-2020 13:47:05,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0814,55542,21224,1883,789.0,,,,,,💘✨10gram MDMA ✨💘
40,40,16-06-2020 13:47:05,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.0381,25976,9926,881,369.0,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
41,41,16-06-2020 13:47:05,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0451,30867,11895,1047,,,,390.0,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
42,42,16-06-2020 13:47:05,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1393,105593,40350,3580,1500.0,,,,,,✨💘20g MDMA💘✨
43,43,16-06-2020 13:47:05,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.0618,42167,16113,1430,599.0,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
44,44,16-06-2020 13:47:05,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.1327,91443,34943,3100,1299.0,,,,,,50 gr georgian weed. Package on magnet
45,45,16-06-2020 13:47:05,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.2552,175917,67223,5964,2499.0,,,,,,100 gr georgian weed. Package on magnet
46,46,16-06-2020 13:47:05,Tbilisi,cb721d4bca,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2451,168948,64560,5728,2400.0,,,,,,100 gr marijuana buds
47,47,16-06-2020 13:47:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2043,140790,53800,4773,2000.0,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
48,48,16-06-2020 13:47:05,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2553,175988,67250,5967,2500.0,,,,,,Marihuana [Shishki] [Gali] 100G
49,49,16-06-2020 13:47:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6025,415331,158710,14082,5900.0,,,,,,180 gr marihuana persoalno
50,50,16-06-2020 13:47:05,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.43799999999999994,299179,114325,10143,4250.0,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
