,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,€,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
14,14,03-06-2020 08:00:55,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0229,16556,6456,576,240.0,,,,,,,,,,5g. marihuana shishki Critical
15,15,03-06-2020 08:00:55,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,10,нет,Тбилиси,5 гр,0.0062,4070,1587,141,59.0,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
16,16,03-06-2020 08:00:55,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0185,12072,4708,420,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
17,17,03-06-2020 08:00:55,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,4,нет,Тбилиси,10 гр,0.0282,18556,7236,645,269.0,,,,,,,,,,10 gr georgian weed. Package on magnet
18,18,03-06-2020 08:00:55,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,9,нет,Тбилиси,10 гр,0.0105,6898,2690,240,100.0,,,,True,,,,,,10 gr marihuana list'ja top gibrid
19,19,03-06-2020 08:00:55,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0477,34492,13450,1199,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,20,03-06-2020 08:00:55,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,1,нет,Тбилиси,20 гр,0.0034,2483,968,86,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
21,21,03-06-2020 08:00:55,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0076,5519,2152,192,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
22,22,03-06-2020 08:00:55,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1907,137966,53800,4796,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
23,23,03-06-2020 08:00:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.25 A+++ same day adress,True,нет,9,Тбилиси,0.25 гр,0.0042,2759,1076,96,40.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.25 A+++ same day adress
24,24,03-06-2020 08:00:55,Tbilisi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3шт (0.27мг) BTC sale!💉⭕⚜,True,нет,5,Тбилиси,0.3 гр,0.0077,5174,2018,180,75.0,,,,,,,,,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/3sht (0.27mg) BTC sale!💉⭕⚜
25,25,03-06-2020 08:00:55,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,46,Тбилиси,0.33 гр,0.0157,10347,4035,360,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
26,26,03-06-2020 08:00:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 0.5G A+++,True,нет,4,Тбилиси,0.5 гр,0.0068,4484,1749,156,65.0,,,,,,,,,,VHQ MDMA Champagne Imported 0.5G A+++
27,27,03-06-2020 08:00:55,Tbilisi,52fe6d0af9,VHQ MDMA Champagne Imported 1G A+++,True,нет,4,Тбилиси,1 гр,0.0121,7933,3094,276,115.0,,,,,,,,,,VHQ MDMA Champagne Imported 1G A+++
28,28,03-06-2020 08:00:55,Tbilisi,54915c4374,Геройн (сирец) 1 гр,True,нет,19,Тбилиси,1 гр,0.0378,24834,9684,863,360.0,,,,,,,,,,Gerojn (sirets) 1 gr
29,29,03-06-2020 08:00:55,Tbilisi,be97026d1d,!! Гашиш !! Hash 2g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,2 гр,0.0175,11727,4573,408,170.0,,,,,,,,,,!! Gashish !! Hash 2g !!! BTC SALE 5%!!!!
30,30,03-06-2020 08:00:55,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0222,14486,5649,504,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
31,31,03-06-2020 08:00:55,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,6,Тбилиси,2 гр,0.0391,25455,9926,885,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
32,32,03-06-2020 08:00:55,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0613,39941,15575,1389,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
33,33,03-06-2020 08:00:55,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.042,27593,10760,959,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
34,34,03-06-2020 08:01:45,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,3,2,Тбилиси,4 гр,0.0147,9658,3766,336,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
35,35,03-06-2020 08:01:45,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0734,48288,18830,1679,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
36,36,03-06-2020 08:01:45,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0577,37941,14795,1319,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,03-06-2020 08:01:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0247,16211,6322,564,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,03-06-2020 08:01:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0252,16556,6456,576,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,03-06-2020 08:01:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0241,15866,6187,552,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,03-06-2020 08:01:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,16556,6456,576,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,41,03-06-2020 08:01:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0252,16556,6456,576,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,03-06-2020 08:01:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0241,15866,6187,552,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,03-06-2020 08:01:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15107,5891,525,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,03-06-2020 08:01:45,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0265,17246,6725,600,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
45,45,03-06-2020 08:01:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0247,16211,6322,564,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,03-06-2020 08:01:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2627,190000,87429,6611,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,03-06-2020 08:01:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2861,206949,80700,7194,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,03-06-2020 08:01:45,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1016,66155,25797,2300,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,49,03-06-2020 08:01:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0201,13107,5111,456,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,03-06-2020 08:01:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,10,Тбилиси,5 гр,0.0518,33733,13154,1173,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,03-06-2020 08:01:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0944,62085,24210,2158,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,03-06-2020 08:01:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.042,27593,10760,959,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,03-06-2020 08:01:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0734,48288,18830,1679,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,03-06-2020 08:01:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0441,28973,11298,1007,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,03-06-2020 08:01:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0839,55186,21520,1918,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,03-06-2020 08:01:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2334,153487,59853,5336,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,03-06-2020 08:01:45,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1652,107545,41937,3739,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,03-06-2020 08:01:45,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0856,55738,21735,1938,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
59,59,03-06-2020 08:01:45,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0391,25455,9926,885,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,60,03-06-2020 08:01:45,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5297,344916,134500,11991,5000.0,,,,,,,,,,METADON - 20 G.
61,61,03-06-2020 08:01:45,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.14300000000000002,103475,40350,3597,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
62,62,03-06-2020 08:01:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0635,41321,16113,1436,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,03-06-2020 08:01:45,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1363,89609,34943,3115,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
64,64,03-06-2020 08:01:45,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2621,172389,67223,5993,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
65,65,03-06-2020 08:01:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2518,165559,64560,5755,2400.0,,,,,,,,,,100 gr marijuana buds
66,66,03-06-2020 08:01:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2098,137966,53800,4796,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,03-06-2020 08:01:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2622,172458,67250,5995,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,03-06-2020 08:01:45,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6189,407000,158710,14149,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,03-06-2020 08:02:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4825,317322,123740,11031,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,03-06-2020 08:02:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7867,517373,201750,17986,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,03-06-2020 08:02:55,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8916,586356,228650,20384,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,03-06-2020 08:02:55,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,13797,5380,480,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,03-06-2020 08:02:55,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,13797,5380,480,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,03-06-2020 08:02:55,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,17246,6725,600,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,03-06-2020 08:02:55,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.021,13797,5380,480,200.0,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
76,76,03-06-2020 08:02:55,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5877,1034747,403500,35972,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,03-06-2020 08:04:02,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,2,нет,Батуми,4 гр,0.0059,3863,1506,134,56.0,,,,,,,True,,,Marki n-BoooooooM 4 sht
78,78,03-06-2020 08:04:02,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2308,151763,59180,5276,2200.0,,,,,,,,True,,[100g] SPAIN HASH
79,79,03-06-2020 08:04:02,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,2,Батуми,5 гр,0.0236,15866,6187,552,230.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
80,80,03-06-2020 08:04:02,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0432,28973,11298,1007,420.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
81,81,03-06-2020 08:04:02,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5297,344916,134500,11991,5000.0,,,,,,,,True,,METADON - 20 G.
82,82,03-06-2020 08:04:02,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1718,112990,51992,3931,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
83,83,03-06-2020 08:04:02,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.272,178900,82321,6225,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
84,84,03-06-2020 08:04:02,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,6898,2690,240,100.0,,,,,,,,True,,kur'er v Batumi
85,85,03-06-2020 08:04:02,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17246,6725,600,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
86,86,03-06-2020 08:04:02,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17246,6725,600,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
87,87,03-06-2020 08:04:02,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.021,13797,5380,480,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
88,88,03-06-2020 08:04:02,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0292,19195,7513,668,,,,250.0,,,,,True,,Rabota na marki (kur'er)
89,89,03-06-2020 08:04:02,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5877,1034747,403500,35972,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,90,03-06-2020 08:04:02,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0524,34492,13450,1199,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,03-06-2020 08:05:32,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,2 гр,0.0317,21316,8312,741,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
92,92,03-06-2020 08:05:32,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.02,13452,5246,468,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
93,93,03-06-2020 08:05:32,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0292,19195,7513,668,,,,250.0,,,,,,True,Rabota na marki (kur'er)
