,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
27,28-05-2020 19:16:16,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0385,26236,10004,889,369,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
28,28-05-2020 19:16:16,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0604,41168,15697,1395,579,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,28-05-2020 19:16:16,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0413,28440,10844,964,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,28-05-2020 19:16:16,Tbilisi,1MZLP,WeedbooM,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0145,9954,3795,337,140,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
31,28-05-2020 19:16:16,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0723,49771,18977,1686,700,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
32,28-05-2020 19:16:16,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0568,39106,14911,1325,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,28-05-2020 19:17:37,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.057,39106,14911,1325,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0244,16709,6371,566,235,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0249,17064,6506,578,240,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0239,16353,6235,554,230,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0165,11305,4310,383,159,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,17064,6506,578,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0249,17064,6506,578,240,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0239,16353,6235,554,230,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,28-05-2020 19:17:37,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,15571,5937,528,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,16709,6371,566,235,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,28-05-2020 19:17:37,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0259,17775,6778,602,250,,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
44,28-05-2020 19:17:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.252,190000,87429,6448,,,,,,,,,,,,reagent 25i nbome. 5gr
45,28-05-2020 19:17:37,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2829,213304,81330,7227,3000,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1005,68186,25998,2310,959,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0199,13509,5151,458,190,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.0512,34768,13257,1178,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
49,28-05-2020 19:17:37,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0933,63991,24399,2168,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0415,28440,10844,964,400,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
51,28-05-2020 19:17:37,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0726,49771,18977,1686,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
52,28-05-2020 19:17:37,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,29863,11386,1012,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
53,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.083,56881,21688,1927,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,28-05-2020 19:17:37,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2308,158200,60320,5360,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
55,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1633,110847,42264,3756,1559,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,26236,10004,889,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,28-05-2020 19:17:37,Tbilisi,7LHWP,GEOBUDS,20 gr georgian weed. Package on magnet,True,нет,10,Тбилиси,20 гр,0.0414,28369,10817,961,399,,,,,,,,,,,20 gr georgian weed. Package on magnet
58,28-05-2020 19:17:37,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5238,355506,135550,12045,5000,,,,,,,,,,,METADON - 20 G.
59,28-05-2020 19:17:37,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0627,42590,16239,1443,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,28-05-2020 19:17:37,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1347,92360,35216,3129,1299,,,,,,,,,,,50 gr georgian weed. Package on magnet
61,28-05-2020 19:17:37,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2592,177682,67748,6020,2499,,,,,,,,,,,100 gr georgian weed. Package on magnet
62,28-05-2020 19:17:37,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2489,170643,65064,5782,2400,,,,,,,,,,,100 gr marijuana buds
63,28-05-2020 19:17:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2074,142202,54220,4818,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,28-05-2020 19:17:37,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2593,177753,67775,6023,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,28-05-2020 19:17:37,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6119,419497,159949,14213,5900,,,,,,,,,,,180 gr marihuana persoalno
66,28-05-2020 19:17:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4771,327066,124706,11081,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
67,28-05-2020 19:17:37,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7779,533259,203325,18068,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
68,28-05-2020 19:18:32,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,14220,5422,482,200,,,,,,,,,,,KURYER..500RUB.+BONUS
69,28-05-2020 19:18:32,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0188,14220,5422,482,200,,,,,,,,,,,Trebuetsja Kur'er
70,28-05-2020 19:18:32,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,14220,5422,482,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,28-05-2020 19:18:32,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,17775,6778,602,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,28-05-2020 19:18:32,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0207,14220,5422,482,200,,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
73,28-05-2020 19:18:32,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5656,1066518,406650,36135,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,28-05-2020 19:19:44,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2283,156423,59642,5300,2200,,,,,,,True,,,,[100g] SPAIN HASH
75,28-05-2020 19:19:44,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.042,28796,10980,976,405,,,,,,,True,,,,MDMA !! 3 gramma
76,28-05-2020 19:19:44,Batumi,GGVQZ,KARAVANos,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0427,29863,11386,1012,420,,,,,,,True,,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
77,28-05-2020 19:19:44,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1649,112990,51992,3834,,,,,,,,True,,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
78,28-05-2020 19:19:44,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2612,178900,82321,6071,,,,,,,,True,,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
79,28-05-2020 19:19:44,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7110,2711,241,100,,,,,,,True,,,,kur'er v Batumi
80,28-05-2020 19:19:44,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17775,6778,602,250,,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
81,28-05-2020 19:19:44,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17775,6778,602,250,,,,,,,True,,,,Ischu kur'era v Gruzii!
82,28-05-2020 19:19:44,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0286,19565,7475,661,,,,,,,,True,250,,,Rabota na marki (kur'er)
83,28-05-2020 19:19:44,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.571,1066518,406650,36135,15000,,,,,,,True,,,,Vakansija optovogo kur'era na mef
84,28-05-2020 19:19:44,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,35551,13555,1205,500,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,28-05-2020 19:20:58,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0498,34484,13148,1168,485,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,28-05-2020 19:20:58,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0336,23463,8946,795,330,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
87,28-05-2020 19:20:58,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0286,19565,7475,661,,,,,,,,,250,,True,Rabota na marki (kur'er)
