,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,Old Tbilisi (Старый город),$,Saburtalo,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
38,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0238,6176,564,16837,,230,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0165,4269,390,11640,,159,,,,,,,,5 gr Shishki “OG KUSH VHQ”
40,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0248,6444,588,17569,,240,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
41,15-05-2020 23:36:04,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0248,6444,588,17569,,240,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0238,6176,564,16837,,230,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,15-05-2020 23:36:04,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,5880,537,16032,,219,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,15-05-2020 23:36:04,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,6310,576,17203,,235,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,15-05-2020 23:36:04,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0166,4296,392,11713,,160,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
46,15-05-2020 23:36:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2441,87429,6307,190000,,,,,,,,,,reagent 25i nbome. 5gr
47,15-05-2020 23:36:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2822,80550,7354,219617,True,3000,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
