,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,€,Дигоми,Varketili,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
59,59,13-02-2020 01:16:04,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0117,8637,3376,300,137.0,,,,,,,,,,,,georgian weed 15 gr salee !!!
60,60,13-02-2020 01:16:04,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0702,48988,19145,1704,777.0,,,,,,,,,,,,Gashish Evro 20gr
61,61,13-02-2020 01:16:04,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.14400000000000002,191014,74674,6642,,,,2777.0,,,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
62,62,13-02-2020 01:16:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0238,15762,6160,548,250.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
63,63,13-02-2020 01:16:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0333,22066,8624,767,350.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
64,64,13-02-2020 01:16:04,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.057,37828,14784,1315,600.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
65,65,13-02-2020 01:16:04,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0207,13870,5421,482,220.0,,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
66,66,13-02-2020 01:16:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0376,25219,9856,877,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
67,67,13-02-2020 01:16:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0226,15131,5914,526,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
68,68,13-02-2020 01:16:45,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0235,15762,6160,548,250.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
69,69,13-02-2020 01:16:45,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1283,94571,36960,3289,1500.0,,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
