,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Gldani,Vazisubani,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
61,25-05-2020 04:18:36,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2657,172513,64920,5757,2400,,,,,,,,,,,,,100 gr marijuana buds
62,25-05-2020 04:18:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2214,143761,54100,4797,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,25-05-2020 04:18:36,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2768,179701,67625,5997,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,25-05-2020 04:18:36,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6533,424094,159595,14152,5900,,,,,,,,,,,,,180 gr marihuana persoalno
65,25-05-2020 04:18:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5093,330650,124430,11034,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,25-05-2020 04:18:36,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8304,539103,202875,17990,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,25-05-2020 04:18:36,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9411,610983,229925,20388,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,25-05-2020 04:18:36,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0201,14376,5410,480,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
69,25-05-2020 04:19:12,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0221,14376,5410,480,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,25-05-2020 04:19:12,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0277,17970,6763,600,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,25-05-2020 04:19:12,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6759,1078206,405750,35979,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
72,25-05-2020 04:21:05,Batumi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,4,нет,Батуми,0.5 гр,0.0066,4313,1623,144,60,,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
73,25-05-2020 04:21:05,Batumi,Z9UT,Rainbow,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0331,21564,8115,720,300,,,,,,,,,,,True,,shishki marihuany 5G
74,25-05-2020 04:21:05,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0661,43128,16230,1439,600,,,,,,,,,,,True,,Super Critical 10G
75,25-05-2020 04:21:05,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2425,158137,59510,5277,2200,,,,,,,,,,True,,,[100g] SPAIN HASH
76,25-05-2020 04:21:05,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6110,2299,204,85,,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
77,25-05-2020 04:21:05,Batumi,A3I9,Joookerrr,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.0362,25886,9719,864,,,,,,,,330,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
78,25-05-2020 04:21:05,Batumi,A3I9,Joookerrr,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0496,32346,12173,1079,450,,,,,,,,,,True,,,MDMA !! 3 gramma
