,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
38,04-03-2020 23:07:42,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0332,19824,7482,671,300,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
39,04-03-2020 23:07:42,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g BTC SALE 5%(ПОДЪЕЗД!!!),True,нет,2,Тбилиси,5 гр,0.0433,26101,9851,883,395,,,,,,,,MDMA from Europe!!! 5g BTC SALE 5%(POD'EZD!!!)
40,04-03-2020 23:07:42,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0274,16520,6235,559,250,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
41,04-03-2020 23:07:42,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0199,13216,4988,447,200,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
42,04-03-2020 23:07:42,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2866,190000,87429,6398,,,,,,,,,reagent 25i nbome. 5gr
43,04-03-2020 23:07:42,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.299,198235,74820,6706,3000,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.0951,56761,21423,1920,859,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
45,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0205,12225,4614,414,185,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0541,32312,12196,1093,489,,,,,,,,💘✨5g. MDMA ✨💘
47,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0364,21740,8205,735,329,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
48,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0199,11894,4489,402,180,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
49,04-03-2020 23:07:42,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,59471,22446,2012,900,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,04-03-2020 23:07:42,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0767,46255,17458,1565,700,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,04-03-2020 23:07:42,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0437,26365,9951,892,399,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,04-03-2020 23:07:42,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0388,23127,8729,782,350,,,,,,,,10x Extasy Duracell 223mg MDMA.
53,04-03-2020 23:07:42,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0877,52863,19952,1788,800,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
54,04-03-2020 23:07:42,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2439,147024,55492,4974,2225,,,,,,,,Amfetamin [White] [Import] 10G
55,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1604,95748,36138,3239,1449,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
56,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,24383,9203,825,369,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
57,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0331,19757,7457,668,299,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
58,04-03-2020 23:07:42,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0775,46255,17458,1565,700,,,,,,,,20x Extasy Duracell 223mg MDMA.
59,04-03-2020 23:07:42,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0663,39581,14939,1339,599,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
60,04-03-2020 23:07:42,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0736,46255,17458,1565,700,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
61,04-03-2020 23:07:42,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1196,79294,29928,2682,1200,,,,,,,,50 gr 23% THC Amnesia Haze top quality
62,04-03-2020 23:07:42,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1051,66012,24915,2233,999,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
63,04-03-2020 23:07:42,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2193,132157,49880,4471,2000,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
64,04-03-2020 23:07:42,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2214,132157,49880,4471,2000,,,,,,,,SUBOXIN - HQ - 100 G.
65,04-03-2020 23:07:42,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2741,165196,62350,5588,2500,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,04-03-2020 23:07:42,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1661,99118,37410,3353,1500,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
67,04-03-2020 23:07:42,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5043,303961,114724,10282,4600,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,04-03-2020 23:07:42,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8222,495588,187050,16765,7500,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,04-03-2020 23:07:42,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9318,561666,211990,19000,8500,,,,,,,,10000sht marki 25i-nbome. predoplata
70,04-03-2020 23:08:31,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0199,13216,4988,447,200,,,,,,,,KURYER..500RUB.+BONUS
71,04-03-2020 23:08:31,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0199,13216,4988,447,200,,,,,,,,Trebuetsja Kur'er
72,04-03-2020 23:08:31,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,13216,4988,447,200,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,04-03-2020 23:08:31,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,16520,6235,559,250,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,04-03-2020 23:08:31,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6587,991176,374100,33530,15000,,,,,,,,Vakansija optovogo kur'era na mef
75,04-03-2020 23:10:19,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.164,99118,37410,3353,1500,,,,,True,,,Skunk! 50 gr.
76,04-03-2020 23:10:19,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,нет,5,Батуми,0.27 гр,0.0298,17841,6734,604,270,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
77,04-03-2020 23:10:19,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,16,Батуми,5 гр,0.0199,13216,4988,447,200,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
78,04-03-2020 23:10:19,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2209,132157,49880,4471,2000,,,,,True,,,SUBOXIN - HQ - 100 G.
79,04-03-2020 23:10:19,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1656,99118,37410,3353,1500,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
80,04-03-2020 23:10:19,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.011,6608,2494,224,100,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
81,04-03-2020 23:10:19,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3304,1247,112,50,,,,,True,,,kur'er v Batumi
82,04-03-2020 23:10:19,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,16520,6235,559,250,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
83,04-03-2020 23:10:19,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,16520,6235,559,250,,,,,True,,,Ischu kur'era v Gruzii!
84,04-03-2020 23:10:19,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6549,991176,374100,33530,15000,,,,,True,,,Vakansija optovogo kur'era na mef
85,04-03-2020 23:10:19,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0547,33039,12470,1118,500,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,04-03-2020 23:12:17,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0119,7136,2694,241,108,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
87,04-03-2020 23:12:17,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.011,6608,2494,224,100,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
