,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Zahesi,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,desc_en
16,16,29-06-2020 07:05:44,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,2,нет,Тбилиси,2 гр,0.0088,5876,2287,203,,,85.0,True,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
17,17,29-06-2020 07:05:44,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,22,нет,Тбилиси,3 гр,0.009000000000000001,6014,2340,207,,True,87.0,,,True,,,,,3 gr georgian weed. Package on magnet
18,18,29-06-2020 07:05:44,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,,2,нет,Тбилиси,5 гр,0.0098,7258,2825,250,,True,105.0,,,,,,,,5 + GRAMM NEW BEASTWEED
19,19,29-06-2020 07:05:44,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,22,нет,Тбилиси,5 гр,0.0072,4770,1856,164,,True,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
20,20,29-06-2020 07:05:44,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,7,нет,Тбилиси,5 гр,0.013999999999999999,10300,4008,355,,True,149.0,,,,,,,,5g. GEO Marihuana boshki
21,21,29-06-2020 07:05:44,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,5,нет,Тбилиси,5 гр,0.0052,3802,1480,131,,True,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
22,22,29-06-2020 07:05:44,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,9,нет,Тбилиси,10 гр,0.0246,16522,6429,570,,True,239.0,,,,,,,,10 gr georgian weed. Package on magnet
23,23,29-06-2020 07:05:44,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,15,нет,Тбилиси,10 гр,0.0134,8918,3470,308,,True,129.0,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,24,29-06-2020 07:05:44,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,3,нет,Тбилиси,10 гр,0.045,31108,12105,1073,,True,450.0,,,,,,,,Gashish Evro 10gr
25,25,29-06-2020 07:05:44,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,4,нет,Тбилиси,10 гр,0.008,5876,2287,203,,True,85.0,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
26,26,29-06-2020 07:05:44,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,2,нет,Тбилиси,10 гр,0.0089,6567,2556,226,,True,95.0,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
27,27,29-06-2020 07:05:44,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,2,нет,Тбилиси,11 гр,0.0169,12443,4842,429,,True,180.0,,,,,,,,11+ GRAMM BEASTWEED NEW
28,28,29-06-2020 07:05:44,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0468,34564,13450,1192,,True,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
29,29,29-06-2020 07:05:44,Tbilisi,9610a68a0a,GABAGAMA 40 SHTUK,,1,нет,Тбилиси,40 гр,0.0052,3456,1345,119,,True,50.0,,,,,,,,GABAGAMA 40 SHTUK
30,30,29-06-2020 07:05:44,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2079,138257,53800,4768,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,31,29-06-2020 07:05:44,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",,нет,4,Тбилиси,1 гр,0.0046,3111,1211,107,,True,45.0,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
32,32,29-06-2020 07:05:44,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,9,Тбилиси,2 гр,0.0093,6222,2421,215,,True,90.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
33,33,29-06-2020 07:05:44,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,2,Тбилиси,2 гр,0.0515,34219,13316,1180,,True,495.0,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,29-06-2020 07:05:44,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0087,5816,2261,201,75.0,True,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
35,35,29-06-2020 07:07:24,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,6,Тбилиси,3 гр,0.0124,8295,3228,286,,True,120.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
36,36,29-06-2020 07:07:24,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.077,51155,19906,1764,,True,740.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,29-06-2020 07:07:24,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,,нет,5,Тбилиси,3 гр,0.0125,8295,3228,286,,True,120.0,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
38,38,29-06-2020 07:07:24,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,6,Тбилиси,4 гр,0.0412,27651,10760,954,,True,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,29-06-2020 07:07:24,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,9,Тбилиси,4 гр,0.0124,8295,3228,286,,True,120.0,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
40,40,29-06-2020 07:07:24,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0258,17282,6725,596,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,41,29-06-2020 07:07:24,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0567,38021,14795,1311,,True,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,42,29-06-2020 07:07:24,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,43,29-06-2020 07:07:24,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,44,29-06-2020 07:07:24,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0283,19010,7398,656,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,29-06-2020 07:07:24,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0247,16591,6456,572,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,29-06-2020 07:07:24,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0288,19356,7532,668,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,29-06-2020 07:07:24,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,29-06-2020 07:07:24,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0205,15139,5891,522,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,29-06-2020 07:07:24,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.018000000000000002,12097,4708,417,,True,175.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
50,50,29-06-2020 07:07:24,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0278,18665,7263,644,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,51,29-06-2020 07:07:24,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1545,103693,40350,3576,,True,1500.0,,,,,,,,Gerojn (sirets) 5 gr
52,52,29-06-2020 07:07:24,Tbilisi,54915c4374,марки н-боом 5шт.,,нет,9,Тбилиси,5 гр,0.0067,4493,1749,155,,True,65.0,,,,,,,,marki n-boom 5sht.
53,53,29-06-2020 07:07:24,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2574,190000,87429,6552,,True,,,,,,,,,reagent 25i nbome. 5gr
54,54,29-06-2020 07:07:24,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.281,207385,80700,7152,,,3000.0,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,29-06-2020 07:07:24,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.129,85719,33356,2956,,True,1240.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,29-06-2020 07:07:24,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,14,Тбилиси,5 гр,0.0208,13826,5380,477,,True,200.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
57,57,29-06-2020 07:07:24,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0927,62216,24210,2146,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,58,29-06-2020 07:07:24,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0567,38021,14795,1311,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,59,29-06-2020 07:07:24,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0721,48390,18830,1669,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,60,29-06-2020 07:07:24,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0433,29034,11298,1001,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,61,29-06-2020 07:07:24,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0824,55303,21520,1907,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,29-06-2020 07:07:24,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.034,22812,8877,787,,True,330.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
63,63,29-06-2020 07:07:24,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2292,153811,59853,5304,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
64,64,29-06-2020 07:07:24,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0103,6913,2690,238,,True,100.0,,,,,,,,Marki n-boom 10 sht.
65,65,29-06-2020 07:07:24,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Тбилиси,10 гр,0.2266,152082,59180,5245,,True,2200.0,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
66,66,29-06-2020 07:07:24,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.258,171438,66712,5912,,True,2480.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,67,29-06-2020 07:07:24,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0416,27651,10760,954,,True,400.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,29-06-2020 07:07:24,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0454,30241,11759,1043,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,29-06-2020 07:07:24,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0832,55303,21520,1907,,True,800.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,29-06-2020 07:09:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2059,138257,53800,4768,,True,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
71,71,29-06-2020 07:09:18,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2574,172821,67250,5960,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
72,72,29-06-2020 07:09:18,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6074,407858,158710,14065,,True,5900.0,,,,,,,,180 gr marihuana persoalno
73,73,29-06-2020 07:09:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4736,317991,123740,10966,,True,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
74,74,29-06-2020 07:09:18,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7721,518463,201750,17879,,True,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
75,75,29-06-2020 07:09:18,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.875,587591,228650,20263,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
76,76,29-06-2020 07:09:18,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0187,13826,5380,477,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
77,77,29-06-2020 07:09:18,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0206,13826,5380,477,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,29-06-2020 07:09:18,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0257,17282,6725,596,,True,250.0,,,,,,,,Rabota na marki (kur'er)
79,79,29-06-2020 07:09:18,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5582,1036926,403500,35759,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
80,80,29-06-2020 07:11:11,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.0515,34564,13450,1192,,,500.0,,,,,,True,,Super Critical 10G
81,81,29-06-2020 07:11:11,Batumi,f8a875c191,METADON - 0.25 - SALE,,5,10,Батуми,0.25 гр,0.026000000000000002,17282,6725,596,,,250.0,,,,,,,True,METADON - 0.25 - SALE
82,82,29-06-2020 07:11:11,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1544,103693,40350,3576,,,1500.0,,,,,,,True,Gerojn (sirets) 5 gr
83,83,29-06-2020 07:11:11,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2265,152082,59180,5245,,,2200.0,,,,,,,True,Sirets (gerojn) ochen' sil'nyj 10 gr
84,84,29-06-2020 07:11:11,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1683,112990,51992,3897,,,,,,,,,,True,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,29-06-2020 07:11:11,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2664,178900,82321,6170,,,,,,,,,,True,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,29-06-2020 07:11:11,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6913,2690,238,,,100.0,,,,,,,True,kur'er v Batumi
87,87,29-06-2020 07:11:11,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,17282,6725,596,,,250.0,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
88,88,29-06-2020 07:11:11,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,17282,6725,596,,,250.0,,,,,,,True,Ischu kur'era v Gruzii!
89,89,29-06-2020 07:11:11,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0206,13826,5380,477,,,200.0,,,,,,,True,Kur'er Batumi na marihuanu
90,90,29-06-2020 07:11:11,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5582,1036926,403500,35759,,,15000.0,,,,,,,True,Vakansija optovogo kur'era na mef
91,91,29-06-2020 07:11:11,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0515,34564,13450,1192,,,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
