,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
31,25-05-2020 17:53:27,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0276,17899,6763,600,250,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
32,25-05-2020 17:53:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.266,190000,87429,6351,,,True,,,,,,,,,reagent 25i nbome. 5gr
33,25-05-2020 17:53:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3008,214789,81150,7196,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
34,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1068,68661,25941,2300,959,,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
35,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0212,13603,5140,456,190,,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
36,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0545,35011,13227,1173,489,,True,,,,,,,,,💘✨5g. MDMA ✨💘
37,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,10,Тбилиси,5 гр,0.0211,13532,5112,453,189,,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
38,25-05-2020 17:54:17,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0993,64437,24345,2159,900,,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,25-05-2020 17:54:17,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0441,28638,10820,959,400,,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,25-05-2020 17:54:17,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0772,50117,18935,1679,700,,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,25-05-2020 17:54:17,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0463,30070,11361,1007,420,,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,25-05-2020 17:54:17,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,1,38,Тбилиси,10 гр,0.0149,9665,3652,324,135,,True,,,,,,,,,10G Hybrid Marijuana Leafs
43,25-05-2020 17:54:17,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0882,57277,21640,1919,800,,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
44,25-05-2020 17:54:17,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2454,159302,60186,5337,2225,,True,,,,,,,,,Amfetamin [White] [Import] 10G
45,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1736,111618,42171,3739,1559,,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
46,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0411,26419,9981,885,369,,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0351,22553,8521,756,315,,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
48,25-05-2020 17:54:17,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5569,357981,135250,11993,5000,,True,,,,,,,,,METADON - 20 G.
49,25-05-2020 17:54:17,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0667,42886,16203,1437,599,,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
