,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Old Tbilisi (Старый город),€,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,11-03-2020 14:53:43,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,2,нет,Тбилиси,1 гр,0.0208,12793,4663,415,179.0,,,,,,,,,,Cocaine Pure VHQ 1g
11,11,11-03-2020 14:53:43,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,2,нет,Тбилиси,1 гр,0.0054,3216,1172,104,45.0,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
12,12,11-03-2020 14:53:43,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,3,нет,Тбилиси,1 гр,0.0231,13508,4923,439,189.0,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
13,13,11-03-2020 14:53:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0231,14223,5184,462,199.0,,,,,,,,,,VHQ BEST Cocaine 1g.
14,14,11-03-2020 14:53:43,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0226,13508,4923,439,189.0,,,,,,,,,,Kokain HQ 1g.
15,15,11-03-2020 14:53:43,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0216,12793,4663,415,179.0,,True,,,,,,,,Kokain KOLUMBIA 1g
16,16,11-03-2020 14:53:43,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0989,64325,23445,2089,900.0,,,,,,,,,,Metadon 1gr
17,17,11-03-2020 14:53:43,Tbilisi,dd631c4acf,☃️❄1g. New COCAINE!!❄☃️,True,3,нет,Тбилиси,1 гр,0.022000000000000002,12865,4689,418,180.0,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
18,18,11-03-2020 14:53:43,Tbilisi,7ee4f68218,2 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,2 гр,0.0237,14584,5310,474,,,,180.0,,,,,,,2 gr mdma (skidka v bitkoin 5%)
19,19,11-03-2020 14:53:43,Tbilisi,64284550d9,2G ---> INDICA,,26,нет,Тбилиси,2 гр,0.0079,4789,1745,156,67.0,True,,,,,,,,,2G ---> INDICA
20,20,11-03-2020 14:53:43,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,2,нет,Тбилиси,2 гр,0.044000000000000004,25730,9378,835,360.0,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
21,21,11-03-2020 14:53:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0429,27874,10160,905,390.0,,,,,,,,,,VHQ BEST Cocaine 2g.
22,22,11-03-2020 14:53:43,Tbilisi,dd631c4acf,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃,True,1,нет,Тбилиси,2 гр,0.0145,8505,3100,276,119.0,,,,,,,,,,🍃🍃2g. New! Gorilla Glue Premium Hush🍃🍃
23,23,11-03-2020 14:53:43,Tbilisi,64284550d9,3G ---> INDICA,,21,нет,Тбилиси,3 гр,0.0102,6647,2423,216,93.0,True,,,,,,,,,3G ---> INDICA
24,24,11-03-2020 14:53:43,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0194,11364,4142,369,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
25,25,11-03-2020 14:53:43,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0189,11078,4038,360,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,26,11-03-2020 14:53:43,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0352,22871,8336,743,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,11-03-2020 14:53:43,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0493,30383,11063,988,,,,375.0,,,,,,,5 gr mdma (skidka v bitkoin 5%)
28,28,11-03-2020 14:53:43,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),True,6,нет,Тбилиси,5 гр,0.0153,9935,3621,323,139.0,,True,,,,,,,,5gr georgian indica (hight quality)
29,29,11-03-2020 14:53:43,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0214,12508,4559,406,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,11-03-2020 14:53:43,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,4,нет,Тбилиси,5 гр,0.018000000000000002,10721,3908,348,150.0,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
31,31,11-03-2020 14:53:43,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.0951,56248,20501,1826,787.0,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
32,32,11-03-2020 14:53:43,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,6,нет,Тбилиси,5 гр,0.0071,4646,1693,151,65.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,11-03-2020 14:53:43,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0531,31734,11566,1030,444.0,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
34,34,11-03-2020 14:54:33,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0441,26087,9508,847,365.0,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
35,35,11-03-2020 14:54:33,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0323,19083,6955,620,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
36,36,11-03-2020 14:54:33,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0464,28589,10420,928,400.0,,,,,,,,,,gashish evro 10g
37,37,11-03-2020 14:54:33,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1025,60608,22090,1968,848.0,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
38,38,11-03-2020 14:54:33,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,8,5,Тбилиси,0.27 гр,0.0329,19297,7034,627,270.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
39,39,11-03-2020 14:54:33,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,1,Тбилиси,0.35 гр,0.0278,16439,5992,534,230.0,,,,,,,,,,Methadone HQ in city 0.35g
40,40,11-03-2020 14:54:33,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0429,25658,9352,833,359.0,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
41,41,11-03-2020 14:54:33,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.07200000000000001,42168,15370,1369,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
42,42,11-03-2020 14:54:33,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0483,28589,10420,928,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,43,11-03-2020 14:54:33,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0665,39310,14328,1276,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,44,11-03-2020 14:54:33,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0188,11150,4064,362,156.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
45,45,11-03-2020 14:54:33,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.024,14223,5184,462,199.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
46,46,11-03-2020 14:54:33,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0193,11436,4168,371,160.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
47,47,11-03-2020 14:54:33,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.024,14223,5184,462,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
48,48,11-03-2020 14:54:33,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.024,14223,5184,462,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
49,49,11-03-2020 14:54:33,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0175,10363,3777,337,145.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,11-03-2020 14:54:33,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0241,15652,5705,508,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,11-03-2020 14:54:33,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0244,14294,5210,464,200.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
52,52,11-03-2020 14:54:33,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0181,10721,3908,348,150.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
53,53,11-03-2020 14:54:33,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.022000000000000002,14294,5210,464,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
54,54,11-03-2020 14:54:33,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.292,190000,87429,6120,,,,,,,,,,,reagent 25i nbome. 5gr
55,55,11-03-2020 14:54:33,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3295,214416,78150,6962,3000.0,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,56,11-03-2020 14:54:33,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1048,61394,22377,1994,859.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
57,57,11-03-2020 14:54:33,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0226,13222,4819,429,185.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,11-03-2020 14:54:33,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0597,34950,12738,1135,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,11-03-2020 14:54:33,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0401,23514,8570,764,329.0,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
60,60,11-03-2020 14:54:33,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.022000000000000002,12865,4689,418,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
61,61,11-03-2020 14:54:33,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1087,64325,23445,2089,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,11-03-2020 14:54:33,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0846,50030,18235,1625,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
63,63,11-03-2020 14:54:33,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0482,28517,10394,926,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,11-03-2020 14:54:33,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0427,25015,9118,812,350.0,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
65,65,11-03-2020 14:54:33,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0967,57178,20840,1857,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,11-03-2020 14:54:33,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2688,159025,57961,5164,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
67,67,11-03-2020 14:55:19,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0451,26373,9612,856,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,68,11-03-2020 14:55:19,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0366,21370,7789,694,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,69,11-03-2020 14:55:19,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0733,42812,15604,1390,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,70,11-03-2020 14:55:19,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0814,50030,18235,1625,700.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
71,71,11-03-2020 14:55:19,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1321,85766,31260,2785,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
72,72,11-03-2020 14:55:19,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1161,71401,26024,2318,999.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
73,73,11-03-2020 14:55:19,Tbilisi,28bf667d16,Hashish Ice-o-lator 50g,True,нет,1,Тбилиси,50 гр,0.2544,150091,54705,4874,2100.0,,,,,,,,,,Hashish Ice-o-lator 50g
74,74,11-03-2020 14:55:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2422,142944,52100,4642,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
75,75,11-03-2020 14:55:19,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2447,142944,52100,4642,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
76,76,11-03-2020 14:55:19,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3028,178680,65125,5802,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
77,77,11-03-2020 14:55:19,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1835,107208,39075,3481,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
78,78,11-03-2020 14:55:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5572,328771,119830,10676,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
79,79,11-03-2020 14:55:19,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.9084,536040,195375,17406,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
80,80,11-03-2020 14:55:19,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.0296,607512,221425,19727,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
81,81,11-03-2020 14:55:19,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.022000000000000002,14294,5210,464,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
82,82,11-03-2020 14:55:19,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0165,10721,3908,348,150.0,,,,,,,,,,Rabota na marki (kur'er)
83,83,11-03-2020 14:55:19,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0242,14294,5210,464,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,84,11-03-2020 14:55:19,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0303,17868,6513,580,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
85,85,11-03-2020 14:55:19,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.8334,1072080,390750,34812,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,11-03-2020 14:56:48,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,17,нет,Батуми,1 гр,0.022000000000000002,14294,5210,464,200.0,,,,,,,True,,,NZT-52 limited 1 g muka
87,87,11-03-2020 14:56:48,Batumi,3ee37c89bb,ORANGE PUNCH [1g],,3,нет,Батуми,1 гр,0.0073,4288,1563,139,60.0,,,,,,,True,,,ORANGE PUNCH [1g]
88,88,11-03-2020 14:56:48,Batumi,012f23b5ea,Power Africa 1g,,4,нет,Батуми,1 гр,0.0055,3574,1303,116,50.0,,,,,,,True,,,Power Africa 1g
89,89,11-03-2020 14:56:48,Batumi,c72111ac1a,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0396,25730,9378,835,360.0,,,,,,,True,,,NZT-52 limited 2g muka
90,90,11-03-2020 14:56:48,Batumi,012f23b5ea,Power Africa 2.5 g,,2,нет,Батуми,2.5 гр,0.0116,7505,2735,244,105.0,,,,,,,True,,,Power Africa 2.5 g
91,91,11-03-2020 14:56:48,Batumi,3c4662c591,Super Critical HIGHEST QUALITY 5G,,1,нет,Батуми,5 гр,0.0303,17868,6513,580,250.0,,,,,,,,True,,Super Critical HIGHEST QUALITY 5G
92,92,11-03-2020 14:56:48,Batumi,30f48d507d,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1817,107208,39075,3481,1500.0,,,,,,,True,,,Skunk! 50 gr.
93,93,11-03-2020 14:56:48,Batumi,f8a875c191,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,3,4,Батуми,0.27 гр,0.033,19297,7034,627,270.0,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
94,94,11-03-2020 14:56:48,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,16,Батуми,5 гр,0.022000000000000002,14294,5210,464,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
95,95,11-03-2020 14:56:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2447,142944,52100,4642,2000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
96,96,11-03-2020 14:56:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1835,107208,39075,3481,1500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,11-03-2020 14:56:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0055,3574,1303,116,50.0,,,,,,,True,,,kur'er v Batumi
98,98,11-03-2020 14:56:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0275,17868,6513,580,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
99,99,11-03-2020 14:56:48,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0165,10721,3908,348,150.0,,,,,,,True,,,Rabota na marki (kur'er)
100,100,11-03-2020 14:56:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0275,17868,6513,580,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
101,101,11-03-2020 14:56:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.8334,1072080,390750,34812,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
102,102,11-03-2020 14:56:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0606,35736,13025,1160,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
103,103,11-03-2020 14:58:07,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0165,10721,3908,348,150.0,,,,,,,,,True,Rabota na marki (kur'er)
