,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Varketili,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
10,10,10-07-2020 11:10:07,Tbilisi,64284550d9,1G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,1 гр,0.0063,4182,1605,144,,,59.0,,True,,,,,,1G ---> Big Devil (BTC - Sale)
11,11,10-07-2020 11:10:07,Tbilisi,ebadfc162f,Gorilla Glue 1G Super strong weed LIMITED,,4,нет,Тбилиси,1 гр,0.0064,4253,1632,146,,,60.0,True,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
12,12,10-07-2020 11:10:07,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,5,нет,Тбилиси,1 гр,0.0073,4825,1836,165,60.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
13,13,10-07-2020 11:10:07,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,2 гр,0.0127,8506,3264,292,,,120.0,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
14,14,10-07-2020 11:10:07,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0127,8506,3264,292,,,120.0,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
15,15,10-07-2020 11:10:07,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0127,8506,3264,292,,,120.0,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
16,16,10-07-2020 11:10:07,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,3,нет,Тбилиси,2 гр,0.0106,7797,2992,268,,,110.0,,,True,,,,,"Hindu Kush (photoperiod, regular) 2gr"
17,17,10-07-2020 11:10:07,Tbilisi,8528108b62,3g. марихуана шишки Critical,True,1,нет,Тбилиси,3 гр,0.0145,10632,4080,365,,,150.0,,,,,,,,3g. marihuana shishki Critical
18,18,10-07-2020 11:10:07,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,13,нет,Тбилиси,3 гр,0.0059,3898,1496,134,,,55.0,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
19,19,10-07-2020 11:10:07,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0232,17011,6528,584,,,240.0,,,,,,,,5g. marihuana shishki Critical
20,20,10-07-2020 11:10:07,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,9,нет,Тбилиси,5 гр,0.0074,4891,1877,168,,,69.0,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
21,21,10-07-2020 11:10:07,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,6,нет,Тбилиси,5 гр,0.0144,10561,4053,363,,,149.0,,,,,,,,5g. GEO Marihuana boshki
22,22,10-07-2020 11:10:07,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0232,17011,6528,584,,True,240.0,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
23,23,10-07-2020 11:10:07,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0053,3898,1496,134,,,55.0,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
24,24,10-07-2020 11:10:07,Tbilisi,54915c4374,марки н-боом 5шт.,,1,нет,Тбилиси,5 гр,0.0069,4607,1768,158,,,65.0,,True,,,,,,marki n-boom 5sht.
25,25,10-07-2020 11:10:07,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0463,31896,12240,1095,,,450.0,,,,,,,,Gashish Evro 10gr
26,26,10-07-2020 11:10:07,Tbilisi,54915c4374,Марки н-боом 10 шт.,,1,нет,Тбилиси,10 гр,0.0106,7088,2720,243,,,100.0,,True,,,,,,Marki n-boom 10 sht.
27,27,10-07-2020 11:10:07,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0482,35440,13600,1217,,,500.0,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,28,10-07-2020 11:10:07,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0069,4607,1768,158,,,65.0,,,,,,,,Silver haze leaves list'ja 15gr sale
29,29,10-07-2020 11:10:07,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2142,141760,54400,4866,,,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,10-07-2020 11:10:07,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,5,Тбилиси,1 гр,0.0377,24928,9486,854,310.0,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
31,31,10-07-2020 11:10:07,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,4,Тбилиси,4 гр,0.0424,28352,10880,973,,,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,10-07-2020 11:10:07,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0265,17720,6800,608,,,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
33,33,10-07-2020 11:10:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0297,19846,7616,681,,,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,34,10-07-2020 11:10:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0292,19492,7480,669,,,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,35,10-07-2020 11:10:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,17011,6528,584,,,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,36,10-07-2020 11:10:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0297,19846,7616,681,,,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,37,10-07-2020 11:10:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0287,19138,7344,657,,,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,38,10-07-2020 11:10:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15523,5957,533,,,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,39,10-07-2020 11:10:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0287,19138,7344,657,,,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
40,40,10-07-2020 11:10:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2588,190000,87429,6521,,,,,,,,,,,reagent 25i nbome. 5gr
41,41,10-07-2020 11:10:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2897,212640,81600,7300,,,3000.0,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
42,42,10-07-2020 11:10:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,5 гр,0.0243,16083,6120,551,200.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
43,43,10-07-2020 11:10:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0956,63792,24480,2190,,,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,10-07-2020 11:10:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0584,38984,14960,1338,,,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
45,45,10-07-2020 11:10:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0744,49616,19040,1703,,,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
46,46,10-07-2020 11:10:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,29770,11424,1022,,,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
47,47,10-07-2020 11:10:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.085,56704,21760,1947,,,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,48,10-07-2020 11:10:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2363,157708,60520,5414,,,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
49,49,10-07-2020 11:10:45,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0535,35382,13464,1212,440.0,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
50,50,10-07-2020 11:10:45,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0474,31361,11934,1074,390.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,10-07-2020 11:10:45,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,4,Тбилиси,11 гр,0.0485,32085,12209,1099,399.0,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
52,52,10-07-2020 11:10:45,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0628,46072,17680,1582,,,650.0,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
53,53,10-07-2020 11:10:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2549,170112,65280,5840,,,2400.0,,,,,,,,100 gr marijuana buds
54,54,10-07-2020 11:10:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2655,177200,68000,6083,,,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,10-07-2020 11:10:45,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6267,418192,160480,14356,,,5900.0,,,,,,,,180 gr marihuana persoalno
56,56,10-07-2020 11:10:46,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9028,602480,231200,20682,,,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
57,57,10-07-2020 11:10:46,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14176,5440,487,,,200.0,,,,,,,,KURYER..500RUB.+BONUS
58,58,10-07-2020 11:10:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0266,17720,6800,608,,,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,10-07-2020 11:10:46,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0212,14176,5440,487,,,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
60,60,10-07-2020 11:10:46,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0266,17720,6800,608,,,250.0,,,,,,,,Rabota na marki (kur'er)
61,61,10-07-2020 11:10:46,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0531,35440,13600,1217,,,500.0,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
62,62,10-07-2020 11:10:46,Tbilisi,ae784bef73,Работа курьером,True,нет,1,Тбилиси,10 гр,0.0193,14176,5440,487,,,200.0,,,,,,,,Rabota kur'erom
63,63,10-07-2020 11:10:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6077,1063200,408000,36498,,,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
64,64,10-07-2020 11:10:46,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0531,35440,13600,1217,,,500.0,True,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
65,65,10-07-2020 11:12:16,Batumi,75738ec358,Golosa(GHS)+ DOS-vi-DOS 2g,,4,нет,Батуми,2 гр,0.0192,14176,5440,487,,,200.0,,,,,,True,,Golosa(GHS)+ DOS-vi-DOS 2g
66,66,10-07-2020 11:12:16,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Батуми,1 гр,0.0376,24928,9486,854,310.0,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
67,67,10-07-2020 11:12:16,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Батуми,10 гр,0.0533,35382,13464,1212,440.0,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
68,68,10-07-2020 11:12:16,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0473,31361,11934,1074,390.0,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
69,69,10-07-2020 11:12:16,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0484,32085,12209,1099,399.0,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
70,70,10-07-2020 11:12:16,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1688,112990,51992,3878,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
71,71,10-07-2020 11:12:16,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2672,178900,82321,6140,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
72,72,10-07-2020 11:12:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7088,2720,243,,,100.0,,,,,,True,,kur'er v Batumi
73,73,10-07-2020 11:12:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17720,6800,608,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
74,74,10-07-2020 11:12:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17720,6800,608,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
75,75,10-07-2020 11:12:16,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0212,14176,5440,487,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
76,76,10-07-2020 11:12:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6024,1063200,408000,36498,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
77,77,10-07-2020 11:12:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35440,13600,1217,,,500.0,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
