,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Gldani,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
37,13-03-2020 03:48:51,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,8,нет,Тбилиси,3 гр,0.018,7773,2800,246,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
38,13-03-2020 03:48:51,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.017,7329,2640,232,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
39,13-03-2020 03:48:51,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0197,8513,3067,270,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
40,13-03-2020 03:48:51,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0493,23689,8534,751,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
41,13-03-2020 03:48:51,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0662,30117,10818,953,,360,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
42,13-03-2020 03:48:51,Tbilisi,8B31,bobbyz,5gr georgian indica (hight quality),,4,нет,Тбилиси,5 гр,0.0214,10290,3707,326,139,,True,,,,,,,,,5gr georgian indica (hight quality)
43,13-03-2020 03:48:51,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.03,12955,4667,411,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
44,13-03-2020 03:48:51,Tbilisi,5LZ,ExtraShop,5шт Ecstazy 280мг MDMA (Gray Duracell),True,3,нет,Тбилиси,5 гр,0.0252,11104,4001,352,150,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
45,13-03-2020 03:48:51,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1334,58260,20989,1847,787,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
46,13-03-2020 03:48:51,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0262,12585,4534,399,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
47,13-03-2020 03:48:51,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.01,4812,1734,153,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
48,13-03-2020 03:48:51,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0745,32868,11841,1042,444,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
49,13-03-2020 03:48:51,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0619,27020,9735,857,365,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
50,13-03-2020 03:48:51,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0453,19765,7121,627,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
51,13-03-2020 03:48:51,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0153,7329,2640,232,99,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
52,13-03-2020 03:48:51,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0651,29611,10668,939,400,,,,,,,,,,,gashish evro 10g
53,13-03-2020 03:48:51,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1438,62775,22616,1991,848,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
54,13-03-2020 03:48:51,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0462,19987,7201,634,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
55,13-03-2020 03:48:51,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.35g,True,нет,3,Тбилиси,0.35 гр,0.039,17026,6134,540,230,,,,,,,,,,,Methadone HQ in city 0.35g
56,13-03-2020 03:48:51,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.0627,27390,9868,869,370,,,,,,,,,,,Methadone HQ in city 0.75g
57,13-03-2020 03:48:51,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1187,51819,18669,1643,700,,,,,,,,,,,Methadone HQ in city 1.4g
58,13-03-2020 03:48:51,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0602,26576,9575,843,359,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
