,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
40,40,28-04-2020 21:57:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0626,36465,13325,1204,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,28-04-2020 21:57:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0242,14094,5150,466,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
42,42,28-04-2020 21:57:59,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,3,Тбилиси,10 гр,0.0139,8203,2998,271,110.0,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
43,43,28-04-2020 21:57:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1141,67114,24525,2217,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
44,44,28-04-2020 21:57:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0887,52199,19075,1724,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,28-04-2020 21:57:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0406,23863,8720,788,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,28-04-2020 21:57:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1014,59656,21800,1970,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,47,28-04-2020 21:57:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2821,165920,60631,5480,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
48,48,28-04-2020 21:57:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1996,116256,42483,3840,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,49,28-04-2020 21:57:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0472,27517,10055,909,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,28-04-2020 21:57:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0383,22297,8148,736,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
