,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Nadzaladevi,Didube,Gldani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
21,21,29-05-2020 04:36:46,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0183,12443,4744,422,175.0,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
22,22,29-05-2020 04:36:46,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,2,нет,Тбилиси,5 гр,0.0261,17775,6778,603,250.0,,,,,,,,,,,,,MARIXYANA - INDICA - 5 G.
23,23,29-05-2020 04:36:46,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0206,14149,5395,480,199.0,,,,,True,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
24,24,29-05-2020 04:36:46,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,11,нет,Тбилиси,10 гр,0.0103,7110,2711,241,100.0,,,,,,,,,,,,,10 gr marihuana list'ja top gibrid
25,25,29-05-2020 04:36:46,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0451,31996,12200,1086,450.0,,,,,,,,,,,,,Gashish Evro 10gr
26,26,29-05-2020 04:36:46,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,6,нет,Тбилиси,20 гр,0.0034,2560,976,87,36.0,,,,,,,,,,,,,GABAGAMA 20 SHTUK
27,27,29-05-2020 04:36:46,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.077,55246,21064,1875,777.0,,,,,,,,,,,,,Gashish Evro 20gr
28,28,29-05-2020 04:36:46,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0075,5688,2169,193,80.0,,,,,,,,,,,,,GABAGAMA 50 SHTUK
29,29,29-05-2020 04:36:46,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1879,142202,54220,4827,2000.0,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,29-05-2020 04:36:46,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0174,13154,5015,447,185.0,,,,,,,,,,,,,GABAGAMA 150 shtuk
31,31,29-05-2020 04:36:46,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0219,14931,5693,507,210.0,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
32,32,29-05-2020 04:36:46,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0385,26236,10004,891,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,29-05-2020 04:37:27,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0385,26236,10004,891,369.0,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
34,34,29-05-2020 04:37:27,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0603,41168,15697,1398,579.0,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,35,29-05-2020 04:37:27,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0413,28440,10844,965,400.0,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,29-05-2020 04:37:27,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0144,9954,3795,338,140.0,True,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
37,37,29-05-2020 04:37:27,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0722,49771,18977,1690,700.0,,,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
38,38,29-05-2020 04:37:27,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0568,39106,14911,1328,550.0,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
39,39,29-05-2020 04:37:27,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0242,16709,6371,567,235.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
40,40,29-05-2020 04:37:27,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0248,17064,6506,579,240.0,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
41,41,29-05-2020 04:37:27,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0237,16353,6235,555,230.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
42,42,29-05-2020 04:37:27,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0164,11305,4310,384,159.0,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,43,29-05-2020 04:37:27,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0248,17064,6506,579,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,29-05-2020 04:37:27,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0248,17064,6506,579,240.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,29-05-2020 04:37:27,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0237,16353,6235,555,230.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,29-05-2020 04:37:27,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0205,15571,5937,529,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,29-05-2020 04:37:27,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0242,16709,6371,567,235.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
48,48,29-05-2020 04:37:27,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0258,17775,6778,603,250.0,,True,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
49,49,29-05-2020 04:37:27,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.251,190000,87429,6453,,,,,,,,,,,,,,reagent 25i nbome. 5gr
50,50,29-05-2020 04:37:27,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2814,213304,81330,7241,3000.0,,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,51,29-05-2020 04:37:27,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0999,68186,25998,2315,959.0,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
52,52,29-05-2020 04:37:27,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0198,13509,5151,459,190.0,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,53,29-05-2020 04:37:27,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.051,34768,13257,1180,489.0,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
54,54,29-05-2020 04:37:27,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0929,63991,24399,2172,900.0,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,55,29-05-2020 04:37:27,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0413,28440,10844,965,400.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,56,29-05-2020 04:37:27,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0722,49771,18977,1690,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,29-05-2020 04:37:27,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0433,29863,11386,1014,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,29-05-2020 04:37:27,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0825,56881,21688,1931,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,29-05-2020 04:37:27,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2296,158200,60320,5370,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,29-05-2020 04:37:27,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1625,110847,42264,3763,1559.0,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,29-05-2020 04:37:27,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0385,26236,10004,891,369.0,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,29-05-2020 04:37:27,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,10,Тбилиси,20 гр,0.0412,28369,10817,963,399.0,,,,,,,,,,,,,20 gr georgian weed. Package on magnet
63,63,29-05-2020 04:37:27,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5211,355506,135550,12069,5000.0,,,,,,,,,,,,,METADON - 20 G.
64,64,29-05-2020 04:37:27,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0624,42590,16239,1446,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,29-05-2020 04:37:27,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.134,92360,35216,3135,1299.0,,,,,,,,,,,,,50 gr georgian weed. Package on magnet
66,66,29-05-2020 04:37:27,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2579,177682,67748,6032,2499.0,,,,,,,,,,,,,100 gr georgian weed. Package on magnet
67,67,29-05-2020 04:37:27,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2476,170643,65064,5793,2400.0,,,,,,,,,,,,,100 gr marijuana buds
68,68,29-05-2020 04:38:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2064,142202,54220,4827,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,69,29-05-2020 04:38:07,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.258,177753,67775,6034,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,29-05-2020 04:38:07,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6088,419497,159949,14241,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
71,71,29-05-2020 04:38:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4746,327066,124706,11103,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,29-05-2020 04:38:07,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7739,533259,203325,18103,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,29-05-2020 04:38:07,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8771,604360,230435,20516,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,29-05-2020 04:38:07,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,14220,5422,483,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,29-05-2020 04:38:07,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0206,14220,5422,483,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,29-05-2020 04:38:07,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0258,17775,6778,603,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,29-05-2020 04:38:07,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0206,14220,5422,483,200.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
78,78,29-05-2020 04:38:07,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5618,1066518,406650,36206,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,29-05-2020 04:39:18,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0029,1991,759,68,28.0,,,,,,,,,True,,,,Batumi n-booom 2 shtuki
80,80,29-05-2020 04:39:18,Batumi,54915c4374,Марки н-боооом!!! 10 шт.,,1,нет,Батуми,10 гр,0.0103,7110,2711,241,100.0,,,,,,,,,True,,,,Marki n-boooom!!! 10 sht.
81,81,29-05-2020 04:39:18,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.22699999999999998,156423,59642,5310,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
82,82,29-05-2020 04:39:18,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0088,6044,2304,205,85.0,,,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
83,83,29-05-2020 04:39:18,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0425,29863,11386,1014,420.0,,,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
84,84,29-05-2020 04:39:18,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.16399999999999998,112990,51992,3838,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,29-05-2020 04:39:18,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2596,178900,82321,6076,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,29-05-2020 04:39:18,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7110,2711,241,100.0,,,,,,,,,,True,,,kur'er v Batumi
87,87,29-05-2020 04:39:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17775,6778,603,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,29-05-2020 04:39:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17775,6778,603,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,29-05-2020 04:39:18,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0284,19565,7475,664,,,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
90,90,29-05-2020 04:39:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5618,1066518,406650,36206,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,29-05-2020 04:39:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0516,35551,13555,1207,500.0,,,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,29-05-2020 04:40:28,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0495,34484,13148,1171,485.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,29-05-2020 04:40:28,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,3 гр,0.0334,23463,8946,797,330.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! BTC SALE 5%!!!!
94,94,29-05-2020 04:40:28,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0284,19565,7475,664,,,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
