,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Didube,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Vake,Батуми,Центр,desc_en
22,22,07-08-2020 15:28:07,Tbilisi,8ddca45a78,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,5,нет,Тбилиси,1 гр,0.0044,3829,1449,127,52.0,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
23,23,07-08-2020 15:28:07,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0051,4418,1672,146,60.0,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
24,24,07-08-2020 15:28:07,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,21,нет,Тбилиси,1 гр,0.0041,3608,1365,119,49.0,,,,,,,,,,,,1gr HYBRID o.g
25,25,07-08-2020 15:28:07,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,3,нет,Тбилиси,1 гр,0.0049,4197,1588,139,57.0,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
26,26,07-08-2020 15:28:07,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0041,3608,1365,119,49.0,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
27,27,07-08-2020 15:28:07,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,14,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
28,28,07-08-2020 15:28:07,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,9,нет,Тбилиси,1 гр,0.0048,4197,1588,139,57.0,True,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
29,29,07-08-2020 15:28:07,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",,2,нет,Тбилиси,1 гр,0.0042,4050,1532,134,55.0,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
30,30,07-08-2020 15:28:07,Tbilisi,ba95863126,Hybrid Ana-sha 1G.,True,2,нет,Тбилиси,1 гр,0.0031,3019,1142,100,41.0,,,,,,,,,,,,Hybrid Ana-sha 1G.
31,31,07-08-2020 15:28:07,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3976,1504,132,54.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
32,32,07-08-2020 15:28:07,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,5,нет,Тбилиси,1 гр,0.0049,4271,1616,141,58.0,,,,True,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
33,33,07-08-2020 15:28:07,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0046,4050,1532,134,55.0,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
34,34,07-08-2020 15:28:07,Tbilisi,7918572a66,TYson Budds 1G Скидка 5%,True,6,нет,Тбилиси,1 гр,0.0036,3240,1226,107,44.0,,,,,,,,,,,,TYson Budds 1G Skidka 5%
35,35,07-08-2020 15:28:07,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0042,3682,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
36,36,07-08-2020 15:29:17,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0042,4050,1532,134,55.0,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
37,37,07-08-2020 15:29:17,Tbilisi,22610cd7c4,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,9,нет,Тбилиси,1 гр,0.003,2651,1003,88,36.0,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
38,38,07-08-2020 15:29:17,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,2 гр,0.0084,7290,2758,241,99.0,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
39,39,07-08-2020 15:29:17,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0092,8027,3037,266,109.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
40,40,07-08-2020 15:29:17,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0101,8837,3343,293,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
41,41,07-08-2020 15:29:17,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,1,нет,Тбилиси,2 гр,0.0084,7364,2786,244,100.0,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
42,42,07-08-2020 15:29:17,Tbilisi,21de5577be,2.0 gr. Magic Kush IMPORT (INDICA),,1,нет,Тбилиси,2 гр,0.0084,7290,2758,241,99.0,True,,,,,,,,,,,2.0 gr. Magic Kush IMPORT (INDICA)
43,43,07-08-2020 15:29:17,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0074,6480,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
44,44,07-08-2020 15:29:17,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,2 гр,0.0084,7290,2758,241,99.0,,,,,True,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
45,45,07-08-2020 15:29:17,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0084,8100,3065,268,110.0,,,,,True,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
46,46,07-08-2020 15:29:17,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,3,нет,Тбилиси,2 гр,0.0084,7290,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
47,47,07-08-2020 15:29:17,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0084,7290,2758,241,99.0,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
48,48,07-08-2020 15:29:17,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,6,нет,Тбилиси,2 гр,0.0061,5891,2229,195,80.0,,,,,,,,,,,,TYson Budds 2G Skidka 5%
49,49,07-08-2020 15:29:17,Tbilisi,64284550d9,3G ---> Big Devil (BTC - Sale),,1,нет,Тбилиси,3 гр,0.0118,10309,3900,341,140.0,True,,,,,,,,,,,3G ---> Big Devil (BTC - Sale)
50,50,07-08-2020 15:29:17,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,4,нет,Тбилиси,3 гр,0.0069,6627,2507,219,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
51,51,07-08-2020 15:29:17,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0184,17673,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
52,52,07-08-2020 15:29:17,Tbilisi,7bd1a5deba,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.016,15390,5823,509,209.0,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
53,53,07-08-2020 15:29:17,Tbilisi,fccfd69694,Мощные Кексы / Marijuana cupcakes (75g),True,2,нет,Тбилиси,75 гр,0.0021,1841,697,61,25.0,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
54,54,07-08-2020 15:29:17,Tbilisi,54915c4374,марки н-боом 3 шт.,True,нет,36,Тбилиси,3 гр,0.0041,3608,1365,119,49.0,,,,,,,,,,,,marki n-boom 3 sht.
55,55,07-08-2020 15:29:17,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0211,18409,6965,609,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
56,56,07-08-2020 15:29:17,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0228,19882,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
57,57,07-08-2020 15:29:17,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0232,20250,7662,670,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
58,58,07-08-2020 15:29:17,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0202,17673,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,59,07-08-2020 15:29:17,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0236,20619,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,60,07-08-2020 15:29:17,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0228,19882,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,61,07-08-2020 15:29:17,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0168,16127,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,62,07-08-2020 15:29:17,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0184,17673,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
63,63,07-08-2020 15:29:17,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0228,19882,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
64,64,07-08-2020 15:29:17,Tbilisi,f374062dcd,Очень мощный Сирец Иран 5гр,True,нет,3,Тбилиси,5 гр,0.08900000000000001,81001,30646,2681,1100.0,,,,,,,,,,,,Ochen' moschnyj Sirets Iran 5gr
65,65,07-08-2020 15:29:17,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1979,190000,87429,6333,,,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,07-08-2020 15:29:17,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2301,220913,83580,7313,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,07-08-2020 15:29:17,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,5 гр,0.0202,17434,6580,578,,,,,,,,,200.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
68,68,07-08-2020 15:29:17,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0464,40501,15323,1341,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
69,69,07-08-2020 15:29:17,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.059000000000000004,51546,19502,1706,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
70,70,07-08-2020 15:29:17,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0354,30928,11701,1024,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
71,71,07-08-2020 15:30:49,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0672,58910,22288,1950,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,07-08-2020 15:30:49,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1869,163844,61989,5424,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
73,73,07-08-2020 15:30:49,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0391,33997,12831,1127,,,,,,,,,390.0,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
74,74,07-08-2020 15:30:49,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0496,47864,18109,1584,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
75,75,07-08-2020 15:30:49,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7634,697378,263200,23124,,,,,,,,,8000.0,,,,Sirets moschnyj Iran 50gr
76,76,07-08-2020 15:30:49,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2016,176730,66864,5850,2400.0,,,,,,,,,,,,100 gr marijuana buds
77,77,07-08-2020 15:30:49,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0083,7290,2758,241,99.0,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
78,78,07-08-2020 15:30:49,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.21,184094,69650,6094,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
79,79,07-08-2020 15:30:49,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4956,434462,164374,14382,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
80,80,07-08-2020 15:30:49,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0205,18000,8283,600,,,,True,,,,,,,,,GABAGAMA 250 shtuk
81,81,07-08-2020 15:30:49,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,2,Тбилиси,500 гр,0.084,73638,27860,2438,1000.0,,,,True,,,True,,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
82,82,07-08-2020 15:30:49,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7141,625920,236810,20720,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,83,07-08-2020 15:30:49,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0153,14728,5572,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
84,84,07-08-2020 15:30:49,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.021,18409,6965,609,250.0,True,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
85,85,07-08-2020 15:30:49,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.021,18409,6965,609,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,07-08-2020 15:30:49,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0458,44183,16716,1463,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
87,87,07-08-2020 15:30:49,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0168,14728,5572,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,07-08-2020 15:30:49,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,1 гр,0.021,18409,6965,609,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
89,89,07-08-2020 15:30:49,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.042,36819,13930,1219,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
90,90,07-08-2020 15:30:49,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.042,36819,13930,1219,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
91,91,07-08-2020 15:30:49,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2716,1104564,417900,36564,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
92,92,07-08-2020 15:30:49,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.042,36819,13930,1219,500.0,,,,True,,True,,,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
93,93,07-08-2020 15:33:18,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,3,Батуми,0.3 гр,0.0256,22091,8358,731,300.0,,,,,,,,,,True,,METADON - 0.30 - SALE
94,94,07-08-2020 15:33:18,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0402,34782,13127,1153,,,,,,,,,399.0,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
95,95,07-08-2020 15:33:18,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0393,33997,12831,1127,,,,,,,,,390.0,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
96,96,07-08-2020 15:33:18,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18409,6965,609,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
97,97,07-08-2020 15:33:18,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18409,6965,609,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
98,98,07-08-2020 15:33:18,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14728,5572,488,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
99,99,07-08-2020 15:33:18,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2768,1104564,417900,36564,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
100,100,07-08-2020 15:33:18,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0422,36819,13930,1219,500.0,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
