,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
38,38,15-02-2020 22:42:09,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,,7,нет,Тбилиси,2 гр,0.0077,5076,1971,176,80.0,True,,,,,,,,,2G -- AK-47 -> Sativa
39,39,15-02-2020 22:42:09,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,8,нет,Тбилиси,2 гр,0.0078,5013,1947,174,79.0,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
40,40,15-02-2020 22:42:09,Tbilisi,7c395c455d,2gr bubble hash thc 25% гашиш вишего качество HQ,True,2,нет,Тбилиси,2 гр,0.0162,10470,4066,363,165.0,,,,,,,,,,2gr bubble hash thc 25% gashish vishego kachestvo HQ
41,41,15-02-2020 22:42:09,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0342,22526,8747,781,355.0,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
42,42,15-02-2020 22:42:09,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0098,6345,2464,220,100.0,True,,,,,,,,,KALI MIST 2G
43,43,15-02-2020 22:42:09,Tbilisi,8219f5e7b8,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0178,11422,4435,396,180.0,,,,,,,,,,Ketamine 2 g
44,44,15-02-2020 22:42:09,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,1,нет,Тбилиси,2 гр,0.0069,4442,1725,154,70.0,,,,,,,,,,"LSD - 250 ug, 2 pieces"
45,45,15-02-2020 22:42:09,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,3,нет,Тбилиси,2 гр,0.0188,12373,4805,429,195.0,,True,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
46,46,15-02-2020 22:42:09,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,11,нет,Тбилиси,2 гр,0.0197,13960,5421,484,220.0,,,,,,,,,,NZT-52 mind storm limited 2g muka
47,47,15-02-2020 22:42:09,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,4,нет,Тбилиси,2 гр,0.0343,22145,8599,767,349.0,,,True,,,,,,,Kokain KOLUMBIA 2g
48,48,15-02-2020 22:42:09,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,3,нет,Тбилиси,3 гр,0.0108,6916,2686,240,109.0,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
49,49,15-02-2020 22:42:09,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0241,15546,6037,539,245.0,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
50,50,15-02-2020 22:42:09,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0104,6663,2587,231,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
51,51,15-02-2020 22:42:09,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0277,19671,7638,682,310.0,,,,,,,,,,NZT-52 mind storm limited 3g muka
52,52,15-02-2020 22:42:09,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0098,6282,2439,218,99.0,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
53,53,15-02-2020 22:42:09,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,5,нет,Тбилиси,5 гр,0.0158,10089,3918,350,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
54,54,15-02-2020 22:42:09,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0154,9835,3819,341,155.0,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
55,55,15-02-2020 22:42:09,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0174,11104,4312,385,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
56,56,15-02-2020 22:42:09,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0152,10787,4189,374,170.0,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
57,57,15-02-2020 22:42:09,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0158,10089,3918,350,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
58,58,15-02-2020 22:42:09,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0153,9772,3795,339,154.0,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
59,59,15-02-2020 22:42:09,Tbilisi,c225d2f67d,гашиш евро 5г,True,2,нет,Тбилиси,5 гр,0.0198,13325,5174,462,210.0,,,,,,,,,,gashish evro 5g
60,60,15-02-2020 22:42:09,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0377,25381,9856,879,400.0,,,,,,,,,,gashish evro 10g
61,61,15-02-2020 22:42:09,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,18,нет,Тбилиси,10 гр,0.0089,6345,2464,220,100.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
62,62,15-02-2020 22:42:09,Tbilisi,84c8f0bee0,шишки 11гр. (наркуш феминиз),True,2,нет,Тбилиси,11 гр,0.0098,6345,2464,220,100.0,,,,,,,,,,shishki 11gr. (narkush feminiz)
63,63,15-02-2020 22:42:09,Tbilisi,436325081c,weed leaves 13gr +,True,2,нет,Тбилиси,13 гр,0.0052,3680,1429,128,58.0,,,,,,,,,,weed leaves 13gr +
64,64,15-02-2020 22:42:09,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0149,10597,4115,367,167.0,,,,,,,,,,georgian weed 15 gr salee !!!
65,65,15-02-2020 22:42:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0733,49303,19145,1708,777.0,,,,,,,,,,Gashish Evro 20gr
66,66,15-02-2020 22:42:09,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0225,14404,5593,499,227.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
67,67,15-02-2020 22:43:06,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0597,38072,14784,1319,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
68,68,15-02-2020 22:43:06,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0394,25381,9856,879,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
69,69,15-02-2020 22:43:06,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0236,15229,5914,528,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
70,70,15-02-2020 22:43:06,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
71,71,15-02-2020 22:43:06,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1343,95180,36960,3298,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
72,72,15-02-2020 22:43:06,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
73,73,15-02-2020 22:43:06,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
74,74,15-02-2020 22:43:06,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0196,12627,4903,438,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
75,75,15-02-2020 22:43:06,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0246,15863,6160,550,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
76,76,15-02-2020 22:43:06,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0196,13896,5396,482,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
77,77,15-02-2020 22:43:06,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0187,13262,5150,460,209.0,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
78,78,15-02-2020 22:43:06,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0187,13262,5150,460,209.0,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
