,Unnamed: 0,time_stamp,region,sell_code,description,Didube,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Nadzaladevi,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
60,60,27-04-2020 13:11:46,Batumi,54915c4374,Батуми н-бооом 10 штук,,1,нет,Батуми,10 гр,0.0124,8025,2960,265,,,,,100.0,,,True,,,Batumi n-booom 10 shtuk
61,61,27-04-2020 13:11:46,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2795,164376,60170,5419,2200.0,,,,,,,True,,,[100g] SPAIN HASH
62,62,27-04-2020 13:11:46,Batumi,f8a875c191,METADON - 20 G.,,нет,1,Батуми,20 гр,0.6416,373582,136750,12315,5000.0,,,,,,,True,,,METADON - 20 G.
63,63,27-04-2020 13:11:46,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0116,7472,2735,246,100.0,,,,,,,True,,,kur'er v Batumi
64,64,27-04-2020 13:11:46,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0289,18679,6838,616,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
65,65,27-04-2020 13:11:46,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0289,18679,6838,616,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
66,66,27-04-2020 13:11:46,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.9232,1120745,410250,36945,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
67,67,27-04-2020 13:11:46,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0635,37358,13675,1232,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
68,68,27-04-2020 13:12:56,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0238,14121,5169,466,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
69,69,27-04-2020 13:12:56,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0615,36163,13237,1192,484.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
70,70,27-04-2020 13:12:56,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0423,24881,9108,820,333.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
71,71,27-04-2020 13:12:56,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0254,14943,5470,493,200.0,,,,,,,,,True,Rabota na marki (kur'er)
