,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
44,24-02-2020 15:46:24,Tbilisi,WLV7F,AGsgrowgro,metadon sirop 4ml,True,4,нет,Тбилиси,4 гр,0.0066,4308,1642,148,67,,,,,,,,,,metadon sirop 4ml
45,24-02-2020 15:46:24,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,5 гр,0.0169,12217,4657,420,190,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
46,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0168,11454,4377,394,,,,165,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
47,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,5 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,5 гр,0.0168,11454,4377,394,,,,165,,,,,,,5 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
48,24-02-2020 15:46:24,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0173,11253,4289,387,175,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
49,24-02-2020 15:46:24,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 5 pieces",True,3,нет,Тбилиси,5 гр,0.0148,9645,3677,332,150,,,,,,,,,,"LSD - 250 ug, 5 pieces"
50,24-02-2020 15:46:24,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0158,10224,3897,352,159,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
51,24-02-2020 15:46:24,Tbilisi,LYHBG,Playboy,NEW !!! 5G White Widow !!! NEW,True,3,нет,Тбилиси,5 гр,0.0153,9902,3775,341,154,,,,,,,,,,NEW !!! 5G White Widow !!! NEW
52,24-02-2020 15:46:24,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0058,4180,1593,144,65,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
53,24-02-2020 15:46:24,Tbilisi,SM7B,SWEETWEED,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0198,13503,5147,465,210,,,,,,,,,,gashish evro 5g
54,24-02-2020 15:46:24,Tbilisi,0WE,Khachapuri,🍃 5гр ГАШИШ 🍃,True,1,нет,Тбилиси,5 гр,0.0254,17361,6618,597,270,,,,,,,,,,🍃 5gr GAShISh 🍃
