,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,10,25-03-2020 15:53:38,Tbilisi,4a91350669,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,2 гр,0.0126,7001,2543,234,90.0,,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
11,11,25-03-2020 15:53:38,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0112,6223,2260,208,80.0,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
12,12,25-03-2020 15:53:38,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.011000000000000001,6146,2232,205,79.0,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
13,13,25-03-2020 15:53:38,Tbilisi,cb721d4bca,2 gr Шишки “OG KUSH VHQ”,True,2,нет,Тбилиси,2 гр,0.011000000000000001,6146,2232,205,79.0,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
14,14,25-03-2020 15:53:38,Tbilisi,4659482266,2g super Skunk top class buds. Indica,,1,нет,Тбилиси,2 гр,0.0111,6146,2232,205,79.0,,,True,,,,,,,2g super Skunk top class buds. Indica
15,15,25-03-2020 15:53:38,Tbilisi,ae784bef73,Gorilla Glue! 2G ! NEW ! BUDS !,True,2,нет,Тбилиси,2 гр,0.0105,5834,2119,195,75.0,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
16,16,25-03-2020 15:53:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбоооом!!! 2 штуки,True,4,нет,Тбилиси,2 гр,0.0046,2801,1017,94,36.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 2 shtuki
17,17,25-03-2020 15:53:38,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0148,8168,2966,273,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,25-03-2020 15:53:38,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0049,2723,989,91,35.0,,,True,,,,,,,Marijuana Super Skunk leaves 3g plan
19,19,25-03-2020 15:53:38,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 3 штуки!!!,True,2,нет,Тбилиси,3 гр,0.0061,3734,1356,125,48.0,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 3 shtuki!!!
20,20,25-03-2020 15:53:38,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0224,12369,4492,413,159.0,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
21,21,25-03-2020 15:53:38,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,5 гр,0.0391,22720,8235,761,,,270.0,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
22,22,25-03-2020 15:53:38,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0536,31117,11300,1040,400.0,,,,,,,,,,5g MDMA (IMPORTED)
23,23,25-03-2020 15:53:38,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,8,нет,Тбилиси,5 гр,0.0247,13614,4944,455,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
24,24,25-03-2020 15:53:38,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0224,12369,4492,413,159.0,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
25,25,25-03-2020 15:53:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.006999999999999999,4279,1554,143,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
26,26,25-03-2020 15:53:38,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,,4,нет,Тбилиси,10 гр,0.0334,18592,6752,621,239.0,True,,,,,,,,,10 gr marijuana buds. -indica-
27,27,25-03-2020 15:53:38,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,2,нет,Тбилиси,10 гр,0.0557,31039,11272,1037,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
28,28,25-03-2020 15:53:38,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.051,28394,10311,949,365.0,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
29,29,25-03-2020 15:53:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0108,6612,2401,221,85.0,,,True,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
30,30,25-03-2020 15:53:38,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0536,31117,11300,1040,400.0,,,,,,,,,,gashish evro 10g
31,31,25-03-2020 15:53:38,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.254,155586,56500,5200,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
32,32,25-03-2020 15:53:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.0508,31117,11300,1040,400.0,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
33,33,25-03-2020 15:54:28,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G,True,нет,5,Тбилиси,0.35 гр,0.0424,23655,8475,780,300.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
34,34,25-03-2020 15:54:28,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),True,1,3,Тбилиси,1.1 гр,0.0989,55195,19775,1820,700.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
35,35,25-03-2020 15:54:28,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0283,15770,5650,520,200.0,,,,,,,,,,✨✨2gram. MDMA✨✨
36,36,25-03-2020 15:54:28,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0521,29095,10424,959,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,37,25-03-2020 15:54:28,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0834,46521,16668,1534,590.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,38,25-03-2020 15:54:28,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.055999999999999994,31540,11300,1040,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,39,25-03-2020 15:54:28,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
40,40,25-03-2020 15:54:28,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.077,43367,15538,1430,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,41,25-03-2020 15:54:28,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
42,42,25-03-2020 15:54:28,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,9,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
43,43,25-03-2020 15:54:28,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
44,44,25-03-2020 15:54:28,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,45,25-03-2020 15:54:28,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,46,25-03-2020 15:54:28,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0279,17268,6187,569,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,47,25-03-2020 15:54:28,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0424,23655,8475,780,300.0,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
48,48,25-03-2020 15:54:28,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0278,15691,5622,517,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,49,25-03-2020 15:54:28,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0254,15770,5650,520,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
50,50,25-03-2020 15:54:28,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3065,190000,87429,6269,,,,,,,,,,,reagent 25i nbome. 5gr
51,51,25-03-2020 15:54:28,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3816,236548,84750,7800,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
52,52,25-03-2020 15:54:28,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1228,68520,24549,2259,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
53,53,25-03-2020 15:54:28,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,6,Тбилиси,5 гр,0.0269,14981,5368,494,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
54,54,25-03-2020 15:54:28,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0691,38557,13814,1271,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
55,55,25-03-2020 15:54:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,8,Тбилиси,5 гр,0.0267,14903,5339,491,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
56,56,25-03-2020 15:54:28,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1259,70964,25425,2340,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,57,25-03-2020 15:54:28,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0979,55195,19775,1820,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
58,58,25-03-2020 15:54:28,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0448,25232,9040,832,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
59,59,25-03-2020 15:54:28,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1119,63079,22600,2080,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
60,60,25-03-2020 15:54:28,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3113,175440,62856,5785,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,25-03-2020 15:54:28,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2048,114253,40934,3767,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,25-03-2020 15:54:28,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0521,29095,10424,959,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,25-03-2020 15:54:28,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0423,23576,8447,777,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
64,64,25-03-2020 15:54:28,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0846,47231,16922,1557,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,25-03-2020 15:55:08,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0422,23260,8447,777,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,66,25-03-2020 15:55:08,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0845,46598,16922,1557,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
67,67,25-03-2020 15:55:08,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1524,93351,33900,3120,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
68,68,25-03-2020 15:55:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2793,155586,56500,5200,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,69,25-03-2020 15:55:08,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2821,155586,56500,5200,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
70,70,25-03-2020 15:55:08,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3492,194482,70625,6500,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,25-03-2020 15:55:08,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2116,116689,42375,3900,1500.0,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
72,72,25-03-2020 15:55:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6425,357847,129950,11960,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,25-03-2020 15:55:08,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0475,583446,211875,19500,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,25-03-2020 15:55:08,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1872,661239,240125,22100,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,25-03-2020 15:55:08,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0254,15559,5650,520,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,25-03-2020 15:55:08,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0279,15559,5650,520,200.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
77,77,25-03-2020 15:55:08,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.019,11669,4238,390,150.0,,,,,,,,,,Rabota na marki (kur'er)
78,78,25-03-2020 15:55:08,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0279,15559,5650,520,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
79,79,25-03-2020 15:55:08,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0349,19448,7063,650,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
80,80,25-03-2020 15:55:08,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1141,1166892,423750,39000,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
81,81,25-03-2020 15:56:48,Batumi,99accec7c7,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,8,нет,Батуми,0.25 гр,0.0278,15481,5622,517,199.0,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
82,82,25-03-2020 15:56:48,Batumi,99accec7c7,METHADONE 0.25 THE BEST QUALITY VHQ,,5,нет,Батуми,0.25 гр,0.027999999999999997,15559,5650,520,200.0,,,,,,,True,,,METHADONE 0.25 THE BEST QUALITY VHQ
83,83,25-03-2020 15:56:48,Batumi,99accec7c7,COCAINE 1 gr THE BEST COCO IN GEORGIA,,4,нет,Батуми,1 гр,0.0381,23338,8475,780,300.0,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
84,84,25-03-2020 15:56:48,Batumi,c72111ac1a,NZT-52 limited 1 г мука,,15,нет,Батуми,1 гр,0.0242,14781,5368,494,190.0,,,,,,,,True,,NZT-52 limited 1 g muka
85,85,25-03-2020 15:56:48,Batumi,c72111ac1a,NZT-52 limited 2г мука,,5,нет,Батуми,2 гр,0.0432,26450,9605,884,340.0,,,,,,,,True,,NZT-52 limited 2g muka
86,86,25-03-2020 15:56:48,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3077,171144,62150,5720,2200.0,,,,,,,,True,,[100g] SPAIN HASH
87,87,25-03-2020 15:56:48,Batumi,f8a875c191,METADON - BATUMI - 0.27 G,,3,5,Батуми,0.27 гр,0.0353,19448,7063,650,250.0,,,,,,,True,,,METADON - BATUMI - 0.27 G
88,88,25-03-2020 15:56:48,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0254,15559,5650,520,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
89,89,25-03-2020 15:56:48,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2825,155586,56500,5200,2000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
90,90,25-03-2020 15:56:48,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2119,116689,42375,3900,1500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,91,25-03-2020 15:56:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0127,7779,2825,260,100.0,,,,,,,,True,,kur'er v Batumi
92,92,25-03-2020 15:56:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0318,19448,7063,650,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
93,93,25-03-2020 15:56:48,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,10 гр,0.0191,11669,4238,390,150.0,,,,,,,,True,,Rabota na marki (kur'er)
94,94,25-03-2020 15:56:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0318,19448,7063,650,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
95,95,25-03-2020 15:56:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1168,1166892,423750,39000,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
96,96,25-03-2020 15:56:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0699,38896,14125,1300,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
97,97,25-03-2020 15:58:10,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1 гр,0.027000000000000003,15170,5509,507,195.0,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
98,98,25-03-2020 15:58:10,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0215,12058,4379,403,155.0,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
99,99,25-03-2020 15:58:10,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,11,нет,Кутаиси,2 гр,0.0519,29172,10594,975,375.0,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
100,100,25-03-2020 15:58:10,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0201,11280,4096,377,145.0,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
101,101,25-03-2020 15:58:10,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0408,22949,8334,767,295.0,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
102,102,25-03-2020 15:58:10,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,10 гр,0.0191,11669,4238,390,150.0,,,,,,,,,True,Rabota na marki (kur'er)
