,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Zahesi,Дигоми,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
50,01-07-2020 23:20:31,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0572,38743,14828,1327,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0281,19019,7279,651,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0291,19724,7549,675,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
53,01-07-2020 23:20:31,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0286,19371,7414,663,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
54,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16906,6470,579,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
55,01-07-2020 23:20:31,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0291,19724,7549,675,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
56,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0281,19019,7279,651,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
57,01-07-2020 23:20:31,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0207,15427,5904,528,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
58,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,5,Тбилиси,5 гр,0.0182,12327,4718,422,175,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
59,01-07-2020 23:20:31,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0281,19019,7279,651,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,01-07-2020 23:20:31,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1559,105662,40440,3618,1500,,,,,,,,,,,Gerojn (sirets) 5 gr
