,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
36,06-02-2020 12:09:57,Tbilisi,Z9UT,Rainbow,Hybrid Marijuana High Quality 2G,True,1,нет,Тбилиси,2 гр,0.0082,5054,1988,172,80,,,,,,,,,,Hybrid Marijuana High Quality 2G
37,06-02-2020 12:09:57,Tbilisi,5JG6,BenderMan,Ketamine 2 g,True,5,нет,Тбилиси,2 гр,0.0186,11371,4473,388,180,,,,,,,,,,Ketamine 2 g
38,06-02-2020 12:09:57,Tbilisi,5JG6,BenderMan,"LSD - 250 ug, 2 pieces",True,3,нет,Тбилиси,2 гр,0.0072,4422,1740,151,70,,,,,,,,,,"LSD - 250 ug, 2 pieces"
39,06-02-2020 12:09:57,Tbilisi,72B,CHINATOWN,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0223,15162,5964,517,240,,,,,,,,,,NZT-52 mind storm limited 2g muka
40,06-02-2020 12:09:57,Tbilisi,V4T,COCAcoLA,Гашиш gashish 2 грамма лучшая цена 10% при покупки биткойном!,True,1,нет,Тбилиси,2 гр,0.0109,6886,2709,235,109,,,,,,,,,,Gashish gashish 2 gramma luchshaja tsena 10% pri pokupki bitkojnom!
41,06-02-2020 12:09:57,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,6,нет,Тбилиси,2 гр,0.0372,23943,9418,816,379,,,,,,,,,,Kokain HQ 2g.
42,06-02-2020 12:09:57,Tbilisi,NLKH,STARS,C O C A i N E 2 g +0.1 g падарка.,True,5,нет,Тбилиси,2.1 гр,0.0343,21163,8325,722,335,,,,,,,,,,C O C A i N E 2 g +0.1 g padarka.
43,06-02-2020 12:09:57,Tbilisi,0WE,Khachapuri,3 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,3 гр,0.0103,6974,2733,238,,,100,,,,,,,,3 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
44,06-02-2020 12:09:57,Tbilisi,LYHBG,Playboy,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0102,6254,2460,213,99,,,,,,,,,,3LSD !!!NEW!!! 3LSD ALBERT HOFFMAN 200ug
45,06-02-2020 12:09:57,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 280mg,True,4,нет,Тбилиси,3 гр,0.0109,6633,2609,226,105,,,,,,,,,,3x Extasy Duracell 280mg
