,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Дигоми,$,Gldani,Vazisubani,Saburtalo,Vake,Didube,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
33,33,19-06-2020 02:33:27,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0287,19493,7532,667,,,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
34,34,19-06-2020 02:34:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0204,15246,5891,522,,,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
35,35,19-06-2020 02:34:03,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0277,18797,7263,643,,,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,19-06-2020 02:34:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2545,190000,87429,6513,,,,,,,,,,,,,,reagent 25i nbome. 5gr
37,37,19-06-2020 02:34:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2798,208854,80700,7145,,,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,19-06-2020 02:34:03,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0994,66764,25797,2284,,,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,19-06-2020 02:34:03,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0197,13227,5111,453,,,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,19-06-2020 02:34:03,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,9,Тбилиси,5 гр,0.0507,34043,13154,1165,,,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,19-06-2020 02:34:03,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0923,62656,24210,2144,,,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,19-06-2020 02:34:04,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0564,38290,14795,1310,,,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
43,43,19-06-2020 02:34:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0718,48733,18830,1667,,,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,44,19-06-2020 02:34:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0431,29240,11298,1000,,,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
45,45,19-06-2020 02:34:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0821,55694,21520,1905,,,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,46,19-06-2020 02:34:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2283,154900,59853,5299,,,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
47,47,19-06-2020 02:34:04,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1615,108534,41937,3713,,,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,48,19-06-2020 02:34:04,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0818,54929,21224,1879,,,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
49,49,19-06-2020 02:34:04,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.0382,25689,9926,879,,,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,19-06-2020 02:34:04,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0453,30534,11798,1044,390.0,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,19-06-2020 02:34:04,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1399,104427,40350,3573,,,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
52,52,19-06-2020 02:34:04,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0621,41701,16113,1427,,,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,19-06-2020 02:34:04,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1333,90434,34943,3094,,,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
54,54,19-06-2020 02:34:04,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2564,173975,67223,5952,,,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
55,55,19-06-2020 02:34:04,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2462,167083,64560,5716,,,2400.0,,,,,,,,,,,100 gr marijuana buds
56,56,19-06-2020 02:34:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2052,139236,53800,4763,,,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,19-06-2020 02:34:04,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2565,174045,67250,5954,,,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,19-06-2020 02:34:04,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6053,410746,158710,14052,,,5900.0,,,,,,,,,,,180 gr marihuana persoalno
59,59,19-06-2020 02:34:04,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.44,295877,114325,10122,,,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
60,60,19-06-2020 02:34:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4719,320243,123740,10956,,,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
