,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Дигоми,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
41,41,21-03-2020 16:35:03,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,1,Тбилиси,5 гр,0.0288,15531,5592,509,199.0,,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
42,42,21-03-2020 16:35:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.021,11316,4075,371,145.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,21-03-2020 16:35:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0288,17092,6154,560,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,21-03-2020 16:35:03,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0439,23413,8430,768,300.0,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
45,45,21-03-2020 16:35:03,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0217,11707,4215,384,150.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,21-03-2020 16:35:03,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,2,Тбилиси,5 гр,0.0362,19511,7025,640,250.0,,,,,,,True,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
47,47,21-03-2020 16:35:03,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0263,15609,5620,512,200.0,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
48,48,21-03-2020 16:35:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3205,190000,87429,6224,,,,,,,,,,,,,reagent 25i nbome. 5gr
49,49,21-03-2020 16:35:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.395,234133,84300,7677,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
50,50,21-03-2020 16:35:03,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1256,67040,24138,2198,859.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
