,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Nadzaladevi,Vake,Gldani,Didube,Old Tbilisi (Старый город),€,Авлобари,Центр,Батуми,Кутаиси,desc_en
32,32,03-04-2020 18:48:38,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,,3,нет,Тбилиси,5 гр,0.0249,13603,4839,453,175.0,True,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
33,33,03-04-2020 18:48:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,2,нет,Тбилиси,5 гр,0.006999999999999999,4275,1521,142,55.0,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,03-04-2020 18:49:16,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",True,1,нет,Тбилиси,10 гр,0.0562,31015,11032,1033,399.0,,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,35,03-04-2020 18:49:16,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0514,28372,10092,945,365.0,,,,,True,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,36,03-04-2020 18:49:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0376,20755,7383,691,267.0,True,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,37,03-04-2020 18:49:16,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,3,3,Тбилиси,10 гр,0.0141,8574,2986,283,,True,,,,,True,100.0,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
38,38,03-04-2020 18:49:16,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.054000000000000006,31093,11060,1036,400.0,True,,,,,,,,,,,gashish evro 10g
39,39,03-04-2020 18:49:16,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1049,60398,21484,2012,777.0,True,,,,,,,,,,,Gashish Evro 20gr
40,40,03-04-2020 18:49:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2559,155465,55300,5179,2000.0,True,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
41,41,03-04-2020 18:49:16,Tbilisi,f8a875c191,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0355,19433,6913,647,250.0,True,,,,,,,,,,,METADON - 0.25 G.
42,42,03-04-2020 18:49:16,Tbilisi,54915c4374,MDMA 1 гр,,нет,2,Тбилиси,1 гр,0.0141,8574,2986,283,,True,,,,,,100.0,,,,,MDMA 1 gr
43,43,03-04-2020 18:49:16,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1066,58299,20738,1942,750.0,True,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
44,44,03-04-2020 18:49:16,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0284,15547,5530,518,200.0,True,,,,,,,,,,,✨✨2gram. MDMA✨✨
45,45,03-04-2020 18:49:16,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0524,28683,10203,955,369.0,True,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
46,46,03-04-2020 18:49:16,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0839,45862,16314,1528,590.0,True,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
47,47,03-04-2020 18:49:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0563,31093,11060,1036,400.0,True,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,48,03-04-2020 18:49:16,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0225,12437,4424,414,160.0,True,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
49,49,03-04-2020 18:49:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0774,42753,15208,1424,550.0,True,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
50,50,03-04-2020 18:49:16,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0238,13137,4673,438,169.0,True,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,51,03-04-2020 18:49:16,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0239,13215,4701,440,170.0,True,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,52,03-04-2020 18:49:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.027999999999999997,15469,5502,515,199.0,True,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,53,03-04-2020 18:49:16,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.027999999999999997,15469,5502,515,199.0,True,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,54,03-04-2020 18:49:16,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.027999999999999997,17023,6055,567,219.0,True,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,55,03-04-2020 18:49:16,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0426,23320,8295,777,300.0,True,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
56,56,03-04-2020 18:49:16,Tbilisi,f8a875c191,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.2132,116599,41475,3884,1500.0,True,,,,,,,,,,,METADON - 5 G.
57,57,03-04-2020 18:49:16,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.027999999999999997,15469,5502,515,199.0,True,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,58,03-04-2020 18:49:16,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0256,15547,5530,518,200.0,True,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
59,59,03-04-2020 18:49:16,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3127,190000,87429,6308,,True,,,,,,,,,,,reagent 25i nbome. 5gr
60,60,03-04-2020 18:49:16,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3838,233198,82950,7768,3000.0,,,,,,True,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,61,03-04-2020 18:49:16,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1235,67550,24028,2250,869.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
62,62,03-04-2020 18:49:16,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.027000000000000003,14769,5254,492,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
63,63,03-04-2020 18:49:16,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0695,38011,13521,1266,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
64,64,03-04-2020 18:49:16,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0269,14691,5226,489,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
65,65,03-04-2020 18:49:16,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1267,69959,24885,2330,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,66,03-04-2020 18:49:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.045,24874,8848,829,320.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
67,67,03-04-2020 18:49:41,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1124,62186,22120,2071,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
68,68,03-04-2020 18:49:41,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3126,172955,61521,5761,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,03-04-2020 18:49:41,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2056,112634,40065,3752,1449.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
70,70,03-04-2020 18:49:41,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0524,28683,10203,955,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
