,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
10,10,27-05-2020 04:48:03,Tbilisi,0dec0e1c48,2gr HYBRID buds,,3,нет,Тбилиси,2 гр,0.0096,6260,2386,211,88.0,,,True,,,,,,,,2gr HYBRID buds
11,11,27-05-2020 04:48:03,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.0116,7470,2847,252,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
12,12,27-05-2020 04:48:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0117,7612,2901,257,107.0,,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
13,13,27-05-2020 04:48:03,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,,8,нет,Тбилиси,5 гр,0.0152,9889,3768,334,139.0,True,,,True,,,,,,,5 gr georgian weed. Package on magnet
14,14,27-05-2020 04:48:03,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0193,12450,4744,420,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
15,15,27-05-2020 04:48:03,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,8,нет,Тбилиси,10 гр,0.024,15580,5937,526,219.0,True,,,True,,,,,,,10 gr georgian weed. Package on magnet
16,16,27-05-2020 04:48:03,Tbilisi,ae784bef73,Silver haze leaves листья 10гр,,1,нет,Тбилиси,10 гр,0.012,7825,2982,264,110.0,True,,,,,,,,,,Silver haze leaves list'ja 10gr
17,17,27-05-2020 04:48:03,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0477,32013,12200,1081,450.0,,,,,,,,,,,Gashish Evro 10gr
18,18,27-05-2020 04:48:03,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0816,55276,21064,1866,777.0,,,,,,,,,,,Gashish Evro 20gr
19,19,27-05-2020 04:48:03,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.008,5691,2169,192,80.0,,,,,,,,,,,GABAGAMA 50 SHTUK
20,20,27-05-2020 04:48:03,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.19899999999999998,142282,54220,4804,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
21,21,27-05-2020 04:48:03,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0184,13161,5015,444,185.0,,,,,,,,,,,GABAGAMA 150 shtuk
22,22,27-05-2020 04:48:03,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0232,14940,5693,504,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
23,23,27-05-2020 04:48:03,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0408,26251,10004,886,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
24,24,27-05-2020 04:48:03,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.064,41191,15697,1391,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,27-05-2020 04:48:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0438,28456,10844,961,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,27-05-2020 04:48:03,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0153,9960,3795,336,140.0,True,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
27,27,27-05-2020 04:48:03,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0602,39127,14911,1321,550.0,,,,,,,,,,,"""Kief"" Weed trichomes 5G"
28,28,27-05-2020 04:48:03,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0602,39127,14911,1321,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
29,29,27-05-2020 04:48:03,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0257,16718,6371,564,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
30,30,27-05-2020 04:48:03,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0263,17074,6506,576,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
31,31,27-05-2020 04:48:03,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0252,16362,6235,552,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
32,32,27-05-2020 04:48:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,1,Тбилиси,5 гр,0.0174,11311,4310,382,159.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
33,33,27-05-2020 04:48:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0263,17074,6506,576,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,27-05-2020 04:48:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0263,17074,6506,576,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,27-05-2020 04:48:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,16362,6235,552,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,27-05-2020 04:48:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,15580,5937,526,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,27-05-2020 04:48:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0257,16718,6371,564,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,27-05-2020 04:48:45,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0274,17785,6778,601,250.0,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
39,39,27-05-2020 04:48:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2657,190000,87429,6418,,,,,,,,,,,,reagent 25i nbome. 5gr
40,40,27-05-2020 04:48:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2984,213422,81330,7206,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
41,41,27-05-2020 04:48:45,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.106,68224,25998,2304,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
42,42,27-05-2020 04:48:45,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.021,13517,5151,456,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,27-05-2020 04:48:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,3,Тбилиси,5 гр,0.054000000000000006,34788,13257,1175,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
44,44,27-05-2020 04:48:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0209,13446,5124,454,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,45,27-05-2020 04:48:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0985,64027,24399,2162,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,27-05-2020 04:48:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0438,28456,10844,961,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
47,47,27-05-2020 04:48:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0766,49799,18977,1681,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
48,48,27-05-2020 04:48:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.046,29879,11386,1009,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
49,49,27-05-2020 04:48:45,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,1,38,Тбилиси,10 гр,0.0148,9604,3660,324,135.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
50,50,27-05-2020 04:48:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0875,56913,21688,1922,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,27-05-2020 04:48:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2435,158288,60320,5344,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
52,52,27-05-2020 04:48:45,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1723,110909,42264,3745,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,53,27-05-2020 04:48:45,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0408,26251,10004,886,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,27-05-2020 04:48:45,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0348,22409,8540,757,315.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
55,55,27-05-2020 04:48:45,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0437,28385,10817,958,399.0,,,,,,,,,,,20 gr georgian weed. Package on magnet
56,56,27-05-2020 04:48:45,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5526,355704,135550,12010,5000.0,,,,,,,,,,,METADON - 20 G.
57,57,27-05-2020 04:48:45,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0662,42613,16239,1439,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
58,58,27-05-2020 04:48:45,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1421,92412,35216,3120,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
59,59,27-05-2020 04:48:45,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2735,177781,67748,6003,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
60,60,27-05-2020 04:48:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2626,170738,65064,5765,2400.0,,,,,,,,,,,100 gr marijuana buds
61,61,27-05-2020 04:48:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2188,142282,54220,4804,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
62,62,27-05-2020 04:48:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2736,177852,67775,6005,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,63,27-05-2020 04:48:45,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6456,419731,159949,14172,5900.0,,,,,,,,,,,180 gr marihuana persoalno
64,64,27-05-2020 04:48:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5034,327248,124706,11049,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
65,65,27-05-2020 04:48:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8207,533556,203325,18015,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
66,66,27-05-2020 04:48:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9301,604697,230435,20417,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
67,67,27-05-2020 04:48:45,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,14228,5422,480,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
68,68,27-05-2020 04:49:24,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,14228,5422,480,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,69,27-05-2020 04:49:24,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0274,17785,6778,601,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,27-05-2020 04:49:24,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6563,1067112,406650,36030,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
71,71,27-05-2020 04:50:28,Batumi,3c4662c591,шишки марихуаны 5G,,2,нет,Батуми,5 гр,0.0328,21342,8133,721,300.0,,,,,,,True,,,,shishki marihuany 5G
72,72,27-05-2020 04:50:28,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2407,156510,59642,5284,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
73,73,27-05-2020 04:50:28,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,1,2,Батуми,0.5 гр,0.0093,6047,2304,204,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
74,74,27-05-2020 04:50:28,Batumi,54915c4374,MDMA !! 3 грамма,,нет,1,Батуми,3 гр,0.0443,28812,10980,973,405.0,,,,,,,,True,,,MDMA !! 3 gramma
75,75,27-05-2020 04:50:28,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1738,112990,51992,3817,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,27-05-2020 04:50:28,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2752,178900,82321,6043,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,27-05-2020 04:50:28,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,7114,2711,240,100.0,,,,,,,,True,,,kur'er v Batumi
78,78,27-05-2020 04:50:28,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,17785,6778,601,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,27-05-2020 04:50:28,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,17785,6778,601,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,27-05-2020 04:50:28,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0299,19446,7425,657,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
81,81,27-05-2020 04:50:28,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6563,1067112,406650,36030,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
82,82,27-05-2020 04:50:28,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0547,35570,13555,1201,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,27-05-2020 04:51:58,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0525,34503,13148,1165,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,27-05-2020 04:51:58,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,1,нет,Кутаиси,3.3 гр,0.0075,5336,2033,180,75.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
85,85,27-05-2020 04:51:58,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0299,19446,7425,657,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
