,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
39,39,09-02-2020 08:22:20,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0721,49318,19192,1691,777.0,,,,,,,,,,Gashish Evro 20gr
40,40,09-02-2020 08:22:20,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1487,193359,75257,6625,,,,,2777.0,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
41,41,09-02-2020 08:22:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0244,15868,6175,544,250.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
42,42,09-02-2020 08:22:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0342,22215,8645,762,350.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
43,43,09-02-2020 08:22:20,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0586,38083,14820,1306,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
44,44,09-02-2020 08:22:20,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0213,13964,5434,479,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
45,45,09-02-2020 08:22:20,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0387,25389,9880,870,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,09-02-2020 08:22:20,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0232,15233,5928,522,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
47,47,09-02-2020 08:22:20,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
48,48,09-02-2020 08:22:20,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1318,95208,37050,3264,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
49,49,09-02-2020 08:22:20,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
50,50,09-02-2020 08:22:20,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,09-02-2020 08:22:20,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0192,12631,4915,433,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
52,52,09-02-2020 08:22:20,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,09-02-2020 08:22:20,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0192,13900,5409,477,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,09-02-2020 08:22:20,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0184,13266,5162,455,209.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
55,55,09-02-2020 08:22:20,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0184,13266,5162,455,209.0,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
56,56,09-02-2020 08:22:20,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0184,13266,5162,455,209.0,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
57,57,09-02-2020 08:22:20,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
58,58,09-02-2020 08:22:20,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0176,12694,4940,435,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
59,59,09-02-2020 08:22:20,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1938,140000,64421,4798,,,,,,,,,,,reagent 25i nbome. 5gr
60,60,09-02-2020 08:22:20,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2636,190416,74100,6529,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,61,09-02-2020 08:22:20,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0477,31038,12078,1064,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,09-02-2020 08:22:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0176,11425,4446,392,180.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,09-02-2020 08:22:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0386,25325,9855,868,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
64,64,09-02-2020 08:22:52,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1757,126944,49400,4352,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
65,65,09-02-2020 08:22:52,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0773,50778,19760,1741,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,66,09-02-2020 08:22:52,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0351,25325,9855,868,399.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
67,67,09-02-2020 08:22:52,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.215,141225,54958,4842,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
68,68,09-02-2020 08:22:52,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0789,51285,19958,1758,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
69,69,09-02-2020 08:22:52,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0292,18978,7385,651,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
70,70,09-02-2020 08:22:52,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,1,3,Тбилиси,11 гр,0.0145,9521,3705,326,150.0,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
71,71,09-02-2020 08:22:52,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0439,28562,11115,979,450.0,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
72,72,09-02-2020 08:22:52,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2899,209458,81510,7181,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
73,73,09-02-2020 08:22:52,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0556,38083,14820,1306,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
74,74,09-02-2020 08:22:52,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1054,76166,29640,2611,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
75,75,09-02-2020 08:22:52,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0835,57125,22230,1959,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
76,76,09-02-2020 08:22:52,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0918,60298,23465,2067,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
77,77,09-02-2020 08:22:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1933,126944,49400,4352,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
78,78,09-02-2020 08:22:52,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1739,114250,44460,3917,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
79,79,09-02-2020 08:22:52,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2416,158680,61750,5441,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,09-02-2020 08:22:52,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0378,27293,10621,936,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
81,81,09-02-2020 08:22:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4445,291971,113620,10011,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,09-02-2020 08:22:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7248,476040,185250,16322,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,09-02-2020 08:22:52,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8214,539512,209950,18498,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,09-02-2020 08:22:52,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0176,12694,4940,435,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,09-02-2020 08:22:52,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0176,12694,4940,435,200.0,,,,,,,,,,Trebuetsja Kur'er
86,86,09-02-2020 08:22:52,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0193,12694,4940,435,200.0,,,,,,,,,,Trebuetsja sotrudnik
87,87,09-02-2020 08:22:52,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0193,12694,4940,435,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,09-02-2020 08:22:52,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0242,15868,6175,544,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,89,09-02-2020 08:22:52,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4627,952080,370500,32643,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,09-02-2020 08:24:23,Batumi,ea97036e14,Метамфетамин рацемат 2г (MQ),,2,нет,Батуми,2 гр,0.0083,5395,2100,185,85.0,,,,,,,True,,,Metamfetamin ratsemat 2g (MQ)
91,91,09-02-2020 08:24:23,Batumi,d50134d8a6,"Combo: bruce lee, wembley, speedi+ (3g)",,2,нет,Батуми,3 гр,0.0131,9521,3705,326,150.0,,,,,,,True,,,"Combo: bruce lee, wembley, speedi+ (3g)"
92,92,09-02-2020 08:24:23,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,2,10,Батуми,0.27 гр,0.0221,14408,5607,494,227.0,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
93,93,09-02-2020 08:24:23,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.0175,12694,4940,435,200.0,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
94,94,09-02-2020 08:24:23,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0915,60298,23465,2067,950.0,,,,,,,True,,,Hybrid Skunk! 50 gr
95,95,09-02-2020 08:24:23,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1734,114250,44460,3917,1800.0,,,,,,,True,,,Hybrid Skunk! 100 gr
96,96,09-02-2020 08:24:23,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2919,190416,74100,6529,3000.0,,,,,,,True,,,SUBOXIN - HQ - 100 G.
97,97,09-02-2020 08:24:23,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2432,158680,61750,5441,2500.0,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,98,09-02-2020 08:24:23,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.0097,6347,2470,218,100.0,,,,,,,True,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
99,99,09-02-2020 08:24:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0044,3174,1235,109,50.0,,,,,,,True,,,kur'er v Batumi
100,100,09-02-2020 08:24:23,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0044,3174,1235,109,50.0,,,,,,,True,,,Vakansija Kur'era v Batumi
101,101,09-02-2020 08:24:23,Batumi,a5417660bf,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0069,5000,2301,171,,,,,,,,True,,,Vakansija Kur'era v Batumi
102,102,09-02-2020 08:24:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0219,15868,6175,544,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
103,103,09-02-2020 08:24:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.4580000000000002,952080,370500,32643,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
104,104,09-02-2020 08:24:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0482,31736,12350,1088,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
105,105,09-02-2020 08:25:52,Kutaisi,d4df7908c3,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,3,Кутаиси,1 гр,0.0036,2348,914,81,37.0,,,,,,,,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
106,106,09-02-2020 08:25:52,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.0102,6665,2594,229,105.0,,,,,,,,,True,"Shishki/Weeds OG Kush, 3g"
