,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
15,15,18-05-2020 19:20:25,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,3,нет,Тбилиси,3 гр,0.0123,3183,291,8685,119.0,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
16,16,18-05-2020 19:20:25,Tbilisi,4659482266,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0123,3183,291,8685,119.0,,,True,,,,,,,3g superskunk top class buds.
17,17,18-05-2020 19:20:25,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0108,2809,257,7663,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,18-05-2020 19:20:25,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0181,4681,428,12771,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,18-05-2020 19:20:25,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1174,30763,2813,83927,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
20,20,18-05-2020 19:20:25,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1139,30763,2813,83927,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
21,21,18-05-2020 19:20:25,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW,True,1,нет,Тбилиси,10 гр,0.0357,9363,856,25543,350.0,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ) NEW NEW NEW
22,22,18-05-2020 19:20:25,Tbilisi,7cab566931,GEORGIAN MARIJUANA 44-GRAMM,True,1,нет,Тбилиси,44 гр,0.0464,13375,1223,36490,500.0,,,,,,,,,,GEORGIAN MARIJUANA 44-GRAMM
23,23,18-05-2020 19:20:25,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1857,53500,4892,145960,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
24,24,18-05-2020 19:20:25,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0099,2606,238,7105,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
25,25,18-05-2020 19:20:25,Tbilisi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",True,нет,10,Тбилиси,0.5 гр,0.0082,2140,196,5838,80.0,,,,,,,,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
26,26,18-05-2020 19:20:25,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,7,Тбилиси,0.5 гр,0.0077,2006,183,5473,75.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
27,27,18-05-2020 19:20:25,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0163,4280,391,11677,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
28,28,18-05-2020 19:20:25,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0381,9871,903,26930,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
29,29,18-05-2020 19:20:25,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0597,15488,1416,42255,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,30,18-05-2020 19:20:25,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0408,10700,978,29192,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31,18-05-2020 19:20:25,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0143,3745,342,10217,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
32,32,18-05-2020 19:20:25,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0562,14713,1345,40139,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,33,18-05-2020 19:20:25,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.024,6286,575,17150,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
34,34,18-05-2020 19:21:23,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0239,6286,575,17150,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,18-05-2020 19:21:23,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0244,6420,587,17515,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,18-05-2020 19:21:23,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0234,6153,563,16785,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,18-05-2020 19:21:23,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0162,4253,389,11604,159.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,18-05-2020 19:21:23,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,6420,587,17515,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,18-05-2020 19:21:23,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0244,6420,587,17515,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,18-05-2020 19:21:23,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0234,6153,563,16785,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,41,18-05-2020 19:21:23,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,5858,536,15983,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,42,18-05-2020 19:21:23,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0239,6286,575,17150,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
43,43,18-05-2020 19:21:23,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0163,4280,391,11677,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
44,44,18-05-2020 19:21:23,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.24100000000000002,87429,6346,190000,,,,,,,,,,,reagent 25i nbome. 5gr
45,45,18-05-2020 19:21:23,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2778,80250,7339,218939,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,46,18-05-2020 19:21:23,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0986,25653,2346,69988,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,47,18-05-2020 19:21:23,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0195,5083,465,13866,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,18-05-2020 19:21:23,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0503,13081,1196,35687,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
49,49,18-05-2020 19:21:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0194,5056,462,13793,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,18-05-2020 19:21:23,Tbilisi,54915c4374,"""Express Batumi"" марки н-боооом 8 шт.",True,нет,4,Тбилиси,8 гр,0.0102,2675,245,7298,100.0,,,,,,,,,,"""Express Batumi"" marki n-boooom 8 sht."
51,51,18-05-2020 19:21:23,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0917,24075,2202,65682,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,52,18-05-2020 19:21:23,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0407,10700,978,29192,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
53,53,18-05-2020 19:21:23,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,18725,1712,51086,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,18-05-2020 19:21:23,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,11235,1027,30652,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,18-05-2020 19:21:23,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0102,2675,245,7298,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
56,56,18-05-2020 19:21:23,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0815,21400,1957,58384,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,18-05-2020 19:21:23,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0295,7758,709,21164,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
58,58,18-05-2020 19:21:23,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2266,59519,5443,162380,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,18-05-2020 19:21:23,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1604,41703,3814,113776,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,60,18-05-2020 19:21:23,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.038,9871,903,26930,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,18-05-2020 19:21:23,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0324,8426,771,22989,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
62,62,18-05-2020 19:21:23,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5143,133750,12231,364899,5000.0,,,,,,,,,,METADON - 20 G.
63,63,18-05-2020 19:21:23,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,16023,1465,43715,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,64,18-05-2020 19:21:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.11199999999999999,29425,2691,80278,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,18-05-2020 19:21:23,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2444,64200,5871,175152,2400.0,,,,,,,,,,100 gr marijuana buds
66,66,18-05-2020 19:21:23,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2037,53500,4892,145960,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,18-05-2020 19:21:23,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2546,66875,6116,182450,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,18-05-2020 19:21:23,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6009,157825,14433,430581,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,18-05-2020 19:22:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4691,123050,11253,335707,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,18-05-2020 19:22:04,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7648,200625,18347,547349,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,18-05-2020 19:22:04,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8668,227375,20793,620328,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,18-05-2020 19:22:04,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,5350,489,14596,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,18-05-2020 19:22:04,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0408,10700,978,29192,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
74,74,18-05-2020 19:22:04,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0204,5350,489,14596,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,18-05-2020 19:22:04,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0255,6688,612,18245,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,18-05-2020 19:22:04,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5435,401250,36693,1094697,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,18-05-2020 19:23:12,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2242,58850,5382,160556,2200.0,,,,,,,True,,,[100g] SPAIN HASH
78,78,18-05-2020 19:23:12,Batumi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,8,Батуми,0.2 гр,0.0099,2606,238,7105,,,,,90.0,,,True,,,Buprenorfin (analog suboteksa) 0.2 gr.
79,79,18-05-2020 19:23:12,Batumi,54915c4374,"MDMA ""цунами удовольствия) 0.5 грамм",,нет,27,Батуми,0.5 гр,0.0092,2408,220,6568,90.0,,,,,,,True,,,"MDMA ""tsunami udovol'stvija) 0.5 gramm"
80,80,18-05-2020 19:23:12,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0036,955,87,2605,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
81,81,18-05-2020 19:23:12,Batumi,54915c4374,"""Express Batumi"" марки н-боооом 8 шт.",,нет,10,Батуми,8 гр,0.0102,2675,245,7298,100.0,,,,,,,True,,,"""Express Batumi"" marki n-boooom 8 sht."
82,82,18-05-2020 19:23:12,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1578,51992,3774,112990,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
83,83,18-05-2020 19:23:12,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2498,82321,5976,178900,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
84,84,18-05-2020 19:23:12,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,2675,245,7298,100.0,,,,,,,True,,,kur'er v Batumi
85,85,18-05-2020 19:23:12,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,6688,612,18245,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
86,86,18-05-2020 19:23:12,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,6688,612,18245,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
87,87,18-05-2020 19:23:12,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5427,401250,36693,1094697,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,88,18-05-2020 19:23:12,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.051,13375,1223,36490,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,18-05-2020 19:24:41,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,1,нет,Кутаиси,1.5 гр,0.021,5618,514,15326,210.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,18-05-2020 19:24:41,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0489,12974,1186,35395,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,18-05-2020 19:24:41,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0373,9898,905,27003,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,18-05-2020 19:24:41,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0204,5350,489,14596,200.0,,,,,,,,,True,Rabota na marki (kur'er)
