,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Vake,Tbilisis Zgva,Saburtalo,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
18,18,12-06-2020 02:55:08,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,10 гр,0.0247,16520,6393,568,,True,239.0,,,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
19,19,12-06-2020 02:55:08,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.047,34561,13375,1187,,True,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
20,20,12-06-2020 02:55:08,Tbilisi,9610a68a0a,SALE!!! GABAGAMA 20 SHTUK,,1,нет,Тбилиси,20 гр,0.0017,1244,482,43,,True,18.0,,,,,,,,,,SALE!!! GABAGAMA 20 SHTUK
21,21,12-06-2020 02:55:08,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2086,138244,53500,4750,,True,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
22,22,12-06-2020 02:55:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.0385,25506,9871,876,,True,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
23,23,12-06-2020 02:55:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,6,Тбилиси,3 гр,0.0604,40022,15488,1375,,True,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
24,24,12-06-2020 02:55:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0413,27649,10700,950,,True,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
25,25,12-06-2020 02:55:08,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0145,9677,3745,332,,,140.0,,,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
26,26,12-06-2020 02:55:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0568,38017,14713,1306,,True,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,12-06-2020 02:55:08,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.0243,16244,6286,558,,True,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,12-06-2020 02:55:08,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0248,16589,6420,570,,True,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,12-06-2020 02:55:08,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,7,Тбилиси,5 гр,0.0238,15898,6153,546,,True,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,12-06-2020 02:55:08,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0248,16589,6420,570,,True,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,12-06-2020 02:55:08,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0248,16589,6420,570,,True,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,12-06-2020 02:55:08,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0238,15898,6153,546,,True,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,12-06-2020 02:55:58,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0206,15138,5858,520,,True,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,12-06-2020 02:55:58,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0261,17280,6688,594,,True,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
35,35,12-06-2020 02:55:58,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0243,16244,6286,558,,True,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
36,36,12-06-2020 02:55:58,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2583,190000,87429,6533,,True,,,,,,,,,,,reagent 25i nbome. 5gr
37,37,12-06-2020 02:55:58,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2819,207366,80250,7124,,,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,12-06-2020 02:55:58,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1001,66288,25653,2277,,True,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,12-06-2020 02:55:58,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0198,13133,5083,451,,True,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,12-06-2020 02:55:58,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.051,33801,13081,1161,,True,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,12-06-2020 02:55:58,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.09300000000000001,62210,24075,2137,,True,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
42,42,12-06-2020 02:55:58,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0413,27649,10700,950,,True,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
43,43,12-06-2020 02:55:58,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0723,48385,18725,1662,,True,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
44,44,12-06-2020 02:55:58,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0434,29031,11235,997,,True,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
45,45,12-06-2020 02:55:58,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0827,55298,21400,1900,,True,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
46,46,12-06-2020 02:55:58,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.23,153796,59519,5284,,True,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
47,47,12-06-2020 02:55:58,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1627,107761,41703,3702,,True,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
48,48,12-06-2020 02:55:58,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0824,54537,21106,1874,,True,789.0,,,,,,,,,,💘✨10gram MDMA ✨💘
49,49,12-06-2020 02:55:58,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,9,Тбилиси,10 гр,0.0385,25506,9871,876,,True,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,50,12-06-2020 02:55:58,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0364,24193,9363,831,,True,350.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,51,12-06-2020 02:55:58,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1409,103683,40125,3562,,True,1500.0,,,,,,,,,,✨💘20g MDMA💘✨
52,52,12-06-2020 02:55:58,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0625,41404,16023,1423,,True,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,53,12-06-2020 02:55:58,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1343,89789,34748,3085,,True,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
54,54,12-06-2020 02:55:58,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.2583,172736,66848,5935,,True,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
55,55,12-06-2020 02:55:58,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.248,165893,64200,5700,,True,2400.0,,,,,,,,,,100 gr marijuana buds
56,56,12-06-2020 02:55:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2067,138244,53500,4750,,True,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,57,12-06-2020 02:55:58,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2584,172805,66875,5937,,True,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
58,58,12-06-2020 02:55:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 150шт. вес таблетки 450mg,,нет,1,Тбилиси,150 гр,0.27899999999999997,186629,72225,6412,,True,2700.0,,,,,,,,,,Extasy GUCCI 150sht. ves tabletki 450mg
59,59,12-06-2020 02:55:58,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6098,407819,157825,14011,,True,5900.0,,,,,,,,,,180 gr marihuana persoalno
60,60,12-06-2020 02:55:58,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4432,293768,113688,10093,,True,4250.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
61,61,12-06-2020 02:55:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4754,317961,123050,10924,,True,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,12-06-2020 02:55:58,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7751,518414,200625,17811,,True,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,12-06-2020 02:55:58,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8785,587536,227375,20186,,True,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,12-06-2020 02:55:58,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0188,13824,5350,475,,True,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
65,65,12-06-2020 02:55:58,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0207,13824,5350,475,,True,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,66,12-06-2020 02:55:58,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5643,1036829,401250,35622,,True,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
67,67,12-06-2020 02:57:47,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1689,112990,51992,3885,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
68,68,12-06-2020 02:57:47,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2675,178900,82321,6152,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
69,69,12-06-2020 02:57:47,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,6912,2675,237,,,100.0,,,,,,,True,,,kur'er v Batumi
70,70,12-06-2020 02:57:47,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,17280,6688,594,,,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
71,71,12-06-2020 02:57:47,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,17280,6688,594,,,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
72,72,12-06-2020 02:57:47,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0207,13824,5350,475,,,200.0,,,,,,,True,,,Kur'er Batumi na marihuanu
73,73,12-06-2020 02:57:47,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5643,1036829,401250,35622,,,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
74,74,12-06-2020 02:57:47,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0517,34561,13375,1187,,,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
75,75,12-06-2020 02:59:20,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0026,1728,669,59,,,25.0,,,,,,,,,True,Rabota na marki (kur'er)
