,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Gldani,€,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
59,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0341,20188,7768,703,299,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,10-03-2020 14:59:29,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0683,40443,15562,1409,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,10-03-2020 14:59:29,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0758,47262,18186,1646,700,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,10-03-2020 14:59:29,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 40g,True,нет,1,Тбилиси,40 гр,0.3612,216056,83136,7526,3200,,,,,,,,,MDMA from Europe!!! 40g
63,10-03-2020 14:59:29,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1232,81021,31176,2822,1200,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
64,10-03-2020 14:59:29,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1082,67450,25954,2349,999,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
65,10-03-2020 14:59:29,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 50g,True,нет,1,Тбилиси,50 гр,0.4516,270070,103920,9407,4000,,,,,,,,,MDMA from Europe!!! 50g
66,10-03-2020 14:59:29,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 70g,True,нет,1,Тбилиси,70 гр,1.1853,708934,272790,24694,10500,,,,,,,,,Columbia Cocaine VHQ 70g
67,10-03-2020 14:59:29,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2258,135035,51960,4704,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,10-03-2020 14:59:29,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.228,135035,51960,4704,2000,,,,,,,,,SUBOXIN - HQ - 100 G.
69,10-03-2020 14:59:29,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2822,168794,64950,5880,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,10-03-2020 14:59:56,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.171,101276,38970,3528,1500,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
