,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,€,Дигоми,Tbilisis Zgva,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
36,36,15-03-2020 03:26:56,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,,3,нет,Тбилиси,5 гр,0.1351,57599,21162,1842,787.0,,,,True,,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
37,37,15-03-2020 03:26:56,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,,1,нет,Тбилиси,5 гр,0.0362,16101,5916,515,220.0,,,,,True,,,,,,,Hybrid Gagarin. 5g.
38,38,15-03-2020 03:26:56,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0265,12442,4571,398,170.0,,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
39,39,15-03-2020 03:26:56,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0276,11637,4276,372,159.0,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
40,40,15-03-2020 03:26:56,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1341,62869,23099,2010,859.0,,,,,,,,,,,,VHQ BEST Cocaine 5g.
41,41,15-03-2020 03:26:56,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,5 гр,0.0101,4757,1748,152,65.0,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,15-03-2020 03:26:56,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,,4,нет,Тбилиси,5.5 гр,0.0755,32496,11939,1039,444.0,,,,True,,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
43,43,15-03-2020 03:26:56,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0627,26714,9815,854,365.0,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
44,44,15-03-2020 03:26:56,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,4,нет,Тбилиси,10 гр,0.0155,7246,2662,232,99.0,,True,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
45,45,15-03-2020 03:26:56,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0659,29275,10756,936,400.0,,,,,,,,,,,,gashish evro 10g
46,46,15-03-2020 03:26:56,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,,2,нет,Тбилиси,11 гр,0.1456,62064,22803,1984,848.0,,,,True,,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
47,47,15-03-2020 03:26:56,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0468,19761,7260,632,270.0,,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
48,48,15-03-2020 03:26:56,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,1,Тбилиси,0.75 гр,0.0635,27080,9949,866,370.0,,,,,,,,,,,,Methadone HQ in city 0.75g
