,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Gldani,Vake,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
29,29,09-05-2020 14:37:08,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0217,15513,5693,513,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
30,30,09-05-2020 14:37:08,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0381,27259,10004,901,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,09-05-2020 14:37:08,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0597,42772,15697,1414,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,09-05-2020 14:37:08,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0409,29549,10844,977,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,09-05-2020 14:37:08,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0562,40630,14911,1343,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
34,34,09-05-2020 14:37:56,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.024,17360,6371,574,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
35,35,09-05-2020 14:37:56,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0245,17729,6506,586,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
36,36,09-05-2020 14:37:56,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0235,16991,6235,562,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
37,37,09-05-2020 14:37:56,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0245,17729,6506,586,240.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
38,38,09-05-2020 14:37:56,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0245,17729,6506,586,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,39,09-05-2020 14:37:56,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0245,17729,6506,586,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,40,09-05-2020 14:37:56,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0245,17729,6506,586,240.0,,,,,,,,,,,,5gr Stardawg Auto WEED BUDS
41,41,09-05-2020 14:37:56,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0235,16991,6235,562,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,09-05-2020 14:37:56,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0204,16178,5937,535,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,09-05-2020 14:37:56,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.024,17360,6371,574,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,44,09-05-2020 14:37:56,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0164,11820,4338,391,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
45,45,09-05-2020 14:37:56,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2391,190000,87429,6279,,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,09-05-2020 14:37:56,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2788,221618,81330,7325,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,09-05-2020 14:37:56,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.099,70844,25998,2341,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,09-05-2020 14:37:56,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,2,Тбилиси,5 гр,0.0195,13962,5124,461,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
49,49,09-05-2020 14:37:56,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0196,14036,5151,464,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,09-05-2020 14:37:56,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0505,36124,13257,1194,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,09-05-2020 14:37:56,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0195,13962,5124,461,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,52,09-05-2020 14:37:56,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,5,Тбилиси,8 гр,0.0082,5910,2169,195,80.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
53,53,09-05-2020 14:37:56,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.092,66485,24399,2197,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,09-05-2020 14:37:56,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0409,29549,10844,977,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,09-05-2020 14:37:56,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0716,51711,18977,1709,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,09-05-2020 14:37:56,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0429,31026,11386,1025,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,09-05-2020 14:37:56,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0102,7387,2711,244,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
58,58,09-05-2020 14:37:56,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0818,59098,21688,1953,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,09-05-2020 14:37:56,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0297,21423,7862,708,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
60,60,09-05-2020 14:37:56,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2275,164366,60320,5432,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,09-05-2020 14:37:56,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.161,115167,42264,3806,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,09-05-2020 14:37:56,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0381,27259,10004,901,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,09-05-2020 14:37:56,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5163,369363,135550,12208,5000.0,,,,,,,,,,,,METADON - 20 G.
64,64,09-05-2020 14:37:56,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0619,44250,16239,1462,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,09-05-2020 14:37:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1125,81260,29821,2686,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,66,09-05-2020 14:37:56,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2454,177294,65064,5860,2400.0,,,,,,,,,,,,100 gr marijuana buds
67,67,09-05-2020 14:37:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2045,147745,54220,4883,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,09-05-2020 14:37:56,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2556,184681,67775,6104,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,09-05-2020 14:38:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7713,554044,203325,18311,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,09-05-2020 14:38:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8741,627916,230435,20753,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,09-05-2020 14:38:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0187,14775,5422,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,09-05-2020 14:38:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0206,14775,5422,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,09-05-2020 14:38:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0257,18468,6778,610,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,09-05-2020 14:38:54,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0206,14775,5422,488,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
75,75,09-05-2020 14:38:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5565,1108088,406650,36623,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,09-05-2020 14:40:33,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0037,2640,969,87,,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
77,77,09-05-2020 14:40:33,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2262,162520,59642,5371,2200.0,,,,,,,,,,True,,[100g] SPAIN HASH
78,78,09-05-2020 14:40:33,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0082,5910,2169,195,80.0,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
79,79,09-05-2020 14:40:33,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1573,112990,51992,3734,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
80,80,09-05-2020 14:40:33,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.249,178900,82321,5912,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
81,81,09-05-2020 14:40:33,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,7387,2711,244,100.0,,,,,,,,,,True,,kur'er v Batumi
82,82,09-05-2020 14:40:33,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0234,18468,6778,610,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
83,83,09-05-2020 14:40:33,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0234,18468,6778,610,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
84,84,09-05-2020 14:40:33,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5564,1108088,406650,36623,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
85,85,09-05-2020 14:40:33,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0514,36936,13555,1221,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
86,86,09-05-2020 14:42:00,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.019,13666,5015,452,185.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
87,87,09-05-2020 14:42:00,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,7,нет,Кутаиси,2 гр,0.0499,35828,13148,1184,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
88,88,09-05-2020 14:42:00,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0339,24378,8946,806,330.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
89,89,09-05-2020 14:42:00,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0206,14775,5422,488,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
