,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Nadzaladevi,Saburtalo,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
40,40,28-06-2020 17:50:04,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0285,19010,7398,656,,True,275.0,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
41,41,28-06-2020 17:50:04,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,16591,6456,572,,True,240.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,28-06-2020 17:50:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.028999999999999998,19356,7532,668,,True,280.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,28-06-2020 17:50:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.027999999999999997,18665,7263,644,,True,270.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,28-06-2020 17:50:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,15139,5891,522,,True,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,28-06-2020 17:50:04,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,9,Тбилиси,5 гр,0.0182,12097,4708,417,,True,175.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
46,46,28-06-2020 17:50:04,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.027999999999999997,18665,7263,644,,True,270.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
47,47,28-06-2020 17:50:04,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1556,103693,40350,3576,,True,1500.0,,,,,,,,,Gerojn (sirets) 5 gr
48,48,28-06-2020 17:50:04,Tbilisi,54915c4374,марки н-боом 5шт.,,нет,9,Тбилиси,5 гр,0.0067,4493,1749,155,,True,65.0,,,,,,,,,marki n-boom 5sht.
49,49,28-06-2020 17:50:04,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2592,190000,87429,6552,,True,,,,,,,,,,reagent 25i nbome. 5gr
50,50,28-06-2020 17:50:04,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2829,207385,80700,7152,,,3000.0,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
51,51,28-06-2020 17:50:04,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1299,85719,33356,2956,,True,1240.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
52,52,28-06-2020 17:50:04,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,15,Тбилиси,5 гр,0.021,13826,5380,477,,True,200.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
53,53,28-06-2020 17:50:04,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0934,62216,24210,2146,,True,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,28-06-2020 17:50:04,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0571,38021,14795,1311,,True,550.0,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,28-06-2020 17:50:04,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0726,48390,18830,1669,,True,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,28-06-2020 17:50:04,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0436,29034,11298,1001,,True,420.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,28-06-2020 17:50:04,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.083,55303,21520,1907,,True,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
58,58,28-06-2020 17:50:04,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,10,Тбилиси,10 гр,0.0342,22812,8877,787,,True,330.0,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
59,59,28-06-2020 17:50:04,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2308,153811,59853,5304,,True,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,28-06-2020 17:50:04,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0104,6913,2690,238,,True,100.0,,,,,,,,,Marki n-boom 10 sht.
