,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
24,24,16-06-2020 08:51:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,,нет,5,Тбилиси,3 гр,0.0599,40759,15610,1382,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
25,25,16-06-2020 08:51:04,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,,нет,7,Тбилиси,4 гр,0.040999999999999995,28158,10784,955,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,26,16-06-2020 08:51:04,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,,нет,5,Тбилиси,5 гр,0.0563,38717,14828,1313,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,27,16-06-2020 08:51:04,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,,нет,6,Тбилиси,5 гр,0.0241,16543,6336,561,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
28,28,16-06-2020 08:51:04,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,,нет,5,Тбилиси,5 гр,0.0246,16895,6470,573,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
29,29,16-06-2020 08:51:04,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,,нет,6,Тбилиси,5 гр,0.0236,16191,6201,549,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
30,30,16-06-2020 08:51:04,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0246,16895,6470,573,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
31,31,16-06-2020 08:51:04,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,,нет,7,Тбилиси,5 гр,0.0246,16895,6470,573,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
32,32,16-06-2020 08:51:04,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,,нет,6,Тбилиси,5 гр,0.0236,16191,6201,549,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,33,16-06-2020 08:51:04,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,,нет,2,Тбилиси,5 гр,0.0204,15417,5904,523,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,16-06-2020 08:51:43,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,,нет,4,Тбилиси,5 гр,0.0241,16543,6336,561,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,16-06-2020 08:51:43,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,,нет,2,Тбилиси,5 гр,0.2513,190000,87429,6448,,,,,,,,,reagent 25i nbome. 5gr
36,36,16-06-2020 08:51:43,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.2794,211185,80880,7160,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
37,37,16-06-2020 08:51:43,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,,нет,8,Тбилиси,5 гр,0.0992,67509,25855,2289,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
38,38,16-06-2020 08:51:43,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,,нет,9,Тбилиси,5 гр,0.0197,13375,5122,453,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
39,39,16-06-2020 08:51:43,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,,нет,9,Тбилиси,5 гр,0.0506,34423,13183,1167,489.0,,,,,,,,💘✨5g. MDMA ✨💘
40,40,16-06-2020 08:51:43,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,,нет,1,Тбилиси,10 гр,0.0922,63356,24264,2148,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,41,16-06-2020 08:51:43,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,,нет,10,Тбилиси,10 гр,0.040999999999999995,28158,10784,955,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
42,42,16-06-2020 08:51:43,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,,нет,2,Тбилиси,10 гр,0.0717,49277,18872,1671,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
43,43,16-06-2020 08:51:43,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,,нет,5,Тбилиси,10 гр,0.043,29566,11323,1002,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
44,44,16-06-2020 08:51:43,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,,нет,3,Тбилиси,10 гр,0.0819,56316,21568,1909,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,45,16-06-2020 08:51:43,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,,нет,1,Тбилиси,10 гр,0.2279,156629,59986,5310,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
46,46,16-06-2020 08:51:43,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,,нет,9,Тбилиси,10 гр,0.1613,109746,42031,3721,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,47,16-06-2020 08:51:43,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,,нет,5,Тбилиси,10 гр,0.0816,55542,21271,1883,789.0,,,,,,,,💘✨10gram MDMA ✨💘
48,48,16-06-2020 08:51:43,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,,нет,8,Тбилиси,10 гр,0.0382,25976,9948,881,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
49,49,16-06-2020 08:51:43,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,,нет,1,Тбилиси,11 гр,0.0452,30867,11837,1047,,,,,,390.0,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
50,50,16-06-2020 08:51:43,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,,нет,3,Тбилиси,20 гр,0.1397,105593,40440,3580,1500.0,,,,,,,,✨💘20g MDMA💘✨
51,51,16-06-2020 08:51:43,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,,нет,9,Тбилиси,20 гр,0.062,42167,16149,1430,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
52,52,16-06-2020 08:51:43,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,,нет,5,Тбилиси,50 гр,0.1331,91443,35021,3100,1299.0,,,,,,,,50 gr georgian weed. Package on magnet
53,53,16-06-2020 08:51:43,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,,нет,4,Тбилиси,100 гр,0.256,175917,67373,5964,2499.0,,,,,,,,100 gr georgian weed. Package on magnet
54,54,16-06-2020 08:51:43,Tbilisi,cb721d4bca,100 gr marijuana buds,True,,нет,1,Тбилиси,100 гр,0.2458,168948,64704,5728,2400.0,,,,,,,,100 gr marijuana buds
55,55,16-06-2020 08:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,,нет,1,Тбилиси,100 гр,0.2049,140790,53920,4773,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
56,56,16-06-2020 08:51:43,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,,1,1,Тбилиси,100 гр,0.2561,175988,67400,5967,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,16-06-2020 08:51:43,Tbilisi,69672fee0d,180 gr марихуана персоално,True,,нет,1,Тбилиси,180 гр,0.6043,415331,159064,14082,5900.0,,,,,,,,180 gr marihuana persoalno
58,58,16-06-2020 08:51:43,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,,нет,4,Тбилиси,200 гр,0.4393,299179,114580,10143,4250.0,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
59,59,16-06-2020 08:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,,нет,1,Тбилиси,250 гр,0.4712,323817,124016,10979,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,60,16-06-2020 08:51:43,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,,нет,1,Тбилиси,500 гр,0.7682,527963,202200,17900,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,61,16-06-2020 08:51:43,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,,нет,3,Тбилиси,10000 гр,0.8707,598358,229160,20287,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
62,62,16-06-2020 08:51:43,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,,2,нет,Тбилиси,1 гр,0.0186,14079,5392,477,200.0,,,,,,,,KURYER..500RUB.+BONUS
63,63,16-06-2020 08:51:43,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,,нет,1,Тбилиси,1 гр,0.0205,14079,5392,477,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,64,16-06-2020 08:51:43,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,,нет,1,Тбилиси,400 гр,1.5504,1055925,404400,35801,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
65,65,16-06-2020 08:53:06,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,,нет,1,Батуми,500 гр,0.1644,112990,51992,3835,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
66,66,16-06-2020 08:53:06,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,,нет,1,Батуми,1000 гр,0.2603,178900,82321,6071,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
67,67,16-06-2020 08:53:06,Batumi,22610cd7c4,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0093,7040,2696,239,100.0,,,,,,True,,kur'er v Batumi
68,68,16-06-2020 08:53:06,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0233,17599,6740,597,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
69,69,16-06-2020 08:53:06,Batumi,ce6827deee,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0233,17599,6740,597,250.0,,,,,,True,,Ischu kur'era v Gruzii!
70,70,16-06-2020 08:53:06,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,,нет,3,Батуми,5 гр,0.0205,14079,5392,477,200.0,,,,,,True,,Kur'er Batumi na marihuanu
71,71,16-06-2020 08:53:06,Batumi,ea97036e14,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,1.5504,1055925,404400,35801,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
72,72,16-06-2020 08:53:06,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0512,35198,13480,1193,500.0,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
