,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Old Tbilisi (Старый город),Дигоми,Авлобари,Vake,Varketili,Батуми,Центр,desc_en
25,25,25-07-2020 16:06:55,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
26,26,25-07-2020 16:06:55,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0104,7160,2802,239,,True,100.0,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
27,27,25-07-2020 16:06:55,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,3,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
28,28,25-07-2020 16:06:55,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,4,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
29,29,25-07-2020 16:06:55,Tbilisi,bb1791277e,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,,2,нет,Тбилиси,2 гр,0.0125,8592,3362,287,,True,120.0,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
30,30,25-07-2020 16:06:55,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC),True,2,нет,Тбилиси,3 гр,0.0156,10740,4203,358,,,150.0,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC)
31,31,25-07-2020 16:06:55,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0025,1718,672,57,,,24.0,,True,,,,,,Marijuana Super Skunk leaves 3g plan
32,32,25-07-2020 16:06:55,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm (special price),,4,нет,Тбилиси,3 гр,0.0109,8234,3222,275,,True,115.0,,,,,,,,Northern Lights Regular [budsonly] 3gramm (special price)
33,33,25-07-2020 16:06:55,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,нет,Тбилиси,5 гр,0.0291,20047,7846,669,,True,280.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
34,34,25-07-2020 16:06:55,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,5 гр,0.027999999999999997,19331,7565,645,,True,270.0,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
35,35,25-07-2020 16:06:55,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0184,13962,5464,466,,True,195.0,,,,,,,,5g. marihuana shishki Critical
36,36,25-07-2020 16:09:15,Tbilisi,8528108b62,5g. марихуана шишки Critical,,1,нет,Тбилиси,5 гр,0.0184,13962,5464,466,,True,195.0,,,,,,,,5g. marihuana shishki Critical
37,37,25-07-2020 16:09:15,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 10gram special price,,1,нет,Тбилиси,10 гр,0.0321,24343,9527,813,,True,340.0,,,,,,,,Northern Lights Regular [budsonly] 10gram special price
38,38,25-07-2020 16:09:15,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2094,143195,56040,4780,,True,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,25-07-2020 16:09:15,Tbilisi,9610a68a0a,suboxsone 0.4 g,,нет,4,Тбилиси,0.4 гр,0.0042,2864,1121,96,,True,40.0,,,,,,,,suboxsone 0.4 g
40,40,25-07-2020 16:09:15,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Тбилиси,1 гр,0.0377,25762,10106,859,310.0,True,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,41,25-07-2020 16:09:15,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,10,Тбилиси,4 гр,0.0415,28639,11208,956,,True,400.0,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,42,25-07-2020 16:09:15,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0259,17899,7005,597,,True,250.0,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,25-07-2020 16:09:15,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.027999999999999997,19331,7565,645,,True,270.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,44,25-07-2020 16:09:15,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0285,19689,7706,657,,True,275.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,25-07-2020 16:09:15,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0249,17183,6725,574,,True,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,25-07-2020 16:09:15,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0291,20047,7846,669,,True,280.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,25-07-2020 16:09:15,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.027999999999999997,19331,7565,645,,True,270.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,25-07-2020 16:09:15,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,15680,6136,523,,True,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,25-07-2020 16:09:15,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,5,Тбилиси,5 гр,0.0244,16825,6585,562,,True,235.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
50,50,25-07-2020 16:09:15,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,нет,1,Тбилиси,5 гр,0.0226,17183,6725,574,,True,240.0,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
51,51,25-07-2020 16:09:15,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.027999999999999997,19331,7565,645,,True,270.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,52,25-07-2020 16:09:15,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2503,190000,87429,6346,,True,,,,,,,,,reagent 25i nbome. 5gr
53,53,25-07-2020 16:09:15,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2829,214792,84060,7169,,,3000.0,True,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,54,25-07-2020 16:09:15,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬,,нет,1,Тбилиси,5 гр,0.0259,17899,7005,597,,True,250.0,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 5pc🍬🍬🍬
55,55,25-07-2020 16:09:15,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,2,Тбилиси,5 гр,0.0243,16621,6520,554,200.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
56,56,25-07-2020 16:09:15,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0934,64438,25218,2151,,True,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,57,25-07-2020 16:09:15,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0571,39379,15411,1314,,True,550.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,25-07-2020 16:09:15,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0726,50118,19614,1673,,True,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,25-07-2020 16:09:15,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0436,30071,11768,1004,,True,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,25-07-2020 16:09:15,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.083,57278,22416,1912,,True,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,61,25-07-2020 16:09:15,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,1,8,Тбилиси,10 гр,0.0436,30071,11768,1004,,True,420.0,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
62,62,25-07-2020 16:09:15,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,нет,10,Тбилиси,10 гр,0.0015,1002,392,33,,True,14.0,,,,,,,,GABAGAMA 10 shtuk
63,63,25-07-2020 16:09:15,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2308,159304,62345,5317,,True,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
64,64,25-07-2020 16:09:15,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬,,нет,1,Тбилиси,10 гр,0.0425,29355,11488,980,,True,410.0,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 10pc🍬🍬🍬
65,65,25-07-2020 16:09:15,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0535,36565,14344,1219,440.0,True,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
66,66,25-07-2020 16:09:15,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0474,32410,12714,1081,390.0,True,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
67,67,25-07-2020 16:09:15,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0613,46538,18213,1553,,True,650.0,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
68,68,25-07-2020 16:09:15,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.249,171834,67248,5736,,True,2400.0,,,,,,,,100 gr marijuana buds
69,69,25-07-2020 16:09:15,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2594,178994,70050,5975,,True,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,25-07-2020 16:11:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8827,608578,238170,20313,,True,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,25-07-2020 16:11:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14319,5604,478,,True,200.0,,,,,,,,KURYER..500RUB.+BONUS
72,72,25-07-2020 16:11:40,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0104,7160,2802,239,,,100.0,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
73,73,25-07-2020 16:11:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.026000000000000002,17899,7005,597,,True,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,25-07-2020 16:11:40,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 400$ 5гр,,1,нет,Тбилиси,5 гр,0.0378,28639,11208,956,,True,400.0,,,,,,,,Kur'er Fasovschik zalog objazatel'no 400$ 5gr
75,75,25-07-2020 16:11:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0208,14319,5604,478,,True,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,25-07-2020 16:11:40,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.026000000000000002,17899,7005,597,,True,250.0,,,,,,,,Rabota na marki (kur'er)
77,77,25-07-2020 16:11:40,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0519,35799,14010,1195,,True,500.0,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
78,78,25-07-2020 16:11:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5719,1073961,420300,35847,,True,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
79,79,25-07-2020 16:11:40,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0519,35799,14010,1195,,,500.0,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
80,80,25-07-2020 16:13:58,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,3,нет,Батуми,2 гр,0.0044,3007,1177,100,,,42.0,,,,,,True,,Melkie shishki (Indica) 2g
81,81,25-07-2020 16:13:58,Batumi,3c9bc6f8e9,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,3,нет,Батуми,5 гр,0.0264,20047,7846,669,,,280.0,,,,,,True,,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
82,82,25-07-2020 16:13:58,Batumi,3b3ba4f5a5,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0343,23627,9247,789,,,330.0,,,,,,True,,Moschnye shishki Y-Griega (Sativa) 5g
83,83,25-07-2020 16:13:58,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0467,32219,12609,1075,,,450.0,,,,,,,True,Super Critical 10G
84,84,25-07-2020 16:13:58,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0377,25762,10106,859,310.0,,,,,,,,True,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
85,85,25-07-2020 16:13:58,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0535,36565,14344,1219,440.0,,,,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
86,86,25-07-2020 16:13:58,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0474,32410,12714,1081,390.0,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
87,87,25-07-2020 16:13:58,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,2,Батуми,11 гр,0.0485,33158,13007,1106,399.0,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
88,88,25-07-2020 16:13:58,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7160,2802,239,,,100.0,,,,,,True,,kur'er v Batumi
89,89,25-07-2020 16:13:58,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17899,7005,597,,,250.0,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
90,90,25-07-2020 16:13:58,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17899,7005,597,,,250.0,,,,,,True,,Ischu kur'era v Gruzii!
91,91,25-07-2020 16:13:58,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0208,14319,5604,478,,,200.0,,,,,,True,,Kur'er Batumi na marihuanu
92,92,25-07-2020 16:13:58,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5716,1073961,420300,35847,,,15000.0,,,,,,True,,Vakansija optovogo kur'era na mef
93,93,25-07-2020 16:13:58,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0519,35799,14010,1195,,,500.0,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
