,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Vazisubani,Дигоми,Saburtalo,Vake,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,€,Батуми,Центр,desc_en
33,33,19-06-2020 16:24:49,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0205,15236,5880,522,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,34,19-06-2020 16:25:36,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2805,208718,80550,7145,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
35,35,19-06-2020 16:25:36,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0996,66720,25749,2284,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,36,19-06-2020 16:25:36,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0197,13219,5102,453,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,37,19-06-2020 16:25:36,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,9,Тбилиси,5 гр,0.0508,34021,13130,1165,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
38,38,19-06-2020 16:25:36,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0926,62615,24165,2144,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
39,39,19-06-2020 16:25:36,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0566,38265,14768,1310,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
40,40,19-06-2020 16:25:36,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.07200000000000001,48701,18795,1667,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
41,41,19-06-2020 16:25:36,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0432,29220,11277,1000,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
42,42,19-06-2020 16:25:36,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0823,55658,21480,1905,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
43,43,19-06-2020 16:25:36,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2289,154799,59741,5299,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
44,44,19-06-2020 16:25:36,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.162,108464,41859,3713,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
45,45,19-06-2020 16:25:36,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.08199999999999999,54893,21185,1879,789.0,,,,,,,,,,,,💘✨10gram MDMA ✨💘
46,46,19-06-2020 16:25:36,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,8,Тбилиси,10 гр,0.0383,25672,9908,879,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
47,47,19-06-2020 16:25:36,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0453,30422,11759,1044,,,,,,,,,,390.0,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
48,48,19-06-2020 16:25:36,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1403,104359,40275,3573,1500.0,,,,,,,,,,,,✨💘20g MDMA💘✨
49,49,19-06-2020 16:25:36,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0622,41674,16083,1427,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
50,50,19-06-2020 16:25:36,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1336,90375,34878,3094,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
51,51,19-06-2020 16:25:36,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.257,173862,67098,5952,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
52,52,19-06-2020 16:25:36,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2469,166974,64440,5716,2400.0,,,,,,,,,,,,100 gr marijuana buds
53,53,19-06-2020 16:25:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2057,139145,53700,4763,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
54,54,19-06-2020 16:25:36,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2571,173931,67125,5954,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
55,55,19-06-2020 16:25:36,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6069,410478,158415,14052,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
56,56,19-06-2020 16:25:36,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4411,295683,114113,10122,4250.0,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
57,57,19-06-2020 16:25:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4731,320034,123510,10956,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
58,58,19-06-2020 16:25:36,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7714,521794,201375,17863,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
59,59,19-06-2020 16:25:36,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8743,591366,228225,20244,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,19-06-2020 16:25:36,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0187,13915,5370,476,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
61,61,19-06-2020 16:25:36,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0206,13915,5370,476,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
62,62,19-06-2020 16:25:36,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0026,1739,671,60,25.0,,,,,,,,,,,,Rabota na marki (kur'er)
63,63,19-06-2020 16:25:36,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5569,1043588,402750,35726,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
64,64,19-06-2020 16:27:07,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,12,нет,Батуми,0.25 гр,0.0134,9283,3588,319,,,,,,,,,,119.0,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
65,65,19-06-2020 16:27:07,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,1,нет,Батуми,5 гр,0.0311,20872,8055,715,300.0,,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
66,66,19-06-2020 16:27:07,Batumi,f8a875c191,METADON - 025,,2,3,Батуми,0.25 гр,0.0363,24350,9398,834,350.0,,,,,,,,,,True,,METADON - 025
67,67,19-06-2020 16:27:07,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0431,29220,11277,1000,420.0,,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
68,68,19-06-2020 16:27:07,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1666,112990,51992,3873,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
69,69,19-06-2020 16:27:07,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2638,178900,82321,6133,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
70,70,19-06-2020 16:27:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6957,2685,238,100.0,,,,,,,,,,True,,kur'er v Batumi
71,71,19-06-2020 16:27:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0233,17393,6713,595,250.0,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
72,72,19-06-2020 16:27:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0233,17393,6713,595,250.0,,,,,,,,,,True,,Ischu kur'era v Gruzii!
73,73,19-06-2020 16:27:07,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,5 гр,0.0205,13915,5370,476,200.0,,,,,,,,,,True,,Kur'er Batumi na marihuanu
74,74,19-06-2020 16:27:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5528,1043588,402750,35726,15000.0,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
75,75,19-06-2020 16:27:07,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0513,34786,13425,1191,500.0,,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
