,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Old Tbilisi (Старый город),Vake,Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Батуми,€,Центр,Кутаиси,desc_en
31,20-04-2020 17:09:32,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,True,3,нет,Тбилиси,10 гр,0.0137,7467,2740,245,100,,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
32,20-04-2020 17:09:32,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0527,29866,10960,978,400,,,,,,,,,,,,,gashish evro 10g
33,20-04-2020 17:09:32,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1023,58015,21290,1900,777,,,,,,,,,,,,,Gashish Evro 20gr
34,20-04-2020 17:09:32,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2495,149331,54800,4890,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,20-04-2020 17:10:02,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0058,3136,1151,103,42,,,,,,,True,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
36,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0511,27552,10111,902,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
37,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0818,44053,16166,1443,590,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,20-04-2020 17:10:02,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0549,29866,10960,978,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,20-04-2020 17:10:02,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.022,11947,4384,391,160,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
40,20-04-2020 17:10:02,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0755,41066,15070,1345,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
41,20-04-2020 17:10:02,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0233,12693,4658,416,170,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
42,20-04-2020 17:10:02,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0273,14858,5453,487,199,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,20-04-2020 17:10:02,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0273,14858,5453,487,199,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,20-04-2020 17:10:02,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0273,16352,6001,535,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,20-04-2020 17:10:02,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0273,14858,5453,487,199,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,20-04-2020 17:10:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3174,190000,87429,6279,,,,,,,,,,,,,,reagent 25i nbome. 5gr
47,20-04-2020 17:10:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3742,223997,82200,7335,3000,True,,,,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1204,64885,23811,2125,869,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0262,14112,5179,462,189,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
50,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0263,14186,5206,465,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0678,36512,13399,1196,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
52,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0262,14112,5179,462,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,20-04-2020 17:10:02,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1235,67199,24660,2201,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,20-04-2020 17:10:02,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.096,52266,19180,1712,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,20-04-2020 17:10:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0439,23893,8768,782,320,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,20-04-2020 17:10:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1098,59733,21920,1956,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,20-04-2020 17:10:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3053,166131,60965,5440,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
58,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2008,108191,39703,3543,1449,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0511,27552,10111,902,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0414,22325,8193,731,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
61,20-04-2020 17:10:02,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0556,30240,11097,990,405,,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
62,20-04-2020 17:10:02,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.083,44725,16413,1465,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,20-04-2020 17:10:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1509,82132,30140,2690,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
64,20-04-2020 17:10:02,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3293,179198,65760,5868,2400,,,,,,,,,,,,,100 gr marijuana buds
65,20-04-2020 17:10:02,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2744,149331,54800,4890,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
66,20-04-2020 17:10:02,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2772,149331,54800,4890,2000,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
67,20-04-2020 17:10:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.343,186664,68500,6113,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,20-04-2020 17:10:54,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8097,440528,161660,14426,5900,,,,,,,,,,,,,180 gr marihuana persoalno
69,20-04-2020 17:10:54,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4323,235197,86310,7702,3150,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
