,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Gldani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
43,13-06-2020 11:22:56,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0358,24193,9415,832,350,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
44,13-06-2020 11:22:56,Tbilisi,9VLN,AlienShop,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1386,103683,40350,3567,1500,,,,,,,,,✨💘20g MDMA💘✨
45,13-06-2020 11:22:56,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0615,41404,16113,1424,599,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
46,13-06-2020 11:22:56,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.132,89789,34943,3089,1299,,,,,,,,,50 gr georgian weed. Package on magnet
47,13-06-2020 11:22:56,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.254,172736,67223,5943,2499,,,,,,,,,100 gr georgian weed. Package on magnet
48,13-06-2020 11:22:56,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.244,165893,64560,5707,2400,,,,,,,,,100 gr marijuana buds
49,13-06-2020 11:22:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2033,138244,53800,4756,2000,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
50,13-06-2020 11:22:56,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2541,172805,67250,5945,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
51,13-06-2020 11:22:56,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5997,407819,158710,14031,5900,,,,,,,,,180 gr marihuana persoalno
52,13-06-2020 11:22:56,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4359,293768,114325,10107,4250,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
53,13-06-2020 11:22:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4676,317961,123740,10939,4600,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
54,13-06-2020 11:22:56,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7623,518414,201750,17836,7500,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
55,13-06-2020 11:22:56,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.864,587536,228650,20214,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,13-06-2020 11:22:56,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,13824,5380,476,200,,,,,,,,,KURYER..500RUB.+BONUS
57,13-06-2020 11:22:56,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0203,13824,5380,476,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
58,13-06-2020 11:22:56,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5385,1036829,403500,35672,15000,,,,,,,,,Vakansija optovogo kur'era na mef
59,13-06-2020 11:24:41,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1662,112990,51992,3855,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
60,13-06-2020 11:24:41,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2631,178900,82321,6103,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
61,13-06-2020 11:24:41,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6912,2690,238,100,,,,,,True,,,kur'er v Batumi
62,13-06-2020 11:24:41,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17280,6725,595,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
63,13-06-2020 11:24:41,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17280,6725,595,250,,,,,,True,,,Ischu kur'era v Gruzii!
64,13-06-2020 11:24:41,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13824,5380,476,200,,,,,,True,,,Kur'er Batumi na marihuanu
65,13-06-2020 11:24:41,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5388,1036829,403500,35672,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
66,13-06-2020 11:24:41,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,34561,13450,1189,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
67,13-06-2020 11:25:45,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0025,1728,673,59,25,,,,,,,,True,Rabota na marki (kur'er)
