,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
55,55,04-02-2020 09:23:10,Tbilisi,dd631c4acf,❄❄5g. HQ coco Best OFFER❄❄,True,1,нет,Тбилиси,5 гр,0.0971,58221,22912,1957,911.0,,,,,,,,,,❄❄5g. HQ coco Best OFFER❄❄
56,56,04-02-2020 09:23:10,Tbilisi,b01f16ca19,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0421,25500,10035,857,399.0,True,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
57,57,04-02-2020 09:23:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,12,нет,Тбилиси,10 гр,0.0282,17064,6715,574,267.0,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
58,58,04-02-2020 09:23:10,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light",,1,нет,Тбилиси,10 гр,0.024,15977,6288,537,250.0,True,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light"
59,59,04-02-2020 09:23:10,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0405,25564,10060,859,400.0,,,,,,,,,,gashish evro 10g
60,60,04-02-2020 09:23:10,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -30 %,True,3,нет,Тбилиси,11 гр,0.1239,106188,41625,3567,,,1500.0,,,,,,,,* SALE * COCAINE Peru 11 gr BTC -30 %
61,61,04-02-2020 09:23:10,Tbilisi,c9a56b2b4a,15x Extasy Duracell 280mg MDMA.,True,1,10,Тбилиси,15 гр,0.0475,28759,11318,967,450.0,,,,,,,,,,15x Extasy Duracell 280mg MDMA.
62,62,04-02-2020 09:23:10,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0786,49657,19542,1669,777.0,,,,,,,,,,Gashish Evro 20gr
63,63,04-02-2020 09:23:10,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr,True,2,нет,Тбилиси,22 гр,0.2148,184059,72150,6183,,,2600.0,,,,,,,,* SALE *COCAINE Peru 20+2 gr
64,64,04-02-2020 09:23:10,Tbilisi,9795761a65,Exstasy blue punisher 25 шт BTC -10%,True,1,нет,Тбилиси,25 гр,0.0815,54323,21378,1826,850.0,,,,,,,,,,Exstasy blue punisher 25 sht BTC -10%
65,65,04-02-2020 09:23:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0266,15977,6288,537,250.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
66,66,04-02-2020 09:23:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0373,22368,8803,752,350.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
67,67,04-02-2020 09:23:10,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0639,38345,15090,1289,600.0,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
68,68,04-02-2020 09:23:10,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0232,14060,5533,473,220.0,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
69,69,04-02-2020 09:23:10,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,True,нет,1,Тбилиси,2 гр,0.0211,12782,5030,430,200.0,,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
70,70,04-02-2020 09:24:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0422,25564,10060,859,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
71,71,04-02-2020 09:24:03,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0253,15338,6036,516,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
72,72,04-02-2020 09:24:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0264,15977,6288,537,250.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
73,73,04-02-2020 09:24:03,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1438,95864,37725,3222,1500.0,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
74,74,04-02-2020 09:24:03,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0264,15977,6288,537,250.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
75,75,04-02-2020 09:24:03,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0264,15977,6288,537,250.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
76,76,04-02-2020 09:24:03,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.021,12718,5005,428,199.0,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
77,77,04-02-2020 09:24:03,Tbilisi,c9a56b2b4a,5x Extasy Duracell 280mg MDMA.,True,нет,10,Тбилиси,5 гр,0.0186,11184,4401,376,175.0,,,,,,,,,,5x Extasy Duracell 280mg MDMA.
78,78,04-02-2020 09:24:03,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0264,15977,6288,537,250.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
79,79,04-02-2020 09:24:03,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.021,13996,5508,470,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
80,80,04-02-2020 09:24:03,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.02,13357,5256,449,209.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
81,81,04-02-2020 09:24:03,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.02,13357,5256,449,209.0,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
82,82,04-02-2020 09:24:03,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.02,13357,5256,449,209.0,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
83,83,04-02-2020 09:24:03,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0264,15977,6288,537,250.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
84,84,04-02-2020 09:24:03,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0192,12782,5030,430,200.0,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
85,85,04-02-2020 09:24:03,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2101,140000,64421,4708,,,,,,,,,,,reagent 25i nbome. 5gr
86,86,04-02-2020 09:24:03,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2877,191727,75450,6445,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
87,87,04-02-2020 09:24:03,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,4,Тбилиси,5 гр,0.0201,12079,4753,406,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
88,88,04-02-2020 09:24:03,Tbilisi,dd631c4acf,💊💊5. ecstasy Tekashi69💊💊,True,нет,1,Тбилиси,5 гр,0.0197,11823,4653,397,185.0,,,,,,,,,,💊💊5. ecstasy Tekashi69💊💊
89,89,04-02-2020 09:24:03,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0521,31252,12298,1051,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
90,90,04-02-2020 09:24:03,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0421,25500,10035,857,399.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
91,91,04-02-2020 09:24:03,Tbilisi,dd631c4acf,10 грам. Амфетамин SPEED,True,нет,5,Тбилиси,10 гр,0.0426,25564,10060,859,400.0,,,,,,,,,,10 gram. Amfetamin SPEED
92,92,04-02-2020 09:24:03,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1918,127818,50300,4297,2000.0,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
93,93,04-02-2020 09:24:03,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0844,51127,20120,1719,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
94,94,04-02-2020 09:24:03,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0383,25500,10035,857,399.0,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
95,95,04-02-2020 09:24:03,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2347,142198,55959,4780,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
96,96,04-02-2020 09:24:03,Tbilisi,dd631c4acf,️‍🌈10. LSD 200ug.🌈,True,нет,3,Тбилиси,10 гр,0.034,20387,8023,685,319.0,,,,,,,,,,️‍🌈10. LSD 200ug.🌈
97,97,04-02-2020 09:24:03,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0861,51639,20321,1736,808.0,,,,,,,,,,💘✨10gram MDMA ✨💘
98,98,04-02-2020 09:24:03,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.3164,210900,82995,7089,3300.0,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
99,99,04-02-2020 09:24:03,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0607,38345,15090,1289,600.0,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
100,100,04-02-2020 09:24:03,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1151,76691,30180,2578,1200.0,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
101,101,04-02-2020 09:24:03,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0911,57518,22635,1933,900.0,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
102,102,04-02-2020 09:24:03,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.1002,60714,23893,2041,950.0,,,,,,,,,,Hybrid Skunk! 50 gr
103,103,04-02-2020 09:24:03,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.21100000000000002,127818,50300,4297,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
104,104,04-02-2020 09:24:30,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1902,115036,45270,3867,1800.0,,,,,,,,,,Hybrid Skunk! 100 gr
105,105,04-02-2020 09:24:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2642,159773,62875,5371,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
106,106,04-02-2020 09:24:30,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0413,27481,10815,924,430.0,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
107,107,04-02-2020 09:24:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.486,293982,115690,9882,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
