,Unnamed: 0,time_stamp,region,sell_code,description,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Didube,Saburtalo,Vazisubani,Gldani,Varketili,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
20,20,06-07-2020 08:25:43,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,,4,нет,Тбилиси,2 гр,0.0634,42300,16410,1453,,True,600.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
21,21,06-07-2020 08:25:43,Tbilisi,f374062dcd,Кокаин Перу HD 2гр,,1,нет,Тбилиси,2 гр,0.0403,29610,11487,1017,,True,420.0,,,,,,,,,,,Kokain Peru HD 2gr
22,22,06-07-2020 08:25:43,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0092,6134,2379,211,,,87.0,,,,,True,,,,,,3 gr georgian weed. Package on magnet
23,23,06-07-2020 08:25:43,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,16,нет,Тбилиси,3 гр,0.0059,3878,1504,133,,True,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
24,24,06-07-2020 08:25:43,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,14,нет,Тбилиси,5 гр,0.0074,4865,1887,167,,True,69.0,,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
25,25,06-07-2020 08:25:43,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0143,10504,4075,361,,True,149.0,,,,,,,,,,,5g. GEO Marihuana boshki
26,26,06-07-2020 08:25:43,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.0288,21150,8205,726,,,300.0,,,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
27,27,06-07-2020 08:25:43,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0253,16849,6537,579,,True,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
28,28,06-07-2020 08:25:43,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,6,нет,Тбилиси,10 гр,0.0138,9094,3528,312,,True,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
29,29,06-07-2020 08:25:43,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0461,31725,12308,1090,,True,450.0,,,,,,,,,,,Gashish Evro 10gr
