,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Saburtalo,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
58,02-03-2020 12:41:32,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,4,Тбилиси,10 гр,0.0337,20030,7403,670,299,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,02-03-2020 12:41:32,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0789,46894,17332,1567,700,,,,,,,,,,20x Extasy Duracell 223mg MDMA.
60,02-03-2020 12:41:32,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0675,40128,14831,1341,599,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,02-03-2020 12:41:32,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.075,46894,17332,1567,700,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,02-03-2020 12:41:32,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1218,80389,29712,2687,1200,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
63,02-03-2020 12:41:32,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.107,66924,24735,2237,999,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
64,02-03-2020 12:41:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2233,133982,49520,4478,2000,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,02-03-2020 12:41:32,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2255,133982,49520,4478,2000,,,,,,,,,,SUBOXIN - HQ - 100 G.
66,02-03-2020 12:41:32,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2791,167477,61900,5598,2500,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,02-03-2020 12:41:32,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.1691,100486,37140,3359,1500,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
68,02-03-2020 12:41:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5135,308158,113896,10300,4600,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,02-03-2020 12:41:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8372,502432,185700,16793,7500,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,02-03-2020 12:42:23,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9492,569423,210460,19032,8500,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,02-03-2020 12:42:23,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0203,13398,4952,448,200,,,,,,,,,,KURYER..500RUB.+BONUS
72,02-03-2020 12:42:23,Tbilisi,3TGJ9,Elegant,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.0203,13398,4952,448,200,,,,,,,,,,Trebuetsja Kur'er
73,02-03-2020 12:42:23,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0223,13398,4952,448,200,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,02-03-2020 12:42:23,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0279,16748,6190,560,250,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,02-03-2020 12:42:23,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6903,1004864,371400,33587,15000,,,,,,,,,,Vakansija optovogo kur'era na mef
76,02-03-2020 12:43:47,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1675,100486,37230,3359,1500,,,,,,,True,,,Skunk! 50 gr.
77,02-03-2020 12:43:47,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,3,5,Батуми,0.27 гр,0.0305,18088,6701,605,270,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
78,02-03-2020 12:43:47,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0203,13398,4964,448,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
79,02-03-2020 12:43:47,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2256,133982,49640,4478,2000,,,,,,,True,,,SUBOXIN - HQ - 100 G.
80,02-03-2020 12:43:47,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1692,100486,37230,3359,1500,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
81,02-03-2020 12:43:47,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0113,6699,2482,224,100,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
82,02-03-2020 12:43:47,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1241,112,50,,,,,,,True,,,kur'er v Batumi
83,02-03-2020 12:43:47,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1241,112,50,,,,,,,True,,,Vakansija Kur'era v Batumi
84,02-03-2020 12:43:47,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,,True,,,Vakansija Kur'era v Batumi
85,02-03-2020 12:43:47,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0254,16748,6205,560,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
86,02-03-2020 12:43:47,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0254,16748,6205,560,250,,,,,,,True,,,Ischu kur'era v Gruzii!
87,02-03-2020 12:43:47,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6907,1004864,372300,33587,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
88,02-03-2020 12:43:47,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0559,33495,12410,1120,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,02-03-2020 12:45:04,Kutaisi,O9SXJ,Parnavaz,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1837,166,74,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
90,02-03-2020 12:45:04,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0122,7235,2681,242,108,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
91,02-03-2020 12:45:04,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0113,6699,2482,224,100,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
