,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
74,04-03-2020 18:36:28,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2222,132157,50000,4471,2000,,,,,True,,,SUBOXIN - HQ - 100 G.
75,04-03-2020 18:36:28,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1666,99118,37500,3353,1500,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,04-03-2020 18:36:28,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0111,6608,2500,224,100,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
77,04-03-2020 18:36:28,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3304,1250,112,50,,,,,True,,,kur'er v Batumi
78,04-03-2020 18:36:28,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.025,16520,6250,559,250,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,04-03-2020 18:36:28,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.025,16520,6250,559,250,,,,,True,,,Ischu kur'era v Gruzii!
80,04-03-2020 18:36:28,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6648,991176,375000,33530,15000,,,,,True,,,Vakansija optovogo kur'era na mef
81,04-03-2020 18:36:28,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.055,33039,12500,1118,500,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,04-03-2020 18:37:42,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.012,7136,2700,241,108,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
83,04-03-2020 18:37:42,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0111,6608,2500,224,100,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
