,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Saburtalo,Дигоми,Didube,Gldani,Авлобари,Батуми,Центр,Кутаиси,desc_en
32,32,13-03-2020 12:51:55,Tbilisi,7ee4f68218,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.043,20915,7513,662,,250.0,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
33,33,13-03-2020 12:51:55,Tbilisi,64284550d9,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0126,6440,2332,204,87.0,,,True,,,,,,,,3G ---> INDICA
34,34,13-03-2020 12:52:38,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0165,7329,2654,232,99.0,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
35,35,13-03-2020 12:52:38,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0191,8513,3083,270,115.0,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
36,36,13-03-2020 12:52:38,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0479,23689,8579,751,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
37,37,13-03-2020 12:52:38,Tbilisi,7ee4f68218,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0643,30117,10818,953,,360.0,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
38,38,13-03-2020 12:52:38,Tbilisi,e56bb6ca93,5gr georgian indica (hight quality),,4,нет,Тбилиси,5 гр,0.0208,10290,3727,326,139.0,,True,,,,,,,,,5gr georgian indica (hight quality)
39,39,13-03-2020 12:52:38,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0291,12955,4692,411,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
40,40,13-03-2020 12:52:38,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,1,нет,Тбилиси,5 гр,0.0245,11104,4022,352,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
41,41,13-03-2020 12:52:38,Tbilisi,be97026d1d,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1296,58260,21099,1847,787.0,,,,True,,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
42,42,13-03-2020 12:52:38,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,3,нет,Тбилиси,5 гр,0.0255,12585,4558,399,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
43,43,13-03-2020 12:52:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,8,нет,Тбилиси,5 гр,0.0097,4812,1743,153,65.0,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
44,44,13-03-2020 12:52:38,Tbilisi,be97026d1d,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0724,32868,11904,1042,444.0,,,,True,,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
45,45,13-03-2020 12:52:38,Tbilisi,4c4ab8c0de,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0601,27020,9786,857,365.0,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
46,46,13-03-2020 12:52:38,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.044000000000000004,19765,7158,627,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
47,47,13-03-2020 12:52:38,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,10 гр,0.0148,7329,2654,232,99.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
48,48,13-03-2020 12:52:38,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0632,29611,10724,939,400.0,,,,,,,,,,,gashish evro 10g
49,49,13-03-2020 12:52:38,Tbilisi,be97026d1d,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1397,62775,22735,1991,848.0,,,,True,,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
50,50,13-03-2020 12:52:38,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0449,19987,7239,634,270.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
51,51,13-03-2020 12:52:38,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0379,17026,6166,540,230.0,,,,,,,,,,,Methadone HQ in city 0.35g
52,52,13-03-2020 12:52:38,Tbilisi,2dbb5960b9,Methadone HQ in city 0.75g,True,нет,2,Тбилиси,0.75 гр,0.061,27390,9920,869,370.0,,,,,,,,,,,Methadone HQ in city 0.75g
53,53,13-03-2020 12:52:38,Tbilisi,4a91350669,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,1,Тбилиси,1 гр,0.0163,7329,2654,232,99.0,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
54,54,13-03-2020 12:52:38,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,1 гр,0.0148,6662,2413,211,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,13-03-2020 12:52:38,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,True,нет,3,Тбилиси,1 гр,0.0074,3331,1206,106,45.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
56,56,13-03-2020 12:52:38,Tbilisi,2dbb5960b9,Methadone HQ in city 1.4g,True,нет,1,Тбилиси,1.4 гр,0.1153,51819,18767,1643,700.0,,,,,,,,,,,Methadone HQ in city 1.4g
57,57,13-03-2020 12:52:38,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0585,26576,9625,843,359.0,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
58,58,13-03-2020 12:52:38,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0982,43676,15818,1385,590.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
59,59,13-03-2020 12:52:38,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0659,29611,10724,939,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
60,60,13-03-2020 12:52:38,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0906,40715,14746,1291,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
61,61,13-03-2020 12:52:38,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0257,11548,4182,366,156.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
62,62,13-03-2020 12:52:38,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0328,14731,5335,467,199.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,63,13-03-2020 12:52:38,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0264,11844,4290,376,160.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
64,64,13-03-2020 12:52:38,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0328,14731,5335,467,199.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
65,65,13-03-2020 12:52:38,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0328,14731,5335,467,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
66,66,13-03-2020 12:52:38,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0239,10734,3887,340,145.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,67,13-03-2020 12:53:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0328,16212,5871,514,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,68,13-03-2020 12:53:42,Tbilisi,3814ba5701,Hybrid Gagarin. 5g.,True,нет,2,Тбилиси,5 гр,0.0348,16286,5898,516,220.0,,,,,,,,,,,Hybrid Gagarin. 5g.
69,69,13-03-2020 12:53:42,Tbilisi,f8a875c191,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0499,22208,8043,704,300.0,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
70,70,13-03-2020 12:53:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0247,11104,4022,352,150.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
71,71,13-03-2020 12:53:42,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,True,нет,3,Тбилиси,5 гр,0.0371,16656,6032,528,225.0,,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
72,72,13-03-2020 12:53:42,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.03,14805,5362,469,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
73,73,13-03-2020 12:53:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3844,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
74,74,13-03-2020 12:53:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4493,222082,80430,7042,3000.0,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
75,75,13-03-2020 12:53:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1429,63590,23030,2016,859.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
76,76,13-03-2020 12:53:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0308,13695,4960,434,185.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
77,77,13-03-2020 12:53:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0814,36199,13110,1148,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
78,78,13-03-2020 12:53:42,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0547,24355,8820,772,329.0,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
79,79,13-03-2020 12:53:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1483,66625,24129,2113,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
80,80,13-03-2020 12:53:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1153,51819,18767,1643,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
81,81,13-03-2020 12:53:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0657,29537,10697,937,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
82,82,13-03-2020 12:53:42,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0582,25910,9384,822,350.0,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
83,83,13-03-2020 12:53:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1318,59222,21448,1878,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
84,84,13-03-2020 12:53:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3665,164711,59652,5223,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
85,85,13-03-2020 12:53:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2411,107266,38848,3401,1449.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
86,86,13-03-2020 12:53:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0614,27316,9893,866,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
87,87,13-03-2020 12:53:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0497,22134,8016,702,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
88,88,13-03-2020 12:53:42,Tbilisi,be97026d1d,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.2801,125847,45577,3991,1700.0,,,,,,,,,,,MDMA 20 g
89,89,13-03-2020 12:53:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0997,44342,16059,1406,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
90,90,13-03-2020 12:53:42,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1107,51819,18767,1643,700.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
91,91,13-03-2020 12:53:42,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1797,88833,32172,2817,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
92,92,13-03-2020 12:53:42,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1579,73953,26783,2345,999.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
93,93,13-03-2020 12:53:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3295,148055,53620,4695,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
94,94,13-03-2020 12:53:42,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3328,148055,53620,4695,2000.0,,,,,,,,,,,SUBOXIN - HQ - 100 G.
95,95,13-03-2020 12:53:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.4118,185069,67025,5869,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
96,96,13-03-2020 12:53:42,Tbilisi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2496,111041,40215,3521,1500.0,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,97,13-03-2020 12:53:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7578,340526,123326,10798,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
98,98,13-03-2020 12:53:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.2355,555206,201075,17606,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
99,99,13-03-2020 12:53:42,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.4003,629233,227885,19953,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
100,100,13-03-2020 12:53:42,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.03,14805,5362,469,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
101,101,13-03-2020 12:54:05,Tbilisi,54915c4374,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0219,11104,4022,352,150.0,,,,,,,,,,,Rabota na marki (kur'er)
102,102,13-03-2020 12:54:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0321,14805,5362,469,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
103,103,13-03-2020 12:54:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0402,18507,6703,587,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
104,104,13-03-2020 12:54:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.4329,1110411,402150,35211,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
